date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	197.09	197.09	196.73	196.73	1384	USD	
06/07/2018 15:32	197.025	197.025	196.741	196.741	494	USD	
06/07/2018 15:34	196.815	196.83	196.71	196.71	716	USD	
06/07/2018 15:36	197.08	197.23	197.08	197.13	1124	USD	
06/07/2018 15:38	197.06	197.195	196.96	197.16	2900	USD	
06/07/2018 15:40	196.94	197.075	196.92	197	3000	USD	
06/07/2018 15:42	196.99	196.99	196.95	196.95	300	USD	
06/07/2018 15:44	196.975	197.06	196.78	196.78	700	USD	
06/07/2018 15:46	196.74	196.75	196.55	196.74	2381	USD	
06/07/2018 15:48	196.625	196.67	196.51	196.56	1240	USD	
06/07/2018 15:50	196.55	196.55	196.44	196.52	900	USD	
06/07/2018 15:52	196.63	196.72	196.63	196.67	1700	USD	
06/07/2018 15:54	196.8	196.875	196.79	196.875	1500	USD	
06/07/2018 15:56	196.84	196.9	196.82	196.835	1400	USD	
06/07/2018 15:58	196.74	196.87	196.74	196.83	1200	USD	
06/07/2018 16:00	196.63	196.71	196.56	196.71	1300	USD	
06/07/2018 16:02	196.8	196.83	196.75	196.75	800	USD	
06/07/2018 16:04	196.72	196.73	196.62	196.67	1507	USD	
06/07/2018 16:06	196.6	196.615	196.52	196.615	1150	USD	
06/07/2018 16:08	196.75	196.955	196.75	196.91	1400	USD	
06/07/2018 16:10	196.96	197.03	196.76	196.76	1862	USD	
06/07/2018 16:12	196.86	196.91	196.86	196.86	2500	USD	
06/07/2018 16:14	196.67	196.69	196.67	196.68	438	USD	
06/07/2018 16:16	196.69	196.69	196.62	196.62	300	USD	
06/07/2018 16:18	196.55	196.69	196.54	196.59	1100	USD	
06/07/2018 16:20	196.61	196.61	196.49	196.52	1128	USD	
06/07/2018 16:22	196.52	196.52	196.41	196.49	1601	USD	
06/07/2018 16:24	196.56	196.56	196.56	196.56	300	USD	
06/07/2018 16:26	196.64	196.74	196.64	196.74	800	USD	
06/07/2018 16:28	196.7	196.82	196.7	196.81	1475	USD	
06/07/2018 16:30	196.825	196.9	196.82	196.86	2300	USD	
06/07/2018 16:32	196.74	196.74	196.55	196.585	3176	USD	
06/07/2018 16:34	196.54	196.57	196.495	196.497	1770	USD	
06/07/2018 16:36	196.56	196.685	196.56	196.63	2876	USD	
06/07/2018 16:38	196.74	196.74	196.66	196.685	1004	USD	
06/07/2018 16:40	196.54	196.62	196.54	196.62	900	USD	
06/07/2018 16:42	196.91	196.94	196.89	196.92	2200	USD	
06/07/2018 16:44	196.88	196.94	196.86	196.94	1838	USD	
06/07/2018 16:46	196.92	196.93	196.84	196.84	1016	USD	
06/07/2018 16:48	196.78	196.979	196.78	196.96	3933	USD	
06/07/2018 16:50	196.88	196.96	196.86	196.86	1400	USD	
06/07/2018 16:52	196.92	196.92	196.82	196.87	1347	USD	
06/07/2018 16:54	196.94	196.94	196.925	196.925	300	USD	
06/07/2018 16:56	196.91	196.91	196.78	196.8	1000	USD	
06/07/2018 16:58	196.923	196.923	196.8	196.8	1700	USD	
06/07/2018 17:00	196.77	196.77	196.73	196.73	1400	USD	
06/07/2018 17:02	196.85	196.85	196.73	196.765	1200	USD	
06/07/2018 17:04	196.67	196.68	196.64	196.68	1100	USD	
06/07/2018 17:06	196.77	196.856	196.77	196.856	2010	USD	
06/07/2018 17:08	197.13	197.2	197.08	197.2	1350	USD	
06/07/2018 17:10	197.405	197.405	197.31	197.369	1400	USD	
06/07/2018 17:12	197.43	197.52	197.4	197.5	1970	USD	
06/07/2018 17:14	197.5	197.56	197.455	197.56	2300	USD	
06/07/2018 17:16	197.47	197.47	197.39	197.39	700	USD	
06/07/2018 17:18	197.47	197.48	197.44	197.46	1400	USD	
06/07/2018 17:20	197.54	197.559	197.53	197.559	600	USD	
06/07/2018 17:22	197.62	197.62	197.565	197.59	1421	USD	
06/07/2018 17:24	197.51	197.51	197.44	197.44	1353	USD	
06/07/2018 17:26	197.43	197.44	197.43	197.44	400	USD	
06/07/2018 17:28	197.605	197.61	197.57	197.61	650	USD	
06/07/2018 17:30	197.6	197.61	197.59	197.61	700	USD	
06/07/2018 17:32	197.55	197.585	197.53	197.53	1300	USD	
06/07/2018 17:34	197.591	197.63	197.591	197.615	2177	USD	
06/07/2018 17:36	197.644	197.71	197.644	197.71	400	USD	
06/07/2018 17:38	197.74	197.755	197.73	197.73	3260	USD	
06/07/2018 17:40	197.89	197.89	197.79	197.795	1150	USD	
06/07/2018 17:42	197.88	197.94	197.85	197.91	3800	USD	
06/07/2018 17:44	197.77	197.88	197.77	197.87	2100	USD	
06/07/2018 17:46	197.875	197.96	197.82	197.83	7480	USD	
06/07/2018 17:48	197.985	197.99	197.89	197.93	2433	USD	
06/07/2018 17:50	197.91	197.91	197.727	197.731	2728	USD	
06/07/2018 17:52	197.64	197.67	197.545	197.545	1700	USD	
06/07/2018 17:54	197.63	197.65	197.53	197.53	1716	USD	
06/07/2018 17:56	197.66	197.66	197.66	197.66	400	USD	
06/07/2018 17:58	197.62	197.67	197.59	197.67	3343	USD	
06/07/2018 18:00	197.67	197.71	197.66	197.71	1791	USD	
06/07/2018 18:02	197.842	197.86	197.81	197.82	2709	USD	
06/07/2018 18:04	197.82	197.89	197.788	197.788	1100	USD	
06/07/2018 18:06	197.78	197.82	197.78	197.82	800	USD	
06/07/2018 18:08	197.92	198.04	197.92	197.98	3182	USD	
06/07/2018 18:10	198.02	198.04	198.02	198.04	1192	USD	
06/07/2018 18:12	197.885	197.92	197.885	197.92	1151	USD	
06/07/2018 18:14	197.98	198	197.98	198	400	USD	
06/07/2018 18:16	197.98	197.98	197.905	197.915	1100	USD	
06/07/2018 18:18	197.97	198	197.95	197.95	3659	USD	
06/07/2018 18:20	197.939	197.97	197.81	197.88	5500	USD	
06/07/2018 18:22	197.93	197.93	197.87	197.895	1100	USD	
