date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	42.57	42.57	42.55	42.55	897	EUR	
06/07/2018 09:02	42.57	42.57	42.53	42.53	706	EUR	
06/07/2018 09:04	42.55	42.55	42.53	42.53	462	EUR	
06/07/2018 09:06	42.52	42.54	42.51	42.54	651	EUR	
06/07/2018 09:08	42.51	42.53	42.51	42.53	485	EUR	
06/07/2018 09:10	42.53	42.54	42.53	42.53	615	EUR	
06/07/2018 09:12	42.59	42.59	42.59	42.59	75	EUR	
06/07/2018 09:14	42.62	42.62	42.6	42.61	388	EUR	
06/07/2018 09:16	42.62	42.63	42.62	42.63	142	EUR	
06/07/2018 09:18	42.63	42.64	42.63	42.64	139	EUR	
06/07/2018 09:20	42.64	42.64	42.64	42.64	321	EUR	
06/07/2018 09:22	42.63	42.63	42.63	42.63	270	EUR	
06/07/2018 09:24	42.62	42.62	42.62	42.62	78	EUR	
06/07/2018 09:26	42.65	42.67	42.65	42.67	221	EUR	
06/07/2018 09:28	42.68	42.68	42.68	42.68	101	EUR	
06/07/2018 09:30	42.67	42.69	42.67	42.69	566	EUR	
06/07/2018 09:32	42.7	42.7	42.68	42.69	607	EUR	
06/07/2018 09:34	42.68	42.7	42.68	42.7	561	EUR	
06/07/2018 09:36	42.68	42.68	42.68	42.68	2	EUR	
06/07/2018 09:38	42.73	42.74	42.73	42.73	407	EUR	
06/07/2018 09:40	42.8	42.8	42.8	42.8	83	EUR	
06/07/2018 09:42	42.78	42.78	42.76	42.76	569	EUR	
06/07/2018 09:44	42.78	42.78	42.78	42.78	322	EUR	
06/07/2018 09:46	42.77	42.77	42.77	42.77	126	EUR	
06/07/2018 09:48	42.78	42.79	42.78	42.79	250	EUR	
06/07/2018 09:50	42.82	42.85	42.82	42.84	413	EUR	
06/07/2018 09:52	42.84	42.84	42.84	42.84	115	EUR	
06/07/2018 09:54	42.85	42.86	42.85	42.85	1068	EUR	
06/07/2018 09:56	42.82	42.82	42.82	42.82	175	EUR	
06/07/2018 09:58	42.83	42.83	42.81	42.82	102	EUR	
06/07/2018 10:00	42.82	42.82	42.82	42.82	106	EUR	
06/07/2018 10:02	42.84	42.84	42.84	42.84	236	EUR	
06/07/2018 10:04	42.84	42.84	42.84	42.84	79	EUR	
06/07/2018 10:06	42.84	42.86	42.84	42.86	267	EUR	
06/07/2018 10:08	42.87	42.87	42.87	42.87	95	EUR	
06/07/2018 10:10	42.85	42.86	42.85	42.86	555	EUR	
06/07/2018 10:12	42.87	42.89	42.87	42.89	1741	EUR	
06/07/2018 10:14	42.88	42.88	42.85	42.85	1079	EUR	
06/07/2018 10:16	42.84	42.89	42.84	42.89	904	EUR	
06/07/2018 10:18	42.87	42.87	42.87	42.87	256	EUR	
06/07/2018 10:20	42.86	42.86	42.86	42.86	236	EUR	
06/07/2018 10:22	42.86	42.86	42.86	42.86	376	EUR	
06/07/2018 10:24	42.87	42.87	42.86	42.86	179	EUR	
06/07/2018 10:26	42.89	42.89	42.87	42.87	844	EUR	
06/07/2018 10:28	42.88	42.88	42.88	42.88	126	EUR	
06/07/2018 10:30	42.88	42.88	42.88	42.88	126	EUR	
06/07/2018 10:32	42.87	42.89	42.86	42.89	822	EUR	
06/07/2018 10:34	42.88	42.88	42.87	42.87	530	EUR	
06/07/2018 10:36	42.89	42.89	42.88	42.88	323	EUR	
06/07/2018 10:38	42.88	42.89	42.88	42.89	225	EUR	
06/07/2018 10:40	42.89	42.89	42.87	42.87	234	EUR	
06/07/2018 10:42	42.89	42.89	42.88	42.88	212	EUR	
06/07/2018 10:44	42.89	42.89	42.89	42.89	76	EUR	
06/07/2018 10:46	42.87	42.87	42.87	42.87	8	EUR	
06/07/2018 10:48	42.89	42.89	42.87	42.87	100	EUR	
06/07/2018 10:50	42.86	42.86	42.86	42.86	15	EUR	
06/07/2018 10:52	42.89	42.89	42.89	42.89	172	EUR	
06/07/2018 10:54	42.87	42.87	42.87	42.87	60	EUR	
06/07/2018 10:56	42.87	42.87	42.87	42.87	231	EUR	
06/07/2018 10:58	42.88	42.89	42.88	42.88	287	EUR	
06/07/2018 11:00	42.88	42.89	42.87	42.89	869	EUR	
06/07/2018 11:02	42.89	42.89	42.89	42.89	301	EUR	
06/07/2018 11:04	42.9	42.92	42.9	42.9	1931	EUR	
06/07/2018 11:06	42.89	42.89	42.89	42.89	281	EUR	
06/07/2018 11:08	42.88	42.88	42.88	42.88	100	EUR	
06/07/2018 11:10	42.88	42.88	42.87	42.87	323	EUR	
06/07/2018 11:12	42.86	42.86	42.85	42.85	327	EUR	
06/07/2018 11:14	42.82	42.82	42.81	42.81	173	EUR	
06/07/2018 11:16	42.8	42.8	42.79	42.79	271	EUR	
06/07/2018 11:18	42.81	42.82	42.81	42.81	538	EUR	
06/07/2018 11:20	42.84	42.84	42.83	42.83	210	EUR	
06/07/2018 11:22	42.84	42.84	42.84	42.84	410	EUR	
06/07/2018 11:24	42.84	42.84	42.82	42.82	659	EUR	
06/07/2018 11:26	42.81	42.81	42.81	42.81	274	EUR	
06/07/2018 11:28	42.81	42.81	42.81	42.81	274	EUR	
06/07/2018 11:30	42.82	42.83	42.82	42.82	1736	EUR	
06/07/2018 11:32	42.83	42.83	42.83	42.83	259	EUR	
06/07/2018 11:34	42.82	42.83	42.82	42.83	1039	EUR	
06/07/2018 11:36	42.82	42.82	42.81	42.81	442	EUR	
06/07/2018 11:38	42.8	42.8	42.8	42.8	222	EUR	
06/07/2018 11:40	42.78	42.78	42.78	42.78	1214	EUR	
06/07/2018 11:42	42.79	42.79	42.79	42.79	27	EUR	
06/07/2018 11:44	42.78	42.78	42.75	42.75	680	EUR	
06/07/2018 11:46	42.75	42.77	42.75	42.77	1163	EUR	
06/07/2018 11:48	42.78	42.79	42.78	42.79	833	EUR	
06/07/2018 11:50	42.78	42.78	42.78	42.78	236	EUR	
06/07/2018 11:52	42.77	42.77	42.77	42.77	345	EUR	
06/07/2018 11:54	42.79	42.79	42.79	42.79	194	EUR	
06/07/2018 11:56	42.78	42.78	42.78	42.78	780	EUR	
06/07/2018 11:58	42.79	42.8	42.79	42.8	745	EUR	
06/07/2018 12:00	42.8	42.8	42.8	42.8	919	EUR	
06/07/2018 12:02	42.8	42.81	42.8	42.81	844	EUR	
06/07/2018 12:04	42.81	42.82	42.81	42.82	1057	EUR	
06/07/2018 12:06	42.83	42.83	42.83	42.83	20	EUR	
06/07/2018 12:08	42.83	42.83	42.82	42.83	1060	EUR	
06/07/2018 12:10	42.82	42.82	42.82	42.82	231	EUR	
06/07/2018 12:12	42.83	42.85	42.82	42.82	2590	EUR	
06/07/2018 12:14	42.82	42.82	42.81	42.82	309	EUR	
06/07/2018 12:16	42.82	42.83	42.82	42.82	541	EUR	
06/07/2018 12:18	42.83	42.83	42.82	42.82	340	EUR	
06/07/2018 12:20	42.81	42.81	42.77	42.77	809	EUR	
06/07/2018 12:22	42.81	42.81	42.77	42.77	809	EUR	
06/07/2018 12:24	42.74	42.74	42.74	42.74	132	EUR	
06/07/2018 12:26	42.77	42.77	42.75	42.75	897	EUR	
06/07/2018 12:28	42.76	42.77	42.76	42.77	259	EUR	
06/07/2018 12:30	42.77	42.77	42.77	42.77	285	EUR	
06/07/2018 12:32	42.76	42.76	42.75	42.75	1245	EUR	
06/07/2018 12:34	42.76	42.76	42.75	42.75	276	EUR	
06/07/2018 12:36	42.76	42.76	42.76	42.76	93	EUR	
06/07/2018 12:38	42.74	42.74	42.73	42.73	574	EUR	
06/07/2018 12:40	42.74	42.74	42.73	42.73	193	EUR	
06/07/2018 12:42	42.74	42.76	42.74	42.75	628	EUR	
06/07/2018 12:44	42.74	42.74	42.74	42.74	290	EUR	
06/07/2018 12:46	42.76	42.76	42.73	42.73	639	EUR	
06/07/2018 12:48	42.73	42.73	42.72	42.72	71	EUR	
06/07/2018 12:50	42.72	42.72	42.71	42.71	208	EUR	
06/07/2018 12:52	42.72	42.72	42.7	42.7	864	EUR	
06/07/2018 12:54	42.72	42.72	42.7	42.7	864	EUR	
06/07/2018 12:56	42.72	42.72	42.72	42.72	118	EUR	
06/07/2018 12:58	42.72	42.72	42.71	42.71	212	EUR	
06/07/2018 13:00	42.72	42.73	42.72	42.73	243	EUR	
06/07/2018 13:02	42.75	42.75	42.72	42.72	652	EUR	
06/07/2018 13:04	42.72	42.72	42.72	42.72	216	EUR	
06/07/2018 13:06	42.71	42.71	42.7	42.7	417	EUR	
06/07/2018 13:08	42.72	42.74	42.72	42.73	451	EUR	
06/07/2018 13:10	42.73	42.73	42.73	42.73	74	EUR	
06/07/2018 13:12	42.73	42.73	42.73	42.73	211	EUR	
06/07/2018 13:14	42.73	42.73	42.73	42.73	342	EUR	
06/07/2018 13:16	42.72	42.73	42.72	42.73	265	EUR	
06/07/2018 13:18	42.72	42.75	42.72	42.75	2290	EUR	
06/07/2018 13:20	42.75	42.77	42.75	42.77	1158	EUR	
06/07/2018 13:22	42.76	42.76	42.74	42.74	139	EUR	
06/07/2018 13:24	42.74	42.75	42.74	42.74	384	EUR	
06/07/2018 13:26	42.74	42.75	42.74	42.75	211	EUR	
06/07/2018 13:28	42.75	42.75	42.75	42.75	298	EUR	
06/07/2018 13:30	42.77	42.77	42.77	42.77	112	EUR	
06/07/2018 13:32	42.77	42.79	42.77	42.79	1802	EUR	
06/07/2018 13:34	42.8	42.81	42.8	42.81	684	EUR	
06/07/2018 13:36	42.81	42.81	42.81	42.81	38	EUR	
06/07/2018 13:38	42.83	42.83	42.82	42.82	1041	EUR	
06/07/2018 13:40	42.79	42.79	42.78	42.78	63	EUR	
06/07/2018 13:42	42.78	42.78	42.78	42.78	1231	EUR	
06/07/2018 13:44	42.79	42.8	42.79	42.8	721	EUR	
06/07/2018 13:46	42.81	42.81	42.8	42.8	394	EUR	
06/07/2018 13:48	42.8	42.8	42.8	42.8	162	EUR	
06/07/2018 13:50	42.81	42.82	42.81	42.81	1440	EUR	
06/07/2018 13:52	42.79	42.8	42.79	42.8	62	EUR	
06/07/2018 13:54	42.8	42.8	42.8	42.8	216	EUR	
06/07/2018 13:56	42.81	42.81	42.81	42.81	215	EUR	
06/07/2018 13:58	42.83	42.84	42.83	42.84	2099	EUR	
