date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	14.86	14.86	14.86	14.86	25	EUR	
06/07/2018 09:02	14.87	14.87	14.87	14.87	600	EUR	
06/07/2018 09:04	14.87	14.87	14.87	14.87	600	EUR	
06/07/2018 09:06	14.94	14.95	14.94	14.95	336	EUR	
06/07/2018 09:08	14.94	14.95	14.94	14.95	336	EUR	
06/07/2018 09:10	14.94	15	14.94	14.97	3519	EUR	
06/07/2018 09:12	14.94	15	14.94	14.97	3519	EUR	
06/07/2018 09:14	15.09	15.09	15.09	15.09	50	EUR	
06/07/2018 09:16	15.09	15.09	15.08	15.08	48	EUR	
06/07/2018 09:18	15.09	15.09	15.08	15.08	48	EUR	
06/07/2018 09:20	15.05	15.05	15.05	15.05	500	EUR	
06/07/2018 09:22	15.05	15.05	15.05	15.05	500	EUR	
06/07/2018 09:24	15.05	15.05	15.05	15.05	114	EUR	
06/07/2018 09:26	15.02	15.02	15	15	215	EUR	
06/07/2018 09:28	15.02	15.02	15	15	215	EUR	
06/07/2018 09:30	15.02	15.02	15	15	215	EUR	
06/07/2018 09:32	15.02	15.02	15	15	215	EUR	
06/07/2018 09:34	15.02	15.02	15	15	215	EUR	
06/07/2018 09:36	15.02	15.02	15	15	215	EUR	
06/07/2018 09:38	15.01	15.01	15.01	15.01	230	EUR	
06/07/2018 09:40	15.01	15.01	15.01	15.01	230	EUR	
06/07/2018 09:42	15.01	15.01	15.01	15.01	230	EUR	
06/07/2018 09:44	15.01	15.01	15.01	15.01	230	EUR	
06/07/2018 09:46	15.01	15.01	15.01	15.01	230	EUR	
06/07/2018 09:48	15.01	15.01	15.01	15.01	230	EUR	
06/07/2018 09:50	15.04	15.05	15.04	15.04	956	EUR	
06/07/2018 09:52	15.04	15.05	15.04	15.04	956	EUR	
06/07/2018 09:54	15.04	15.05	15.04	15.04	956	EUR	
06/07/2018 09:56	15.03	15.03	15.03	15.03	150	EUR	
06/07/2018 09:58	15.03	15.03	15.03	15.03	40	EUR	
06/07/2018 10:00	15.08	15.08	15.08	15.08	124	EUR	
06/07/2018 10:02	15.08	15.08	15.08	15.08	251	EUR	
06/07/2018 10:04	15.08	15.08	15.08	15.08	251	EUR	
06/07/2018 10:06	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:08	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:10	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:12	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:14	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:16	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:18	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:20	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:22	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:24	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:26	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:28	15.07	15.07	15.07	15.07	679	EUR	
06/07/2018 10:30	15.07	15.11	15.07	15.11	1269	EUR	
06/07/2018 10:32	15.1	15.1	15.09	15.09	966	EUR	
06/07/2018 10:34	15.1	15.1	15.09	15.09	966	EUR	
06/07/2018 10:36	15.12	15.12	15.12	15.12	282	EUR	
06/07/2018 10:38	15.12	15.12	15.12	15.12	282	EUR	
06/07/2018 10:40	15.12	15.12	15.12	15.12	282	EUR	
06/07/2018 10:42	15.12	15.12	15.12	15.12	282	EUR	
06/07/2018 10:44	15.12	15.12	15.12	15.12	74	EUR	
06/07/2018 10:46	15.12	15.12	15.12	15.12	74	EUR	
06/07/2018 10:48	15.12	15.12	15.12	15.12	74	EUR	
06/07/2018 10:50	15.12	15.12	15.12	15.12	74	EUR	
06/07/2018 10:52	15.13	15.15	15.13	15.15	143	EUR	
06/07/2018 10:54	15.13	15.15	15.13	15.15	143	EUR	
06/07/2018 10:56	15.13	15.15	15.13	15.15	143	EUR	
06/07/2018 10:58	15.13	15.15	15.13	15.15	143	EUR	
06/07/2018 11:00	15.13	15.15	15.13	15.15	143	EUR	
06/07/2018 11:02	15.14	15.14	15.14	15.14	376	EUR	
