date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	185.42	185.81	25.21	185.67	240102	USD	
06/07/2018 15:32	185.91	185.96	185.59	185.79	30594	USD	
06/07/2018 15:34	186.05	186.1	185.9	186.075	42009	USD	
06/07/2018 15:36	186.38	186.54	186.31	186.4	59611	USD	
06/07/2018 15:38	186.247	186.35	186.18	186.345	53909	USD	
06/07/2018 15:40	186.5	186.64	186.4	186.42	76482	USD	
06/07/2018 15:42	186.51	186.68	186.43	186.6	33211	USD	
06/07/2018 15:44	186.58	186.6	186.45	186.455	21671	USD	
06/07/2018 15:46	186.46	186.46	186.29	186.401	33733	USD	
06/07/2018 15:48	186.5	186.65	186.41	186.55	61213	USD	
06/07/2018 15:50	186.55	186.58	186.497	186.5	22401	USD	
06/07/2018 15:52	186.64	186.797	186.61	186.797	48412	USD	
06/07/2018 15:54	186.86	186.92	186.815	186.88	41848	USD	
06/07/2018 15:56	186.85	186.96	186.81	186.96	34023	USD	
06/07/2018 15:58	186.97	187.15	186.97	187.14	46639	USD	
06/07/2018 16:00	187.13	187.21	187.01	187.01	68335	USD	
06/07/2018 16:02	186.96	186.96	186.65	186.675	35864	USD	
06/07/2018 16:04	186.539	186.75	186.52	186.71	26940	USD	
06/07/2018 16:06	186.67	186.68	186.59	186.635	11649	USD	
06/07/2018 16:08	186.71	186.809	186.66	186.69	15767	USD	
06/07/2018 16:10	186.775	186.91	186.77	186.82	17764	USD	
06/07/2018 16:12	186.835	186.99	186.83	186.89	21405	USD	
06/07/2018 16:14	186.74	186.82	186.74	186.75	15973	USD	
06/07/2018 16:16	186.84	186.88	186.81	186.85	12194	USD	
06/07/2018 16:18	186.74	186.77	186.68	186.7	15394	USD	
06/07/2018 16:20	186.58	186.58	186.45	186.47	25151	USD	
06/07/2018 16:22	186.344	186.41	186.341	186.4	20378	USD	
06/07/2018 16:24	186.39	186.405	186.289	186.35	18619	USD	
06/07/2018 16:26	186.35	186.35	186.25	186.29	21569	USD	
06/07/2018 16:28	186.31	186.503	186.31	186.48	31920	USD	
06/07/2018 16:30	186.42	186.445	186.35	186.405	19045	USD	
06/07/2018 16:32	186.25	186.25	186.12	186.214	40516	USD	
06/07/2018 16:34	186.171	186.21	186.07	186.11	27321	USD	
06/07/2018 16:36	186.17	186.25	186.17	186.18	17473	USD	
06/07/2018 16:38	186.22	186.4	186.22	186.35	26711	USD	
06/07/2018 16:40	186.34	186.43	186.24	186.43	18764	USD	
06/07/2018 16:42	186.57	186.71	186.54	186.66	29812	USD	
06/07/2018 16:44	186.58	186.7	186.55	186.7	16579	USD	
06/07/2018 16:46	186.59	186.66	186.59	186.61	16101	USD	
06/07/2018 16:48	186.66	186.82	186.66	186.765	27358	USD	
06/07/2018 16:50	186.734	186.8	186.65	186.65	19048	USD	
06/07/2018 16:52	186.733	186.77	186.73	186.75	4416	USD	
06/07/2018 16:54	186.7	186.84	186.69	186.81	10339	USD	
06/07/2018 16:56	186.846	186.878	186.8	186.84	13271	USD	
06/07/2018 16:58	186.85	186.87	186.83	186.83	10998	USD	
06/07/2018 17:00	186.67	186.75	186.67	186.74	21323	USD	
06/07/2018 17:02	186.81	186.83	186.72	186.751	21358	USD	
06/07/2018 17:04	186.7	186.79	186.69	186.79	16630	USD	
06/07/2018 17:06	186.77	186.78	186.67	186.69	17311	USD	
06/07/2018 17:08	186.915	186.98	186.89	186.962	22468	USD	
06/07/2018 17:10	187.009	187.04	186.97	187.024	21231	USD	
06/07/2018 17:12	186.96	187.05	186.94	187.038	13634	USD	
06/07/2018 17:14	187.05	187.07	187	187.06	15507	USD	
06/07/2018 17:16	187.097	187.14	187.06	187.14	18118	USD	
06/07/2018 17:18	187.15	187.165	187.1	187.165	26063	USD	
06/07/2018 17:20	187.16	187.215	187.16	187.18	21820	USD	
06/07/2018 17:22	187.229	187.25	187.19	187.22	20007	USD	
06/07/2018 17:24	187.23	187.25	187.16	187.17	14255	USD	
06/07/2018 17:26	187.23	187.38	187.23	187.36	29613	USD	
06/07/2018 17:28	187.395	187.4	187.3	187.39	14364	USD	
06/07/2018 17:30	187.36	187.39	187.28	187.28	23183	USD	
06/07/2018 17:32	187.31	187.48	187.31	187.419	21784	USD	
06/07/2018 17:34	187.47	187.51	187.42	187.46	32325	USD	
06/07/2018 17:36	187.56	187.57	187.525	187.57	13262	USD	
06/07/2018 17:38	187.54	187.57	187.515	187.56	31649	USD	
06/07/2018 17:40	187.7	187.74	187.525	187.56	28445	USD	
06/07/2018 17:42	187.625	187.7	187.6	187.635	16554	USD	
06/07/2018 17:44	187.57	187.628	187.545	187.6	29113	USD	
06/07/2018 17:46	187.655	187.657	187.52	187.57	16892	USD	
06/07/2018 17:48	187.59	187.64	187.56	187.59	7966	USD	
06/07/2018 17:50	187.62	187.64	187.585	187.61	32531	USD	
06/07/2018 17:52	187.59	187.625	187.47	187.49	21500	USD	
06/07/2018 17:54	187.41	187.532	187.38	187.44	23969	USD	
06/07/2018 17:56	187.53	187.53	187.46	187.52	21647	USD	
06/07/2018 17:58	187.418	187.465	187.325	187.36	16029	USD	
06/07/2018 18:00	187.415	187.53	187.39	187.52	11866	USD	
06/07/2018 18:02	187.54	187.58	187.53	187.56	18484	USD	
06/07/2018 18:04	187.49	187.57	187.48	187.5	14225	USD	
06/07/2018 18:06	187.51	187.52	187.47	187.49	10119	USD	
06/07/2018 18:08	187.515	187.56	187.509	187.52	8504	USD	
06/07/2018 18:10	187.52	187.55	187.49	187.52	14307	USD	
06/07/2018 18:12	187.52	187.59	187.516	187.58	7574	USD	
06/07/2018 18:14	187.58	187.659	187.58	187.659	15139	USD	
06/07/2018 18:16	187.68	187.68	187.55	187.58	14470	USD	
06/07/2018 18:18	187.582	187.67	187.56	187.62	9172	USD	
06/07/2018 18:20	187.63	187.65	187.54	187.58	20470	USD	
06/07/2018 18:22	187.57	187.68	187.57	187.68	9813	USD	
06/07/2018 18:24	187.68	187.736	187.68	187.72	4966	USD	
06/07/2018 18:26	187.76	187.77	187.73	187.73	13963	USD	
06/07/2018 18:28	187.75	187.79	187.7	187.74	10838	USD	
06/07/2018 18:30	187.67	187.711	187.621	187.65	10612	USD	
06/07/2018 18:32	187.69	187.703	187.67	187.67	6854	USD	
06/07/2018 18:34	187.7	187.737	187.69	187.7	12794	USD	
06/07/2018 18:36	187.72	187.79	187.72	187.79	4821	USD	
06/07/2018 18:38	187.775	187.81	187.76	187.78	21513	USD	
06/07/2018 18:40	187.81	187.84	187.75	187.76	14876	USD	
06/07/2018 18:42	187.81	187.84	187.78	187.78	9291	USD	
06/07/2018 18:44	187.7	187.73	187.66	187.665	12211	USD	
06/07/2018 18:46	187.56	187.64	187.56	187.58	13533	USD	
06/07/2018 18:48	187.56	187.6	187.55	187.56	8712	USD	
06/07/2018 18:50	187.55	187.64	187.55	187.58	9676	USD	
06/07/2018 18:52	187.61	187.64	187.61	187.638	6276	USD	
06/07/2018 18:54	187.57	187.63	187.555	187.62	7923	USD	
06/07/2018 18:56	187.66	187.67	187.62	187.62	17460	USD	
06/07/2018 18:58	187.66	187.67	187.63	187.65	4787	USD	
06/07/2018 19:00	187.68	187.73	187.664	187.7	10079	USD	
06/07/2018 19:02	187.7	187.7	187.67	187.67	5486	USD	
06/07/2018 19:04	187.694	187.72	187.69	187.71	9237	USD	
06/07/2018 19:06	187.69	187.69	187.63	187.63	5146	USD	
06/07/2018 19:08	187.68	187.7	187.61	187.625	5855	USD	
06/07/2018 19:10	187.61	187.62	187.56	187.6	5454	USD	
06/07/2018 19:12	187.53	187.555	187.5	187.5	6972	USD	
06/07/2018 19:14	187.48	187.495	187.43	187.44	8703	USD	
06/07/2018 19:16	187.49	187.53	187.477	187.51	10957	USD	
06/07/2018 19:18	187.47	187.474	187.44	187.453	7840	USD	
06/07/2018 19:20	187.56	187.56	187.52	187.53	5861	USD	
06/07/2018 19:22	187.51	187.54	187.45	187.465	8377	USD	
06/07/2018 19:24	187.45	187.484	187.445	187.48	4400	USD	
06/07/2018 19:26	187.495	187.5	187.467	187.475	9823	USD	
06/07/2018 19:28	187.465	187.503	187.46	187.5	4803	USD	
06/07/2018 19:30	187.5	187.52	187.48	187.516	17941	USD	
06/07/2018 19:32	187.52	187.54	187.48	187.49	6178	USD	
06/07/2018 19:34	187.505	187.53	187.49	187.5	9243	USD	
06/07/2018 19:36	187.509	187.52	187.48	187.52	4038	USD	
06/07/2018 19:38	187.56	187.57	187.54	187.54	5800	USD	
06/07/2018 19:40	187.51	187.58	187.51	187.577	6690	USD	
06/07/2018 19:42	187.45	187.45	187.38	187.43	7949	USD	
06/07/2018 19:44	187.48	187.491	187.47	187.48	3560	USD	
06/07/2018 19:46	187.5	187.52	187.49	187.505	8317	USD	
06/07/2018 19:48	187.56	187.59	187.56	187.58	5557	USD	
06/07/2018 19:50	187.595	187.61	187.57	187.57	5000	USD	
06/07/2018 19:52	187.63	187.715	187.63	187.71	11431	USD	
06/07/2018 19:54	187.71	187.72	187.68	187.68	9294	USD	
06/07/2018 19:56	187.671	187.69	187.663	187.69	9177	USD	
06/07/2018 19:58	187.69	187.72	187.69	187.69	8267	USD	
06/07/2018 20:00	187.68	187.69	187.6	187.624	15168	USD	
06/07/2018 20:02	187.7	187.72	187.66	187.665	11235	USD	
06/07/2018 20:04	187.75	187.78	187.72	187.735	20645	USD	
06/07/2018 20:06	187.695	187.71	187.67	187.67	10541	USD	
06/07/2018 20:08	187.7	187.7	187.66	187.69	5124	USD	
06/07/2018 20:10	187.7	187.72	187.655	187.67	9349	USD	
06/07/2018 20:12	187.7	187.72	187.68	187.72	7091	USD	
06/07/2018 20:14	187.675	187.675	187.63	187.63	4214	USD	
06/07/2018 20:16	187.64	187.675	187.64	187.675	5140	USD	
06/07/2018 20:18	187.66	187.68	187.653	187.67	2722	USD	
06/07/2018 20:20	187.612	187.65	187.6	187.6	5256	USD	
06/07/2018 20:22	187.58	187.62	187.56	187.61	3707	USD	
06/07/2018 20:24	187.63	187.65	187.62	187.645	8376	USD	
06/07/2018 20:26	187.64	187.64	187.58	187.63	8355	USD	
06/07/2018 20:28	187.63	187.65	187.62	187.63	2301	USD	
06/07/2018 20:30	187.64	187.65	187.6	187.63	5747	USD	
06/07/2018 20:32	187.67	187.67	187.611	187.63	10051	USD	
06/07/2018 20:34	187.625	187.63	187.588	187.6	5560	USD	
06/07/2018 20:36	187.58	187.58	187.53	187.545	6390	USD	
06/07/2018 20:38	187.52	187.52	187.478	187.5	9000	USD	
