date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	332.84	333.21	331.45	331.769	3936	USD	
06/07/2018 15:32	330.58	331.376	330.52	330.615	5723	USD	
06/07/2018 15:34	331.24	331.87	331.17	331.17	6462	USD	
06/07/2018 15:36	331.47	331.98	331.45	331.804	8397	USD	
06/07/2018 15:38	332	332.228	331.75	332.08	3100	USD	
06/07/2018 15:40	331.8	331.95	331.8	331.95	317	USD	
06/07/2018 15:42	331.82	331.936	331.81	331.82	2200	USD	
06/07/2018 15:44	331.6	331.6	331.58	331.58	200	USD	
06/07/2018 15:46	331.266	331.266	330.905	331.07	6900	USD	
06/07/2018 15:48	331.01	331.14	330.78	330.82	3477	USD	
06/07/2018 15:50	330.89	330.89	330.53	330.53	2223	USD	
06/07/2018 15:52	330.7	331	330.66	330.85	1200	USD	
06/07/2018 15:54	330.811	331.09	330.74	331.09	3450	USD	
06/07/2018 15:56	331.2	331.8	331.2	331.8	15382	USD	
06/07/2018 15:58	332.391	332.83	332.391	332.545	11400	USD	
06/07/2018 16:00	332.377	332.64	332.15	332.47	2597	USD	
06/07/2018 16:02	333.19	333.4	332.88	332.95	2150	USD	
06/07/2018 16:04	332.65	332.68	332.41	332.59	2900	USD	
06/07/2018 16:06	332.11	332.19	331.85	331.97	2131	USD	
06/07/2018 16:08	332.341	332.52	332.341	332.419	1470	USD	
06/07/2018 16:10	332.62	332.77	332.4	332.4	4100	USD	
06/07/2018 16:12	332.627	332.84	332.55	332.71	5294	USD	
06/07/2018 16:14	332.31	332.4	332.31	332.346	810	USD	
06/07/2018 16:16	332.29	332.29	332.29	332.29	100	USD	
06/07/2018 16:18	332.1	332.12	332.1	332.12	200	USD	
06/07/2018 16:20	331.87	332.01	331.7	331.7	1800	USD	
06/07/2018 16:22	331.36	331.6	331.16	331.16	5030	USD	
06/07/2018 16:24	331.31	331.52	331.31	331.36	1310	USD	
06/07/2018 16:26	331.82	331.82	331.57	331.76	1400	USD	
06/07/2018 16:28	331.811	332.316	331.811	332.316	5758	USD	
06/07/2018 16:30	332.33	332.33	332.14	332.28	2588	USD	
