date	ouv	haut	bas	clot	vol	devise	
09/07/2018 02:20	77.14	77.14	77.12	77.12	2	USD	
09/07/2018 02:22	77.11	77.11	77.11	77.11	1	USD	
09/07/2018 02:24	77.1	77.1	77.1	77.1	1	USD	
09/07/2018 02:26	77.11	77.11	77.11	77.11	1	USD	
09/07/2018 02:28	77.1	77.1	77.1	77.1	2	USD	
09/07/2018 02:30	77.1	77.1	77.1	77.1	1	USD	
09/07/2018 02:32	77.09	77.11	77.09	77.11	5	USD	
09/07/2018 02:34	77.08	77.08	77.08	77.08	2	USD	
09/07/2018 02:36	77.07	77.09	77.07	77.08	5	USD	
09/07/2018 02:38	77.07	77.07	77.07	77.07	1	USD	
09/07/2018 02:40	77.06	77.06	77.06	77.06	1	USD	
09/07/2018 02:42	77.07	77.07	77.07	77.07	4	USD	
09/07/2018 02:44	77.09	77.09	77.09	77.09	1	USD	
09/07/2018 02:46	77.09	77.09	77.09	77.09	5	USD	
09/07/2018 02:48	77.1	77.1	77.1	77.1	1	USD	
09/07/2018 02:50	77.1	77.11	77.1	77.11	3	USD	
09/07/2018 02:52	77.1	77.1	77.1	77.1	3	USD	
09/07/2018 02:54	77.11	77.11	77.1	77.11	4	USD	
09/07/2018 02:56	77.09	77.09	77.09	77.09	1	USD	
09/07/2018 02:58	77.1	77.1	77.09	77.09	5	USD	
09/07/2018 03:00	77.09	77.21	77.09	77.2	256	USD	
09/07/2018 03:02	77.23	77.32	77.23	77.31	99	USD	
09/07/2018 03:04	77.26	77.26	77.25	77.25	9	USD	
09/07/2018 03:06	77.3	77.31	77.27	77.29	25	USD	
09/07/2018 03:08	77.27	77.28	77.27	77.27	4	USD	
09/07/2018 03:10	77.27	77.27	77.26	77.27	6	USD	
09/07/2018 03:12	77.27	77.27	77.27	77.27	6	USD	
09/07/2018 03:14	77.25	77.27	77.21	77.27	34	USD	
09/07/2018 03:16	77.28	77.31	77.28	77.31	28	USD	
09/07/2018 03:18	77.26	77.26	77.25	77.26	10	USD	
09/07/2018 03:20	77.22	77.23	77.21	77.22	21	USD	
09/07/2018 03:22	77.24	77.25	77.22	77.22	7	USD	
09/07/2018 03:24	77.25	77.26	77.25	77.26	3	USD	
09/07/2018 03:26	77.26	77.28	77.25	77.25	16	USD	
09/07/2018 03:28	77.25	77.25	77.22	77.22	4	USD	
09/07/2018 03:30	77.26	77.27	77.26	77.26	5	USD	
09/07/2018 03:32	77.27	77.28	77.26	77.28	95	USD	
09/07/2018 03:34	77.29	77.3	77.29	77.29	30	USD	
09/07/2018 03:36	77.26	77.29	77.26	77.28	42	USD	
09/07/2018 03:38	77.29	77.3	77.28	77.28	11	USD	
09/07/2018 03:40	77.29	77.3	77.29	77.3	17	USD	
09/07/2018 03:42	77.29	77.29	77.29	77.29	1	USD	
09/07/2018 03:44	77.3	77.3	77.29	77.29	3	USD	
09/07/2018 03:46	77.34	77.35	77.34	77.34	8	USD	
09/07/2018 03:48	77.35	77.35	77.33	77.33	42	USD	
09/07/2018 03:50	77.35	77.35	77.33	77.35	25	USD	
09/07/2018 03:52	77.36	77.41	77.36	77.4	66	USD	
09/07/2018 03:54	77.43	77.45	77.43	77.44	59	USD	
09/07/2018 03:56	77.43	77.43	77.41	77.42	15	USD	
09/07/2018 03:58	77.43	77.43	77.42	77.43	9	USD	
09/07/2018 04:00	77.49	77.5	77.47	77.47	25	USD	
09/07/2018 04:02	77.46	77.46	77.44	77.44	15	USD	
09/07/2018 04:04	77.46	77.46	77.46	77.46	1	USD	
09/07/2018 04:06	77.43	77.43	77.43	77.43	7	USD	
09/07/2018 04:08	77.43	77.43	77.42	77.43	8	USD	
09/07/2018 04:10	77.43	77.43	77.43	77.43	25	USD	
09/07/2018 04:12	77.41	77.41	77.41	77.41	1	USD	
09/07/2018 04:14	77.42	77.42	77.42	77.42	2	USD	
09/07/2018 04:16	77.42	77.43	77.42	77.42	6	USD	
09/07/2018 04:18	77.42	77.42	77.41	77.41	4	USD	
09/07/2018 04:20	77.42	77.42	77.42	77.42	1	USD	
09/07/2018 04:22	77.43	77.43	77.43	77.43	1	USD	
09/07/2018 04:24	77.41	77.41	77.41	77.41	4	USD	
09/07/2018 04:26	77.41	77.41	77.41	77.41	2	USD	
09/07/2018 04:28	77.41	77.41	77.41	77.41	4	USD	
09/07/2018 04:30	77.42	77.42	77.42	77.42	1	USD	
09/07/2018 04:32	77.43	77.44	77.43	77.44	7	USD	
09/07/2018 04:34	77.45	77.47	77.44	77.47	14	USD	
09/07/2018 04:36	77.46	77.46	77.43	77.45	27	USD	
09/07/2018 04:38	77.46	77.49	77.45	77.45	34	USD	
09/07/2018 04:40	77.45	77.46	77.45	77.46	2	USD	
09/07/2018 04:42	77.46	77.46	77.46	77.46	2	USD	
09/07/2018 04:44	77.46	77.46	77.46	77.46	2	USD	
09/07/2018 04:46	77.46	77.46	77.46	77.46	4	USD	
09/07/2018 04:48	77.47	77.48	77.47	77.48	8	USD	
09/07/2018 04:50	77.51	77.51	77.5	77.5	6	USD	
09/07/2018 04:52	77.48	77.48	77.47	77.47	2	USD	
09/07/2018 04:54	77.46	77.47	77.46	77.47	4	USD	
09/07/2018 04:56	77.47	77.47	77.47	77.47	1	USD	
09/07/2018 04:58	77.47	77.49	77.47	77.49	25	USD	
09/07/2018 05:00	77.51	77.53	77.5	77.53	58	USD	
09/07/2018 05:02	77.5	77.5	77.47	77.49	37	USD	
09/07/2018 05:04	77.46	77.47	77.45	77.47	13	USD	
09/07/2018 05:06	77.47	77.49	77.47	77.49	27	USD	
09/07/2018 05:08	77.5	77.5	77.5	77.5	4	USD	
09/07/2018 05:10	77.49	77.5	77.49	77.49	3	USD	
09/07/2018 05:12	77.48	77.49	77.48	77.49	2	USD	
09/07/2018 05:14	77.5	77.5	77.5	77.5	11	USD	
09/07/2018 05:16	77.49	77.49	77.47	77.47	6	USD	
09/07/2018 05:18	77.49	77.5	77.49	77.5	16	USD	
09/07/2018 05:20	77.49	77.51	77.49	77.51	10	USD	
09/07/2018 05:22	77.51	77.51	77.51	77.51	6	USD	
09/07/2018 05:24	77.5	77.5	77.5	77.5	2	USD	
09/07/2018 05:26	77.51	77.51	77.51	77.51	13	USD	
09/07/2018 05:28	77.5	77.5	77.49	77.49	9	USD	
09/07/2018 05:30	77.51	77.51	77.51	77.51	2	USD	
09/07/2018 05:32	77.52	77.52	77.52	77.52	1	USD	
09/07/2018 05:34	77.51	77.51	77.51	77.51	5	USD	
09/07/2018 05:36	77.5	77.5	77.5	77.5	5	USD	
09/07/2018 05:38	77.51	77.51	77.51	77.51	7	USD	
09/07/2018 05:40	77.52	77.52	77.51	77.51	9	USD	
09/07/2018 05:42	77.49	77.5	77.49	77.5	9	USD	
09/07/2018 05:44	77.49	77.5	77.49	77.5	11	USD	
09/07/2018 05:46	77.48	77.48	77.47	77.47	7	USD	
09/07/2018 05:48	77.48	77.48	77.48	77.48	3	USD	
09/07/2018 05:50	77.49	77.49	77.49	77.49	2	USD	
09/07/2018 05:52	77.5	77.5	77.5	77.5	2	USD	
09/07/2018 05:54	77.5	77.5	77.5	77.5	9	USD	
09/07/2018 05:56	77.49	77.49	77.49	77.49	1	USD	
09/07/2018 05:58	77.46	77.47	77.46	77.46	11	USD	
09/07/2018 06:00	77.46	77.46	77.41	77.46	69	USD	
09/07/2018 06:02	77.47	77.47	77.47	77.47	3	USD	
09/07/2018 06:04	77.48	77.48	77.48	77.48	2	USD	
09/07/2018 06:06	77.48	77.48	77.48	77.48	3	USD	
09/07/2018 06:08	77.5	77.51	77.5	77.5	21	USD	
09/07/2018 06:10	77.51	77.51	77.51	77.51	4	USD	
09/07/2018 06:12	77.5	77.5	77.5	77.5	1	USD	
09/07/2018 06:14	77.5	77.5	77.49	77.49	6	USD	
09/07/2018 06:16	77.47	77.48	77.47	77.47	5	USD	
09/07/2018 06:18	77.46	77.47	77.46	77.47	3	USD	
09/07/2018 06:20	77.48	77.48	77.47	77.48	3	USD	
09/07/2018 06:22	77.46	77.48	77.46	77.48	3	USD	
09/07/2018 06:24	77.48	77.48	77.48	77.48	1	USD	
09/07/2018 06:26	77.48	77.48	77.48	77.48	2	USD	
09/07/2018 06:28	77.49	77.49	77.49	77.49	1	USD	
09/07/2018 06:30	77.47	77.47	77.45	77.45	14	USD	
09/07/2018 06:32	77.43	77.44	77.43	77.44	2	USD	
09/07/2018 06:34	77.44	77.44	77.44	77.44	1	USD	
09/07/2018 06:36	77.44	77.45	77.44	77.45	3	USD	
09/07/2018 06:38	77.43	77.44	77.43	77.44	2	USD	
09/07/2018 06:40	77.45	77.45	77.45	77.45	5	USD	
09/07/2018 06:42	77.44	77.46	77.44	77.46	3	USD	
09/07/2018 06:44	77.45	77.46	77.45	77.45	3	USD	
09/07/2018 06:46	77.44	77.44	77.44	77.44	1	USD	
09/07/2018 06:48	77.44	77.45	77.44	77.45	2	USD	
09/07/2018 06:50	77.45	77.45	77.45	77.45	3	USD	
09/07/2018 06:52	77.45	77.45	77.45	77.45	1	USD	
09/07/2018 06:54	77.45	77.45	77.45	77.45	1	USD	
09/07/2018 06:56	77.44	77.46	77.44	77.45	5	USD	
09/07/2018 06:58	77.44	77.44	77.44	77.44	1	USD	
09/07/2018 07:00	77.44	77.44	77.44	77.44	2	USD	
09/07/2018 07:02	77.44	77.44	77.42	77.42	25	USD	
