date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	123.52	123.79	123.52	123.79	800	USD	
06/07/2018 15:32	123.43	123.5	123.32	123.47	2300	USD	
06/07/2018 15:34	123.465	123.465	123.28	123.39	3731	USD	
06/07/2018 15:36	123.65	123.76	123.641	123.76	461	USD	
06/07/2018 15:38	123.66	123.826	39.69	123.826	2366	USD	
06/07/2018 15:40	123.85	123.91	123.78	123.78	6628	USD	
06/07/2018 15:42	123.7	123.7	123.58	123.68	5812	USD	
06/07/2018 15:44	123.488	123.64	123.488	123.64	1765	USD	
06/07/2018 15:46	123.52	123.66	123.52	123.66	15320	USD	
06/07/2018 15:48	123.44	123.51	123.42	123.51	4523	USD	
06/07/2018 15:50	123.51	123.52	123.5	123.5	800	USD	
06/07/2018 15:52	123.493	123.53	123.49	123.5	1197	USD	
06/07/2018 15:54	123.588	123.632	123.56	123.62	7120	USD	
06/07/2018 15:56	22.52	123.76	22.52	123.73	1075	USD	
06/07/2018 15:58	123.785	123.85	123.73	123.84	3300	USD	
06/07/2018 16:00	123.89	123.9	123.81	123.855	4500	USD	
06/07/2018 16:02	123.88	123.89	123.82	123.877	2900	USD	
06/07/2018 16:04	123.81	123.86	123.79	123.81	2401	USD	
06/07/2018 16:06	123.83	123.97	123.83	123.97	9438	USD	
06/07/2018 16:08	124.06	124.11	123.991	123.991	7252	USD	
06/07/2018 16:10	123.95	123.965	123.904	123.94	5646	USD	
06/07/2018 16:12	123.84	123.95	123.82	123.95	2800	USD	
06/07/2018 16:14	123.91	123.99	123.91	123.955	1969	USD	
06/07/2018 16:16	124.06	124.129	124.03	124.129	2000	USD	
06/07/2018 16:18	124.01	124.07	123.992	124.05	11101	USD	
06/07/2018 16:20	124.05	124.11	124.017	124.017	16050	USD	
06/07/2018 16:22	124.01	124.01	123.97	124	10900	USD	
06/07/2018 16:24	124.08	124.17	124.04	124.17	4150	USD	
06/07/2018 16:26	124.06	124.13	124.06	124.115	2550	USD	
06/07/2018 16:28	124.17	124.21	124.17	124.18	6264	USD	
