date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	42.36	42.42	42.31	42.42	301005	USD	
06/07/2018 15:32	42.48	42.5	42.42	42.44	27934	USD	
06/07/2018 15:34	42.435	42.485	42.41	42.485	10960	USD	
06/07/2018 15:36	42.56	42.565	42.54	42.54	16593	USD	
06/07/2018 15:38	42.55	42.58	42.52	42.545	14063	USD	
06/07/2018 15:40	42.55	42.555	42.52	42.52	21416	USD	
06/07/2018 15:42	42.558	42.59	42.555	42.575	10030	USD	
06/07/2018 15:44	42.57	42.58	42.54	42.54	11375	USD	
06/07/2018 15:46	42.5	42.55	42.49	42.55	19450	USD	
06/07/2018 15:48	42.59	42.63	42.585	42.61	18589	USD	
06/07/2018 15:50	42.545	42.545	42.52	42.52	20894	USD	
06/07/2018 15:52	42.54	42.565	42.54	42.55	16966	USD	
06/07/2018 15:54	42.53	42.54	42.475	42.495	38732	USD	
06/07/2018 15:56	42.42	42.44	42.4	42.43	23266	USD	
06/07/2018 15:58	42.445	42.504	42.44	42.49	32714	USD	
06/07/2018 16:00	42.485	42.49	42.46	42.47	25950	USD	
06/07/2018 16:02	42.45	42.465	42.44	42.46	26535	USD	
06/07/2018 16:04	42.48	42.53	42.475	42.52	32378	USD	
06/07/2018 16:06	42.53	42.53	42.49	42.5	17367	USD	
06/07/2018 16:08	42.485	42.5	42.45	42.465	39113	USD	
06/07/2018 16:10	42.49	42.52	42.48	42.5	18415	USD	
06/07/2018 16:12	42.54	42.55	42.52	42.52	26108	USD	
06/07/2018 16:14	42.48	42.48	42.47	42.475	10463	USD	
06/07/2018 16:16	42.415	42.46	42.415	42.455	22154	USD	
06/07/2018 16:18	42.44	42.47	42.44	42.46	17312	USD	
06/07/2018 16:20	42.465	42.47	42.45	42.45	27075	USD	
06/07/2018 16:22	42.415	42.43	42.39	42.41	22599	USD	
06/07/2018 16:24	42.41	42.41	42.39	42.395	24495	USD	
06/07/2018 16:26	42.43	42.45	42.425	42.43	17201	USD	
06/07/2018 16:28	42.45	42.495	42.45	42.485	18560	USD	
06/07/2018 16:30	42.46	42.47	42.44	42.445	29389	USD	
06/07/2018 16:32	42.43	42.455	42.42	42.445	38000	USD	
06/07/2018 16:34	42.44	42.443	42.42	42.44	31667	USD	
06/07/2018 16:36	42.445	42.48	42.445	42.47	34939	USD	
06/07/2018 16:38	42.485	42.5	42.47	42.47	64479	USD	
06/07/2018 16:40	42.46	42.5	42.455	42.49	46897	USD	
06/07/2018 16:42	42.495	42.5	42.48	42.5	122482	USD	
06/07/2018 16:44	42.5	42.5	42.48	42.49	76909	USD	
06/07/2018 16:46	42.46	42.49	42.46	42.485	36929	USD	
06/07/2018 16:48	42.47	42.51	42.47	42.5	100000	USD	
06/07/2018 16:50	42.475	42.495	42.475	42.48	34061	USD	
06/07/2018 16:52	42.48	42.495	42.47	42.485	25460	USD	
06/07/2018 16:54	42.48	42.5	42.48	42.49	44545	USD	
06/07/2018 16:56	42.485	42.5	42.47	42.475	34969	USD	
06/07/2018 16:58	42.49	42.5	42.475	42.48	23106	USD	
06/07/2018 17:00	42.5	42.5	42.49	42.49	31385	USD	
06/07/2018 17:02	42.483	42.5	42.48	42.495	30310	USD	
06/07/2018 17:04	42.485	42.5	42.48	42.48	24698	USD	
06/07/2018 17:06	42.495	42.5	42.45	42.45	30861	USD	
06/07/2018 17:08	42.49	42.505	42.47	42.49	115406	USD	
06/07/2018 17:10	42.515	42.52	42.5	42.515	67735	USD	
06/07/2018 17:12	42.505	42.52	42.505	42.515	65133	USD	
06/07/2018 17:14	42.51	42.52	42.51	42.515	80558	USD	
06/07/2018 17:16	42.515	42.535	42.51	42.535	13108	USD	
06/07/2018 17:18	42.595	42.63	42.595	42.625	46372	USD	
06/07/2018 17:20	42.66	42.685	42.65	42.65	28894	USD	
06/07/2018 17:22	42.655	42.66	42.63	42.63	79976	USD	
06/07/2018 17:24	42.655	42.66	42.615	42.615	74031	USD	
06/07/2018 17:26	42.64	42.655	42.634	42.645	54396	USD	
06/07/2018 17:28	42.665	42.67	42.66	42.665	15869	USD	
06/07/2018 17:30	42.655	42.7	42.655	42.7	11334	USD	
06/07/2018 17:32	42.685	42.695	42.68	42.686	23900	USD	
06/07/2018 17:34	42.715	42.75	42.71	42.745	51376	USD	
06/07/2018 17:36	42.78	42.79	42.76	42.775	21212	USD	
06/07/2018 17:38	42.744	42.785	42.744	42.78	17289	USD	
06/07/2018 17:40	42.795	42.8	42.75	42.755	30070	USD	
06/07/2018 17:42	42.75	42.785	42.75	42.775	38513	USD	
06/07/2018 17:44	42.78	42.78	42.76	42.772	24658	USD	
06/07/2018 17:46	42.8	42.81	42.79	42.795	16837	USD	
06/07/2018 17:48	42.745	42.785	42.745	42.77	29790	USD	
06/07/2018 17:50	42.77	42.77	42.74	42.74	14208	USD	
06/07/2018 17:52	42.73	42.74	42.7	42.7	13399	USD	
06/07/2018 17:54	42.725	42.745	42.72	42.72	18455	USD	
06/07/2018 17:56	42.739	42.745	42.73	42.743	5989	USD	
06/07/2018 17:58	42.715	42.725	42.71	42.72	20623	USD	
06/07/2018 18:00	42.725	42.75	42.72	42.75	25037	USD	
06/07/2018 18:02	42.764	42.77	42.76	42.765	5610	USD	
06/07/2018 18:04	42.76	42.8	42.76	42.775	27768	USD	
06/07/2018 18:06	42.795	42.815	42.795	42.805	12181	USD	
06/07/2018 18:08	42.825	42.845	42.82	42.82	17864	USD	
06/07/2018 18:10	42.815	42.82	42.805	42.815	15737	USD	
06/07/2018 18:12	42.82	42.82	42.81	42.815	6150	USD	
06/07/2018 18:14	42.82	42.83	42.813	42.83	8860	USD	
06/07/2018 18:16	42.815	42.815	42.79	42.794	8808	USD	
06/07/2018 18:18	42.8	42.82	42.8	42.815	8231	USD	
06/07/2018 18:20	42.8	42.82	42.79	42.82	42663	USD	
06/07/2018 18:22	42.82	42.84	42.82	42.84	8814	USD	
06/07/2018 18:24	42.83	42.845	42.83	42.835	14839	USD	
06/07/2018 18:26	42.838	42.86	42.838	42.85	19293	USD	
06/07/2018 18:28	42.84	42.85	42.83	42.835	19001	USD	
06/07/2018 18:30	42.83	42.84	42.815	42.815	12368	USD	
06/07/2018 18:32	42.85	42.855	42.845	42.845	9874	USD	
06/07/2018 18:34	42.835	42.85	42.835	42.85	18901	USD	
06/07/2018 18:36	42.845	42.85	42.84	42.843	5394	USD	
06/07/2018 18:38	42.85	42.86	42.85	42.85	14538	USD	
06/07/2018 18:40	42.855	42.855	42.83	42.835	14403	USD	
06/07/2018 18:42	42.86	42.87	42.855	42.87	23866	USD	
06/07/2018 18:44	42.855	42.87	42.855	42.86	10637	USD	
06/07/2018 18:46	42.835	42.84	42.8	42.8	16169	USD	
06/07/2018 18:48	42.795	42.8	42.79	42.79	8200	USD	
06/07/2018 18:50	42.775	42.79	42.775	42.79	9315	USD	
06/07/2018 18:52	42.785	42.79	42.78	42.78	2027	USD	
06/07/2018 18:54	42.78	42.79	42.77	42.78	11600	USD	
06/07/2018 18:56	42.785	42.79	42.78	42.785	3498	USD	
06/07/2018 18:58	42.785	42.79	42.78	42.78	4052	USD	
06/07/2018 19:00	42.78	42.795	42.78	42.78	20536	USD	
06/07/2018 19:02	42.79	42.795	42.775	42.78	43874	USD	
06/07/2018 19:04	42.79	42.81	42.781	42.8	12036	USD	
06/07/2018 19:06	42.8	42.806	42.8	42.8	2619	USD	
06/07/2018 19:08	42.815	42.815	42.8	42.8	8449	USD	
06/07/2018 19:10	42.792	42.81	42.792	42.805	2578	USD	
06/07/2018 19:12	42.795	42.805	42.79	42.795	7606	USD	
06/07/2018 19:14	42.79	42.8	42.78	42.79	14536	USD	
06/07/2018 19:16	42.8	42.805	42.79	42.8	13835	USD	
06/07/2018 19:18	42.78	42.79	42.772	42.772	6141	USD	
06/07/2018 19:20	42.8	42.81	42.8	42.8	4223	USD	
06/07/2018 19:22	42.805	42.805	42.78	42.79	10574	USD	
06/07/2018 19:24	42.79	42.8	42.79	42.8	4014	USD	
06/07/2018 19:26	42.8	42.8	42.79	42.795	3152	USD	
06/07/2018 19:28	42.795	42.8	42.79	42.795	3715	USD	
06/07/2018 19:30	42.795	42.797	42.79	42.795	2236	USD	
06/07/2018 19:32	42.8	42.8	42.78	42.79	19403	USD	
06/07/2018 19:34	42.785	42.79	42.78	42.785	7103	USD	
06/07/2018 19:36	42.785	42.79	42.78	42.783	4385	USD	
06/07/2018 19:38	42.79	42.8	42.79	42.796	2650	USD	
06/07/2018 19:40	42.805	42.82	42.8	42.815	7935	USD	
06/07/2018 19:42	42.785	42.785	42.77	42.78	8038	USD	
06/07/2018 19:44	42.78	42.78	42.77	42.775	2200	USD	
06/07/2018 19:46	42.77	42.785	42.77	42.77	7580	USD	
06/07/2018 19:48	42.78	42.787	42.77	42.785	10736	USD	
06/07/2018 19:50	42.785	42.785	42.77	42.775	14642	USD	
06/07/2018 19:52	42.79	42.81	42.79	42.805	14973	USD	
06/07/2018 19:54	42.805	42.81	42.8	42.8	4295	USD	
06/07/2018 19:56	42.8	42.8	42.79	42.795	7457	USD	
06/07/2018 19:58	42.79	42.8	42.79	42.795	6326	USD	
06/07/2018 20:00	42.785	42.79	42.775	42.775	16746	USD	
06/07/2018 20:02	42.785	42.79	42.75	42.75	19621	USD	
06/07/2018 20:04	42.77	42.77	42.76	42.765	2816	USD	
06/07/2018 20:06	42.76	42.775	42.76	42.77	17489	USD	
06/07/2018 20:08	42.775	42.779	42.77	42.775	9129	USD	
06/07/2018 20:10	42.76	42.77	42.76	42.76	15718	USD	
06/07/2018 20:12	42.77	42.77	42.76	42.765	4528	USD	
06/07/2018 20:14	42.763	42.77	42.75	42.76	19871	USD	
06/07/2018 20:16	42.767	42.77	42.761	42.764	4697	USD	
06/07/2018 20:18	42.77	42.77	42.76	42.77	4775	USD	
06/07/2018 20:20	42.76	42.77	42.75	42.765	3853	USD	
06/07/2018 20:22	42.76	42.77	42.76	42.765	7714	USD	
06/07/2018 20:24	42.765	42.78	42.765	42.775	8162	USD	
06/07/2018 20:26	42.785	42.785	42.77	42.775	20403	USD	
06/07/2018 20:28	42.775	42.775	42.75	42.75	18886	USD	
06/07/2018 20:30	42.75	42.755	42.74	42.745	31321	USD	
06/07/2018 20:32	42.745	42.745	42.74	42.745	5250	USD	
06/07/2018 20:34	42.735	42.735	42.72	42.725	18779	USD	
06/07/2018 20:36	42.715	42.715	42.7	42.705	26936	USD	
06/07/2018 20:38	42.68	42.69	42.68	42.68	12608	USD	
06/07/2018 20:40	42.665	42.68	42.66	42.675	9112	USD	
06/07/2018 20:42	42.695	42.72	42.69	42.708	34719	USD	
06/07/2018 20:44	42.713	42.72	42.71	42.715	4778	USD	
06/07/2018 20:46	42.72	42.73	42.715	42.725	22045	USD	
06/07/2018 20:48	42.72	42.735	42.71	42.725	21993	USD	
06/07/2018 20:50	42.73	42.73	42.72	42.72	7393	USD	
06/07/2018 20:52	42.725	42.725	42.71	42.715	14673	USD	
06/07/2018 20:54	42.7	42.71	42.695	42.705	27904	USD	
06/07/2018 20:56	42.735	42.74	42.73	42.735	13439	USD	
06/07/2018 20:58	42.745	42.745	42.73	42.745	18578	USD	
06/07/2018 21:00	42.745	42.75	42.71	42.71	32286	USD	
06/07/2018 21:02	42.68	42.68	42.665	42.675	30078	USD	
06/07/2018 21:04	42.695	42.715	42.695	42.71	36496	USD	
06/07/2018 21:06	42.715	42.73	42.715	42.725	7357	USD	
06/07/2018 21:08	42.74	42.76	42.74	42.755	13421	USD	
06/07/2018 21:10	42.75	42.755	42.72	42.725	27883	USD	
06/07/2018 21:12	42.72	42.72	42.71	42.714	9653	USD	
06/07/2018 21:14	42.73	42.74	42.72	42.72	21341	USD	
06/07/2018 21:16	42.725	42.73	42.71	42.73	12690	USD	
06/07/2018 21:18	42.725	42.748	42.725	42.74	10752	USD	
06/07/2018 21:20	42.745	42.75	42.74	42.742	5250	USD	
06/07/2018 21:22	42.755	42.755	42.74	42.745	9078	USD	
06/07/2018 21:24	42.76	42.775	42.75	42.77	19244	USD	
06/07/2018 21:26	42.79	42.82	42.79	42.809	47049	USD	
06/07/2018 21:28	42.81	42.81	42.78	42.785	21171	USD	
06/07/2018 21:30	42.805	42.81	42.79	42.81	24962	USD	
06/07/2018 21:32	42.805	42.805	42.78	42.785	18559	USD	
06/07/2018 21:34	42.785	42.79	42.76	42.76	25965	USD	
06/07/2018 21:36	42.74	42.746	42.72	42.735	35980	USD	
06/07/2018 21:38	42.74	42.76	42.74	42.741	22250	USD	
06/07/2018 21:40	42.75	42.76	42.72	42.72	27603	USD	
06/07/2018 21:42	42.715	42.73	42.71	42.715	35105	USD	
06/07/2018 21:44	42.73	42.73	42.7	42.7	47265	USD	
06/07/2018 21:46	42.665	42.665	42.64	42.645	42840	USD	
06/07/2018 21:48	42.64	42.65	42.62	42.625	27023	USD	
06/07/2018 21:50	42.62	42.66	42.58	42.655	80317	USD	
06/07/2018 21:52	42.675	42.68	42.66	42.67	29464	USD	
06/07/2018 21:54	42.685	42.69	42.67	42.67	33723	USD	
06/07/2018 21:56	42.68	42.7	42.67	42.7	51109	USD	
06/07/2018 21:58	42.7	42.72	42.68	42.72	95956	USD	
06/07/2018 22:00	42.71	42.71	42.71	42.71	0	USD	
