date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	73.6	73.6	73.5	73.5	63	EUR	
06/07/2018 09:02	73.6	73.6	73.5	73.5	63	EUR	
06/07/2018 09:04	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:06	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:08	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:10	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:12	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:14	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:16	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:18	73.6	73.6	73.6	73.6	5	EUR	
06/07/2018 09:20	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:22	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:24	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:26	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:28	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:30	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:32	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:34	73.5	73.5	73.5	73.5	27	EUR	
06/07/2018 09:36	74	74	74	74	3	EUR	
06/07/2018 09:38	74	74	74	74	28	EUR	
06/07/2018 09:40	74	74	74	74	28	EUR	
06/07/2018 09:42	74.2	74.3	74.2	74.3	13	EUR	
06/07/2018 09:44	74.3	74.3	74.3	74.3	12	EUR	
06/07/2018 09:46	74.4	74.4	74.4	74.4	5	EUR	
06/07/2018 09:48	74.4	74.4	74.4	74.4	5	EUR	
06/07/2018 09:50	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 09:52	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 09:54	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 09:56	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 09:58	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 10:00	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 10:02	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 10:04	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 10:06	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 10:08	74.4	74.4	74.4	74.4	10	EUR	
06/07/2018 10:10	74.4	74.4	74.4	74.4	1	EUR	
06/07/2018 10:12	74.4	74.4	74.4	74.4	1	EUR	
06/07/2018 10:14	74.4	74.4	74.4	74.4	1	EUR	
06/07/2018 10:16	74.4	74.4	74.4	74.4	1	EUR	
06/07/2018 10:18	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:20	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:22	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:24	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:26	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:28	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:30	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:32	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:34	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:36	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:38	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:40	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:42	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:44	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:46	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:48	74.4	74.4	74.4	74.4	11	EUR	
06/07/2018 10:50	74	74	74	74	3	EUR	
06/07/2018 10:52	74	74	74	74	3	EUR	
06/07/2018 10:54	74	74	74	74	3	EUR	
06/07/2018 10:56	74	74	74	74	3	EUR	
06/07/2018 10:58	74.3	74.3	74.3	74.3	17	EUR	
06/07/2018 11:00	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:02	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:04	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:06	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:08	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:10	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:12	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:14	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:16	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:18	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:20	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:22	74.3	74.4	74.3	74.4	4	EUR	
06/07/2018 11:24	74.3	74.3	74.3	74.3	16	EUR	
06/07/2018 11:26	74.3	74.3	74.3	74.3	16	EUR	
06/07/2018 11:28	74.3	74.3	74.3	74.3	16	EUR	
06/07/2018 11:30	74.3	74.3	74.3	74.3	16	EUR	
06/07/2018 11:32	74.3	74.3	74.3	74.3	16	EUR	
06/07/2018 11:34	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:36	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:38	74.3	74.3	74.3	74.3	3	EUR	
06/07/2018 11:40	74.3	74.3	74.3	74.3	3	EUR	
06/07/2018 11:42	74	74	74	74	4	EUR	
06/07/2018 11:44	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:46	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:48	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:50	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:52	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:54	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:56	74.3	74.3	74.3	74.3	1	EUR	
06/07/2018 11:58	74.3	74.3	74.3	74.3	1	EUR	
