date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	66.5	66.5	66.45	66.45	1093	EUR	
06/07/2018 09:02	66.45	66.55	66.35	66.55	534	EUR	
06/07/2018 09:04	66.65	66.85	66.65	66.85	1729	EUR	
06/07/2018 09:06	67.05	67.1	66.9	67	1275	EUR	
06/07/2018 09:08	67	67.05	66.8	66.85	1383	EUR	
06/07/2018 09:10	67.1	67.15	67.05	67.1	917	EUR	
06/07/2018 09:12	67.3	67.5	67.3	67.5	1377	EUR	
06/07/2018 09:14	67.3	67.3	67.1	67.1	1013	EUR	
06/07/2018 09:16	67.15	67.25	67.15	67.25	283	EUR	
06/07/2018 09:18	67.15	67.25	67.15	67.25	144	EUR	
06/07/2018 09:20	67.4	67.4	67.3	67.35	948	EUR	
06/07/2018 09:22	67.35	67.35	67.35	67.35	17	EUR	
06/07/2018 09:24	67.4	67.4	67.35	67.35	528	EUR	
06/07/2018 09:26	67.4	67.4	67.35	67.35	604	EUR	
06/07/2018 09:28	67.5	67.5	67.5	67.5	770	EUR	
06/07/2018 09:30	67.55	67.55	67.55	67.55	162	EUR	
06/07/2018 09:32	67.45	67.45	67.45	67.45	101	EUR	
06/07/2018 09:34	67.35	67.35	67.35	67.35	61	EUR	
06/07/2018 09:36	67.3	67.3	67.3	67.3	460	EUR	
06/07/2018 09:38	67.35	67.35	67.35	67.35	141	EUR	
06/07/2018 09:40	67.4	67.4	67.4	67.4	140	EUR	
06/07/2018 09:42	67.4	67.4	67.4	67.4	63	EUR	
06/07/2018 09:44	67.4	67.4	67.4	67.4	121	EUR	
06/07/2018 09:46	67.4	67.4	67.4	67.4	32	EUR	
06/07/2018 09:48	67.45	67.45	67.45	67.45	565	EUR	
06/07/2018 09:50	67.5	67.55	67.5	67.55	1027	EUR	
06/07/2018 09:52	67.6	67.75	67.6	67.75	274	EUR	
06/07/2018 09:54	67.7	67.75	67.7	67.75	136	EUR	
06/07/2018 09:56	67.65	67.7	67.65	67.7	628	EUR	
06/07/2018 09:58	67.75	67.75	67.7	67.7	205	EUR	
06/07/2018 10:00	67.65	67.65	67.65	67.65	441	EUR	
06/07/2018 10:02	67.5	67.55	67.5	67.55	405	EUR	
06/07/2018 10:04	67.55	67.55	67.55	67.55	73	EUR	
06/07/2018 10:06	67.5	67.5	67.4	67.4	772	EUR	
06/07/2018 10:08	67.4	67.4	67.4	67.4	283	EUR	
06/07/2018 10:10	67.45	67.45	67.45	67.45	122	EUR	
06/07/2018 10:12	67.55	67.55	67.5	67.5	121	EUR	
06/07/2018 10:14	67.5	67.5	67.5	67.5	195	EUR	
06/07/2018 10:16	67.45	67.45	67.45	67.45	452	EUR	
06/07/2018 10:18	67.45	67.45	67.45	67.45	187	EUR	
06/07/2018 10:20	67.5	67.6	67.5	67.55	518	EUR	
06/07/2018 10:22	67.55	67.55	67.55	67.55	29	EUR	
06/07/2018 10:24	67.7	67.7	67.7	67.7	140	EUR	
06/07/2018 10:26	67.75	67.75	67.75	67.75	140	EUR	
06/07/2018 10:28	67.75	67.85	67.75	67.85	454	EUR	
06/07/2018 10:30	67.9	67.9	67.9	67.9	100	EUR	
06/07/2018 10:32	67.9	67.95	67.9	67.9	129	EUR	
06/07/2018 10:34	67.9	67.95	67.9	67.9	129	EUR	
06/07/2018 10:36	67.9	67.95	67.9	67.95	146	EUR	
06/07/2018 10:38	67.95	67.95	67.9	67.95	973	EUR	
06/07/2018 10:40	67.95	67.95	67.95	67.95	150	EUR	
06/07/2018 10:42	68	68	68	68	40	EUR	
06/07/2018 10:44	68	68	68	68	22	EUR	
06/07/2018 10:46	68	68	68	68	22	EUR	
06/07/2018 10:48	67.95	67.95	67.85	67.85	252	EUR	
06/07/2018 10:50	67.95	67.95	67.85	67.85	252	EUR	
06/07/2018 10:52	67.85	67.85	67.85	67.85	46	EUR	
06/07/2018 10:54	67.9	67.9	67.9	67.9	39	EUR	
06/07/2018 10:56	67.9	67.9	67.9	67.9	20	EUR	
06/07/2018 10:58	67.9	67.9	67.85	67.85	967	EUR	
06/07/2018 11:00	67.9	67.9	67.85	67.85	967	EUR	
06/07/2018 11:02	67.85	67.85	67.8	67.8	544	EUR	
06/07/2018 11:04	67.85	67.85	67.85	67.85	331	EUR	
06/07/2018 11:06	67.85	67.85	67.85	67.85	331	EUR	
06/07/2018 11:08	67.8	67.8	67.8	67.8	270	EUR	
06/07/2018 11:10	67.8	67.8	67.8	67.8	270	EUR	
06/07/2018 11:12	67.75	67.75	67.75	67.75	562	EUR	
06/07/2018 11:14	67.75	67.75	67.75	67.75	562	EUR	
06/07/2018 11:16	67.75	67.75	67.75	67.75	170	EUR	
06/07/2018 11:18	67.8	67.8	67.8	67.8	349	EUR	
06/07/2018 11:20	67.8	67.8	67.8	67.8	349	EUR	
06/07/2018 11:22	67.8	67.8	67.8	67.8	349	EUR	
06/07/2018 11:24	67.8	67.8	67.8	67.8	349	EUR	
06/07/2018 11:26	67.8	67.8	67.8	67.8	233	EUR	
06/07/2018 11:28	67.8	67.8	67.8	67.8	233	EUR	
06/07/2018 11:30	67.75	67.75	67.75	67.75	306	EUR	
06/07/2018 11:32	67.7	67.7	67.6	67.6	335	EUR	
06/07/2018 11:34	67.7	67.7	67.6	67.6	335	EUR	
06/07/2018 11:36	67.6	67.6	67.6	67.6	97	EUR	
06/07/2018 11:38	67.6	67.6	67.6	67.6	31	EUR	
06/07/2018 11:40	67.6	67.6	67.6	67.6	31	EUR	
06/07/2018 11:42	67.55	67.55	67.55	67.55	522	EUR	
06/07/2018 11:44	67.55	67.55	67.55	67.55	522	EUR	
06/07/2018 11:46	67.45	67.45	67.45	67.45	20	EUR	
06/07/2018 11:48	67.45	67.45	67.45	67.45	122	EUR	
06/07/2018 11:50	67.4	67.4	67.4	67.4	98	EUR	
06/07/2018 11:52	67.45	67.45	67.45	67.45	256	EUR	
06/07/2018 11:54	67.45	67.45	67.45	67.45	121	EUR	
06/07/2018 11:56	67.45	67.45	67.45	67.45	114	EUR	
06/07/2018 11:58	67.4	67.4	67.4	67.4	15	EUR	
06/07/2018 12:00	67.45	67.45	67.45	67.45	100	EUR	
06/07/2018 12:02	67.45	67.45	67.45	67.45	100	EUR	
06/07/2018 12:04	67.45	67.45	67.45	67.45	14	EUR	
06/07/2018 12:06	67.45	67.45	67.45	67.45	14	EUR	
06/07/2018 12:08	67.45	67.45	67.45	67.45	14	EUR	
06/07/2018 12:10	67.4	67.4	67.35	67.35	375	EUR	
06/07/2018 12:12	67.35	67.35	67.35	67.35	13	EUR	
06/07/2018 12:14	67.35	67.35	67.35	67.35	12	EUR	
06/07/2018 12:16	67.35	67.35	67.35	67.35	12	EUR	
06/07/2018 12:18	67.35	67.35	67.35	67.35	12	EUR	
06/07/2018 12:20	67.35	67.35	67.35	67.35	12	EUR	
06/07/2018 12:22	67.35	67.35	67.35	67.35	25	EUR	
06/07/2018 12:24	67.35	67.35	67.35	67.35	25	EUR	
06/07/2018 12:26	67.35	67.35	67.3	67.3	440	EUR	
06/07/2018 12:28	67.35	67.35	67.3	67.3	440	EUR	
06/07/2018 12:30	67.35	67.35	67.35	67.35	115	EUR	
06/07/2018 12:32	67.25	67.25	67.25	67.25	352	EUR	
06/07/2018 12:34	67.25	67.25	67.25	67.25	352	EUR	
06/07/2018 12:36	67.25	67.25	67.25	67.25	352	EUR	
06/07/2018 12:38	67.2	67.2	67.2	67.2	60	EUR	
06/07/2018 12:40	67.2	67.2	67.2	67.2	60	EUR	
06/07/2018 12:42	67.2	67.2	67.2	67.2	292	EUR	
06/07/2018 12:44	67.2	67.2	67.2	67.2	292	EUR	
06/07/2018 12:46	67.15	67.15	67.15	67.15	629	EUR	
06/07/2018 12:48	67.15	67.15	67.15	67.15	38	EUR	
06/07/2018 12:50	67.15	67.15	67.15	67.15	38	EUR	
06/07/2018 12:52	67.15	67.15	67.15	67.15	38	EUR	
06/07/2018 12:54	67.15	67.15	67.15	67.15	38	EUR	
06/07/2018 12:56	67.15	67.15	67.15	67.15	403	EUR	
06/07/2018 12:58	67.15	67.15	67.15	67.15	403	EUR	
06/07/2018 13:00	67.15	67.15	67.15	67.15	403	EUR	
06/07/2018 13:02	67.15	67.15	67.15	67.15	403	EUR	
06/07/2018 13:04	67.15	67.15	67.15	67.15	403	EUR	
06/07/2018 13:06	67.15	67.15	67.15	67.15	194	EUR	
06/07/2018 13:08	67.15	67.15	67.15	67.15	194	EUR	
06/07/2018 13:10	67.15	67.15	67.15	67.15	194	EUR	
06/07/2018 13:12	67.15	67.15	67.15	67.15	194	EUR	
06/07/2018 13:14	67.15	67.15	67.15	67.15	194	EUR	
06/07/2018 13:16	67.15	67.15	67.15	67.15	132	EUR	
06/07/2018 13:18	67.15	67.15	67.15	67.15	132	EUR	
06/07/2018 13:20	67.1	67.1	67.1	67.1	3	EUR	
06/07/2018 13:22	67.1	67.1	67.1	67.1	3	EUR	
06/07/2018 13:24	67.1	67.1	67.1	67.1	3	EUR	
06/07/2018 13:26	67.1	67.1	67.1	67.1	3	EUR	
06/07/2018 13:28	67.1	67.1	67.1	67.1	3	EUR	
06/07/2018 13:30	67.1	67.1	67	67.05	297	EUR	
06/07/2018 13:32	67.1	67.1	67	67.05	297	EUR	
06/07/2018 13:34	67.05	67.05	67.05	67.05	120	EUR	
06/07/2018 13:36	67.05	67.05	67.05	67.05	120	EUR	
06/07/2018 13:38	67.05	67.05	67.05	67.05	120	EUR	
06/07/2018 13:40	67.05	67.05	67.05	67.05	120	EUR	
06/07/2018 13:42	67.05	67.05	67.05	67.05	120	EUR	
06/07/2018 13:44	67.05	67.05	67.05	67.05	120	EUR	
06/07/2018 13:46	67.05	67.05	67.05	67.05	120	EUR	
06/07/2018 13:48	67.05	67.05	67	67	154	EUR	
06/07/2018 13:50	67.05	67.05	67	67	154	EUR	
06/07/2018 13:52	67	67	67	67	1	EUR	
06/07/2018 13:54	67	67	67	67	1	EUR	
06/07/2018 13:56	67	67	67	67	59	EUR	
06/07/2018 13:58	67	67	67	67	355	EUR	
06/07/2018 14:00	67	67	67	67	104	EUR	
06/07/2018 14:02	67.1	67.1	67.1	67.1	174	EUR	
06/07/2018 14:04	67.1	67.1	67.1	67.1	174	EUR	
06/07/2018 14:06	67.2	67.2	67.2	67.2	233	EUR	
06/07/2018 14:08	67.2	67.2	67.2	67.2	233	EUR	
06/07/2018 14:10	67.2	67.2	67.2	67.2	233	EUR	
06/07/2018 14:12	67.2	67.2	67.2	67.2	99	EUR	
06/07/2018 14:14	67.15	67.15	67.1	67.1	449	EUR	
06/07/2018 14:16	67.1	67.1	67.1	67.1	105	EUR	
06/07/2018 14:18	67.1	67.1	67.1	67.1	105	EUR	
06/07/2018 14:20	67.1	67.1	67.1	67.1	105	EUR	
06/07/2018 14:22	67.15	67.15	67.15	67.15	122	EUR	
06/07/2018 14:24	67.15	67.15	67.15	67.15	122	EUR	
06/07/2018 14:26	67.15	67.15	67.15	67.15	122	EUR	
06/07/2018 14:28	67.2	67.2	67.2	67.2	125	EUR	
06/07/2018 14:30	67.25	67.25	67.25	67.25	431	EUR	
06/07/2018 14:32	67.2	67.2	67.2	67.2	7	EUR	
06/07/2018 14:34	67.2	67.2	67.2	67.2	194	EUR	
06/07/2018 14:36	67.2	67.2	67.2	67.2	7	EUR	
06/07/2018 14:38	67.2	67.2	67.2	67.2	122	EUR	
06/07/2018 14:40	67.2	67.2	67.2	67.2	179	EUR	
06/07/2018 14:42	67.2	67.2	67.2	67.2	98	EUR	
06/07/2018 14:44	67.2	67.2	67.2	67.2	122	EUR	
06/07/2018 14:46	67.2	67.2	67.2	67.2	221	EUR	
06/07/2018 14:48	67.2	67.2	67.15	67.15	445	EUR	
06/07/2018 14:50	67.2	67.2	67.15	67.15	445	EUR	
06/07/2018 14:52	67.2	67.2	67.15	67.15	445	EUR	
06/07/2018 14:54	67.2	67.2	67.15	67.15	445	EUR	
06/07/2018 14:56	67.1	67.1	67.1	67.1	443	EUR	
06/07/2018 14:58	67.05	67.05	67.05	67.05	70	EUR	
06/07/2018 15:00	67.05	67.05	67.05	67.05	70	EUR	
06/07/2018 15:02	67.1	67.1	67.1	67.1	65	EUR	
06/07/2018 15:04	67.1	67.1	67.1	67.1	99	EUR	
06/07/2018 15:06	67.1	67.1	67.1	67.1	30	EUR	
06/07/2018 15:08	67.1	67.1	67.1	67.1	30	EUR	
06/07/2018 15:10	67.1	67.1	67.05	67.05	565	EUR	
06/07/2018 15:12	67.1	67.1	67.05	67.05	565	EUR	
06/07/2018 15:14	67	67	67	67	116	EUR	
06/07/2018 15:16	67	67.05	67	67.05	145	EUR	
06/07/2018 15:18	67	67.05	67	67.05	145	EUR	
06/07/2018 15:20	67.1	67.1	67.05	67.05	256	EUR	
06/07/2018 15:22	67.1	67.1	67.05	67.05	256	EUR	
06/07/2018 15:24	67.1	67.1	67.1	67.1	75	EUR	
06/07/2018 15:26	67.1	67.1	67.1	67.1	75	EUR	
06/07/2018 15:28	67.1	67.1	67.05	67.05	652	EUR	
06/07/2018 15:30	67.1	67.1	67.05	67.05	652	EUR	
06/07/2018 15:32	67.05	67.05	67.05	67.05	200	EUR	
06/07/2018 15:34	67.1	67.1	67.1	67.1	5	EUR	
06/07/2018 15:36	67.1	67.1	67.1	67.1	214	EUR	
06/07/2018 15:38	67.1	67.1	67.1	67.1	229	EUR	
06/07/2018 15:40	67.1	67.1	67.1	67.1	204	EUR	
06/07/2018 15:42	67.15	67.15	67.15	67.15	35	EUR	
06/07/2018 15:44	67.15	67.15	67.15	67.15	419	EUR	
06/07/2018 15:46	67.2	67.2	67.2	67.2	13	EUR	
06/07/2018 15:48	67.2	67.2	67.2	67.2	125	EUR	
06/07/2018 15:50	67.2	67.2	67.2	67.2	50	EUR	
06/07/2018 15:52	67.2	67.2	67.2	67.2	511	EUR	
06/07/2018 15:54	67.25	67.25	67.25	67.25	183	EUR	
06/07/2018 15:56	67.25	67.25	67.25	67.25	459	EUR	
06/07/2018 15:58	67.3	67.3	67.3	67.3	469	EUR	
06/07/2018 16:00	67.35	67.35	67.35	67.35	220	EUR	
06/07/2018 16:02	67.35	67.35	67.35	67.35	31	EUR	
06/07/2018 16:04	67.35	67.35	67.35	67.35	31	EUR	
06/07/2018 16:06	67.35	67.35	67.35	67.35	31	EUR	
06/07/2018 16:08	67.35	67.35	67.35	67.35	31	EUR	
06/07/2018 16:10	67.35	67.35	67.35	67.35	31	EUR	
06/07/2018 16:12	67.35	67.35	67.25	67.25	575	EUR	
06/07/2018 16:14	67.3	67.3	67.3	67.3	263	EUR	
06/07/2018 16:16	67.3	67.3	67.3	67.3	263	EUR	
06/07/2018 16:18	67.3	67.3	67.25	67.25	359	EUR	
