date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	81.96	82.09	81.96	82.09	400	USD	
06/07/2018 15:32	81.9	81.92	81.66	81.74	15297	USD	
06/07/2018 15:34	81.915	81.944	81.79	81.87	12131	USD	
06/07/2018 15:36	81.95	82.04	81.93	82.01	7993	USD	
06/07/2018 15:38	13.41	82.055	13.41	82.055	5147	USD	
06/07/2018 15:40	82.11	82.13	82.08	82.09	4413	USD	
06/07/2018 15:42	82.04	82.11	82.04	82.11	3586	USD	
06/07/2018 15:44	82.02	82.07	82.02	82.07	2424	USD	
06/07/2018 15:46	82.1	82.189	82.09	82.18	5620	USD	
06/07/2018 15:48	82	82.07	81.995	82.07	9306	USD	
06/07/2018 15:50	82.04	82.075	82.04	82.05	5844	USD	
06/07/2018 15:52	82.04	82.06	82	82.02	3193	USD	
06/07/2018 15:54	82.096	82.11	82.05	82.06	4459	USD	
06/07/2018 15:56	82.09	82.14	82.08	82.12	4940	USD	
06/07/2018 15:58	82.18	82.19	82.15	82.15	16937	USD	
06/07/2018 16:00	82.2	82.2	82.14	82.16	4864	USD	
06/07/2018 16:02	82.17	82.17	82.13	82.14	4664	USD	
06/07/2018 16:04	82.125	82.16	82.1	82.1	3840	USD	
06/07/2018 16:06	82.09	82.175	82.054	82.175	11493	USD	
06/07/2018 16:08	82.2	82.23	82.18	82.2	13700	USD	
06/07/2018 16:10	82.205	82.25	82.195	82.23	4437	USD	
06/07/2018 16:12	82.2	82.27	82.2	82.25	4800	USD	
06/07/2018 16:14	82.24	82.263	82.223	82.263	4337	USD	
06/07/2018 16:16	82.265	82.305	82.265	82.298	9880	USD	
06/07/2018 16:18	82.29	82.34	82.29	82.34	4778	USD	
06/07/2018 16:20	82.31	82.34	82.3	82.31	7282	USD	
06/07/2018 16:22	82.26	82.265	82.18	82.2	39068	USD	
06/07/2018 16:24	82.3	82.3	82.235	82.27	5600	USD	
06/07/2018 16:26	82.22	82.24	82.2	82.24	6835	USD	
06/07/2018 16:28	82.29	82.34	82.29	82.33	3854	USD	
06/07/2018 16:30	82.37	82.396	82.35	82.355	4729	USD	
06/07/2018 16:32	82.315	82.37	82.3	82.355	10335	USD	
06/07/2018 16:34	82.365	82.37	82.3	82.3	6240	USD	
06/07/2018 16:36	82.36	82.39	82.34	82.39	3500	USD	
06/07/2018 16:38	82.33	82.335	82.305	82.31	4375	USD	
06/07/2018 16:40	82.3	82.31	82.29	82.31	3200	USD	
06/07/2018 16:42	82.34	82.35	82.32	82.35	2500	USD	
06/07/2018 16:44	82.337	82.38	82.337	82.36	6935	USD	
06/07/2018 16:46	82.36	82.379	82.33	82.33	5808	USD	
06/07/2018 16:48	82.34	82.4	82.34	82.4	10304	USD	
06/07/2018 16:50	82.323	82.35	82.3	82.3	7570	USD	
06/07/2018 16:52	82.26	82.29	82.26	82.28	18162	USD	
06/07/2018 16:54	82.28	82.33	82.276	82.28	8206	USD	
06/07/2018 16:56	82.28	82.31	82.28	82.3	3045	USD	
06/07/2018 16:58	82.352	82.36	82.32	82.32	4602	USD	
06/07/2018 17:00	82.32	82.33	82.31	82.31	2410	USD	
06/07/2018 17:02	82.285	82.3	82.26	82.27	5921	USD	
06/07/2018 17:04	82.25	82.25	82.22	82.24	5008	USD	
06/07/2018 17:06	82.265	82.29	82.26	82.27	2860	USD	
06/07/2018 17:08	82.29	82.34	82.29	82.34	7517	USD	
06/07/2018 17:10	82.37	82.39	82.365	82.39	4192	USD	
06/07/2018 17:12	82.41	82.46	82.41	82.445	4950	USD	
06/07/2018 17:14	82.45	82.49	82.45	82.465	4983	USD	
06/07/2018 17:16	82.47	82.48	82.457	82.465	4819	USD	
06/07/2018 17:18	82.495	82.495	82.465	82.47	4161	USD	
06/07/2018 17:20	82.46	82.49	82.42	82.462	6399	USD	
06/07/2018 17:22	82.49	82.54	82.48	82.53	3475	USD	
06/07/2018 17:24	82.51	82.525	82.46	82.47	3410	USD	
06/07/2018 17:26	82.45	82.49	82.45	82.49	3922	USD	
06/07/2018 17:28	82.5	82.515	82.47	82.503	11599	USD	
06/07/2018 17:30	82.48	82.52	82.48	82.48	7740	USD	
06/07/2018 17:32	82.445	82.47	82.43	82.455	6568	USD	
06/07/2018 17:34	82.47	82.48	82.44	82.46	2300	USD	
06/07/2018 17:36	82.445	82.52	82.44	82.503	9716	USD	
06/07/2018 17:38	82.515	82.525	82.507	82.51	3443	USD	
06/07/2018 17:40	82.52	82.525	82.51	82.52	3077	USD	
06/07/2018 17:42	82.59	82.64	82.59	82.62	8007	USD	
06/07/2018 17:44	82.583	82.606	82.57	82.6	7885	USD	
06/07/2018 17:46	82.62	82.65	82.62	82.63	1900	USD	
06/07/2018 17:48	82.63	82.65	82.605	82.61	6208	USD	
06/07/2018 17:50	82.56	82.58	82.55	82.58	1700	USD	
06/07/2018 17:52	82.57	82.575	82.52	82.52	5345	USD	
06/07/2018 17:54	82.525	82.528	82.5	82.5	9528	USD	
06/07/2018 17:56	82.49	82.51	82.485	82.49	3930	USD	
06/07/2018 17:58	82.48	82.54	82.475	82.51	6630	USD	
06/07/2018 18:00	82.511	82.511	82.48	82.5	10295	USD	
06/07/2018 18:02	82.5	82.515	82.49	82.495	5600	USD	
06/07/2018 18:04	82.462	82.51	82.462	82.49	4633	USD	
06/07/2018 18:06	82.48	82.49	82.47	82.49	2500	USD	
06/07/2018 18:08	82.53	82.545	82.527	82.53	3000	USD	
06/07/2018 18:10	82.57	82.581	82.565	82.581	2780	USD	
06/07/2018 18:12	82.55	82.56	82.55	82.555	3962	USD	
06/07/2018 18:14	82.515	82.52	82.51	82.515	2720	USD	
06/07/2018 18:16	82.535	82.535	82.5	82.515	3300	USD	
06/07/2018 18:18	82.52	82.56	82.52	82.56	4303	USD	
06/07/2018 18:20	82.55	82.57	82.515	82.55	7237	USD	
06/07/2018 18:22	82.545	82.585	82.545	82.58	2595	USD	
06/07/2018 18:24	82.615	82.65	82.61	82.65	3676	USD	
06/07/2018 18:26	82.665	82.69	82.66	82.685	6675	USD	
06/07/2018 18:28	82.644	82.67	82.63	82.67	6080	USD	
06/07/2018 18:30	82.675	82.685	82.635	82.645	5116	USD	
06/07/2018 18:32	82.67	82.69	82.665	82.673	5588	USD	
06/07/2018 18:34	82.62	82.62	82.58	82.59	3325	USD	
06/07/2018 18:36	82.6	82.63	82.6	82.614	5486	USD	
06/07/2018 18:38	82.625	82.625	82.6	82.61	1852	USD	
06/07/2018 18:40	82.585	82.59	82.565	82.575	6272	USD	
06/07/2018 18:42	82.57	82.59	82.56	82.57	3489	USD	
06/07/2018 18:44	82.59	82.6	82.58	82.585	2264	USD	
06/07/2018 18:46	82.59	82.626	82.58	82.62	4020	USD	
06/07/2018 18:48	82.59	82.6	82.575	82.585	3900	USD	
06/07/2018 18:50	82.545	82.565	82.54	82.55	2601	USD	
06/07/2018 18:52	82.56	82.565	82.54	82.545	4151	USD	
