date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	80.7	80.7	80.55	80.55	61	EUR	
06/07/2018 09:02	80.45	80.45	80.25	80.3	321	EUR	
06/07/2018 09:04	80.45	80.45	80.25	80.3	321	EUR	
06/07/2018 09:06	80.3	80.3	80.3	80.3	128	EUR	
06/07/2018 09:08	80.35	80.35	80.35	80.35	8	EUR	
06/07/2018 09:10	80.2	80.2	80.2	80.2	51	EUR	
06/07/2018 09:12	80.15	80.15	80	80	275	EUR	
06/07/2018 09:14	80.15	80.15	80	80	275	EUR	
06/07/2018 09:16	79.8	79.8	79.8	79.8	992	EUR	
06/07/2018 09:18	79.7	79.7	79.7	79.7	240	EUR	
06/07/2018 09:20	79.9	79.9	79.9	79.9	55	EUR	
06/07/2018 09:22	79.8	79.8	79.8	79.8	56	EUR	
06/07/2018 09:24	79.7	79.75	79.7	79.75	55	EUR	
06/07/2018 09:26	79.7	79.7	79.6	79.6	176	EUR	
06/07/2018 09:28	79.55	79.55	79.5	79.5	31	EUR	
06/07/2018 09:30	79.6	79.6	79.6	79.6	146	EUR	
06/07/2018 09:32	79.75	79.75	79.75	79.75	8	EUR	
06/07/2018 09:34	79.6	79.6	79.6	79.6	20	EUR	
06/07/2018 09:36	79.65	79.65	79.65	79.65	235	EUR	
06/07/2018 09:38	79.65	79.65	79.65	79.65	28	EUR	
06/07/2018 09:40	79.65	79.65	79.65	79.65	28	EUR	
06/07/2018 09:42	79.65	79.65	79.65	79.65	28	EUR	
06/07/2018 09:44	79.65	79.65	79.5	79.5	116	EUR	
06/07/2018 09:46	79.55	79.55	79.55	79.55	26	EUR	
06/07/2018 09:48	79.25	79.25	79.25	79.25	54	EUR	
06/07/2018 09:50	79.25	79.25	79.25	79.25	20	EUR	
06/07/2018 09:52	79.25	79.25	79	79	3008	EUR	
06/07/2018 09:54	79.1	79.1	79.1	79.1	33	EUR	
06/07/2018 09:56	78.95	78.95	78.95	78.95	6	EUR	
06/07/2018 09:58	78.9	78.9	78.9	78.9	313	EUR	
06/07/2018 10:00	79	79	79	79	288	EUR	
06/07/2018 10:02	79.1	79.25	79.1	79.25	85	EUR	
06/07/2018 10:04	79.15	79.15	79.15	79.15	12	EUR	
06/07/2018 10:06	79.15	79.15	79.1	79.1	144	EUR	
06/07/2018 10:08	79.15	79.15	79.1	79.1	144	EUR	
06/07/2018 10:10	79.15	79.15	79.1	79.1	144	EUR	
06/07/2018 10:12	79	79	78.95	78.95	95	EUR	
06/07/2018 10:14	79.05	79.05	78.95	78.95	350	EUR	
06/07/2018 10:16	79.25	79.25	79.25	79.25	14	EUR	
06/07/2018 10:18	79.05	79.05	79.05	79.05	10	EUR	
06/07/2018 10:20	79.05	79.05	79.05	79.05	20	EUR	
06/07/2018 10:22	79.1	79.1	79.1	79.1	12	EUR	
06/07/2018 10:24	79.1	79.1	79.1	79.1	12	EUR	
06/07/2018 10:26	79.1	79.1	79.1	79.1	12	EUR	
06/07/2018 10:28	79	79	79	79	38	EUR	
06/07/2018 10:30	78.95	79.05	78.95	79.05	319	EUR	
06/07/2018 10:32	78.95	79.05	78.95	79.05	319	EUR	
06/07/2018 10:34	78.95	79.05	78.95	79.05	141	EUR	
06/07/2018 10:36	79.05	79.05	78.9	78.9	1337	EUR	
06/07/2018 10:38	78.9	78.9	78.75	78.8	98	EUR	
06/07/2018 10:40	78.65	78.65	78.65	78.65	26	EUR	
06/07/2018 10:42	78.65	78.65	78.65	78.65	57	EUR	
06/07/2018 10:44	78.6	78.6	78.6	78.6	50	EUR	
06/07/2018 10:46	78.65	78.65	78.65	78.65	38	EUR	
06/07/2018 10:48	78.45	78.45	78.4	78.4	238	EUR	
06/07/2018 10:50	78.35	78.4	78.2	78.3	280	EUR	
06/07/2018 10:52	78.15	78.25	78.15	78.15	324	EUR	
06/07/2018 10:54	78.1	78.1	77.9	77.9	197	EUR	
06/07/2018 10:56	77.55	77.6	77.35	77.55	643	EUR	
06/07/2018 10:58	77.75	77.85	77.75	77.85	103	EUR	
06/07/2018 11:00	77.65	77.65	77.6	77.65	147	EUR	
06/07/2018 11:02	77.3	77.3	77.3	77.3	73	EUR	
06/07/2018 11:04	77.35	77.5	77.35	77.5	264	EUR	
06/07/2018 11:06	77.45	77.45	77.35	77.35	73	EUR	
06/07/2018 11:08	77.45	77.45	77.35	77.35	73	EUR	
06/07/2018 11:10	77.35	77.35	77.35	77.35	30	EUR	
06/07/2018 11:12	77.5	77.55	77.5	77.5	600	EUR	
06/07/2018 11:14	77.4	77.4	77.4	77.4	8	EUR	
06/07/2018 11:16	77.4	77.4	77.4	77.4	8	EUR	
06/07/2018 11:18	77.45	77.5	77.45	77.5	14	EUR	
06/07/2018 11:20	77.5	77.5	77.45	77.45	168	EUR	
06/07/2018 11:22	77.5	77.5	77.5	77.5	40	EUR	
06/07/2018 11:24	77.5	77.5	77.5	77.5	40	EUR	
06/07/2018 11:26	77.5	77.5	77.5	77.5	6	EUR	
06/07/2018 11:28	77.6	77.8	77.6	77.8	70	EUR	
06/07/2018 11:30	77.75	78	77.75	78	261	EUR	
06/07/2018 11:32	77.95	77.95	77.65	77.65	543	EUR	
06/07/2018 11:34	77.55	77.55	77.55	77.55	20	EUR	
06/07/2018 11:36	77.6	77.6	77.6	77.6	22	EUR	
06/07/2018 11:38	77.7	77.7	77.7	77.7	71	EUR	
06/07/2018 11:40	77.5	77.5	77.5	77.5	29	EUR	
