date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	50.1	50.1	49.92	49.92	167	EUR	
06/07/2018 09:02	49.9	50.05	49.9	50.05	27	EUR	
06/07/2018 09:04	49.9	50.05	49.9	50.05	27	EUR	
06/07/2018 09:06	49.96	49.96	49.96	49.96	67	EUR	
06/07/2018 09:08	50.05	50.15	50.05	50.15	500	EUR	
06/07/2018 09:10	50.05	50.15	50.05	50.15	500	EUR	
06/07/2018 09:12	50.25	50.3	50.25	50.3	330	EUR	
06/07/2018 09:14	50.3	50.3	50.15	50.2	322	EUR	
06/07/2018 09:16	50.15	50.15	50.15	50.15	64	EUR	
06/07/2018 09:18	50.15	50.15	50.15	50.15	64	EUR	
06/07/2018 09:20	50.1	50.1	50	50	349	EUR	
06/07/2018 09:22	50.1	50.1	50	50	349	EUR	
06/07/2018 09:24	50.1	50.1	50	50	349	EUR	
06/07/2018 09:26	50.1	50.1	50	50	349	EUR	
06/07/2018 09:28	50	50	50	50	49	EUR	
06/07/2018 09:30	50	50	50	50	49	EUR	
06/07/2018 09:32	50	50	50	50	49	EUR	
06/07/2018 09:34	50	50	50	50	49	EUR	
06/07/2018 09:36	50.05	50.1	50.05	50.05	165	EUR	
06/07/2018 09:38	50.05	50.1	50.05	50.05	165	EUR	
06/07/2018 09:40	50	50	50	50	49	EUR	
06/07/2018 09:42	49.92	49.92	49.88	49.88	299	EUR	
06/07/2018 09:44	49.92	49.92	49.88	49.88	299	EUR	
06/07/2018 09:46	49.8	49.8	49.76	49.76	354	EUR	
06/07/2018 09:48	49.82	49.82	49.82	49.82	8	EUR	
06/07/2018 09:50	49.8	49.88	49.8	49.88	270	EUR	
06/07/2018 09:52	49.84	49.84	49.8	49.8	239	EUR	
06/07/2018 09:54	49.8	49.8	49.8	49.8	236	EUR	
06/07/2018 09:56	49.8	49.8	49.8	49.8	236	EUR	
06/07/2018 09:58	49.8	49.8	49.8	49.8	236	EUR	
06/07/2018 10:00	49.74	49.78	49.74	49.78	161	EUR	
06/07/2018 10:02	49.74	49.78	49.74	49.78	161	EUR	
06/07/2018 10:04	49.74	49.78	49.74	49.78	161	EUR	
06/07/2018 10:06	49.74	49.74	49.7	49.74	298	EUR	
06/07/2018 10:08	49.8	49.88	49.8	49.88	382	EUR	
06/07/2018 10:10	49.8	49.88	49.8	49.88	382	EUR	
06/07/2018 10:12	49.86	49.86	49.8	49.8	95	EUR	
06/07/2018 10:14	49.66	49.66	49.6	49.6	162	EUR	
06/07/2018 10:16	49.66	49.66	49.6	49.6	72	EUR	
06/07/2018 10:18	49.6	49.6	49.6	49.6	40	EUR	
06/07/2018 10:20	49.6	49.6	49.6	49.6	40	EUR	
06/07/2018 10:22	49.62	49.72	49.62	49.72	184	EUR	
06/07/2018 10:24	49.7	49.78	49.7	49.78	105	EUR	
06/07/2018 10:26	49.82	49.88	49.74	49.8	180	EUR	
06/07/2018 10:28	49.76	49.78	49.76	49.78	106	EUR	
