date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	220.32	220.73	219.88	219.88	2800	USD	
06/07/2018 15:32	220.15	220.321	220.03	220.06	3000	USD	
06/07/2018 15:34	220.34	220.72	220.34	220.72	2829	USD	
06/07/2018 15:36	220.59	220.945	220.59	220.825	2900	USD	
06/07/2018 15:38	221.17	221.17	220.81	221.1	1550	USD	
06/07/2018 15:40	221.505	221.78	221.469	221.57	2980	USD	
06/07/2018 15:42	221.38	221.74	221.38	221.72	1100	USD	
06/07/2018 15:44	221.82	221.925	221.301	221.375	4454	USD	
06/07/2018 15:46	221.24	221.25	221.2	221.22	591	USD	
06/07/2018 15:48	221.23	221.24	221.152	221.152	643	USD	
06/07/2018 15:50	221.27	221.4	220.94	220.94	3700	USD	
06/07/2018 15:52	221.34	221.49	221.34	221.385	5226	USD	
06/07/2018 15:54	221.41	221.59	221.41	221.59	700	USD	
06/07/2018 15:56	221.48	221.48	221.38	221.39	1414	USD	
06/07/2018 15:58	221.17	221.37	221.17	221.37	1100	USD	
06/07/2018 16:00	221.6	221.63	221.595	221.63	600	USD	
06/07/2018 16:02	221.695	221.695	221.46	221.6	3196	USD	
06/07/2018 16:04	221.385	221.39	221.38	221.39	500	USD	
06/07/2018 16:06	221.16	221.25	221.041	221.15	925	USD	
06/07/2018 16:08	221.35	221.53	221.35	221.53	809	USD	
06/07/2018 16:10	221.475	221.475	221.34	221.373	1471	USD	
06/07/2018 16:12	221.29	221.35	221.29	221.335	1370	USD	
06/07/2018 16:14	221.35	221.38	221.31	221.335	1000	USD	
06/07/2018 16:16	221.39	221.49	221.39	221.476	2897	USD	
06/07/2018 16:18	221.46	221.59	221.46	221.585	1900	USD	
06/07/2018 16:20	221.49	221.495	221.37	221.39	1100	USD	
06/07/2018 16:22	221.345	221.38	221.27	221.38	2300	USD	
06/07/2018 16:24	221.41	221.45	221.385	221.45	2920	USD	
06/07/2018 16:26	221.55	221.592	221.53	221.592	2200	USD	
06/07/2018 16:28	221.693	221.87	221.691	221.87	2700	USD	
06/07/2018 16:30	221.79	221.83	221.67	221.72	1269	USD	
06/07/2018 16:32	221.565	221.65	221.508	221.522	1267	USD	
06/07/2018 16:34	221.7	221.705	221.64	221.65	3973	USD	
06/07/2018 16:36	221.77	221.78	221.66	221.74	3440	USD	
06/07/2018 16:38	221.74	221.84	221.74	221.84	1100	USD	
06/07/2018 16:40	221.608	221.81	221.608	221.81	1520	USD	
06/07/2018 16:42	221.804	221.87	221.804	221.87	386	USD	
06/07/2018 16:44	221.85	221.88	221.823	221.823	425	USD	
06/07/2018 16:46	221.74	221.75	221.69	221.69	700	USD	
06/07/2018 16:48	221.68	221.846	221.68	221.83	1800	USD	
06/07/2018 16:50	221.8	221.82	221.718	221.718	2200	USD	
06/07/2018 16:52	221.7	221.79	221.69	221.79	1100	USD	
06/07/2018 16:54	221.77	221.79	221.7	221.79	586	USD	
