date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	522.2	524	522.2	524	885	EUR	
06/07/2018 09:02	525.2	525.8	525.2	525.8	159	EUR	
06/07/2018 09:04	525.2	525.4	525	525	50	EUR	
06/07/2018 09:06	524.4	524.4	523.4	523.6	122	EUR	
06/07/2018 09:08	523.6	524	523.4	524	131	EUR	
06/07/2018 09:10	523.6	524.2	523.4	524.2	100	EUR	
06/07/2018 09:12	524.8	525	524.6	524.8	94	EUR	
06/07/2018 09:14	524.2	524.2	523.4	523.4	32	EUR	
06/07/2018 09:16	523.6	523.6	523.6	523.6	112	EUR	
06/07/2018 09:18	523.8	524.4	523.6	524.4	103	EUR	
06/07/2018 09:20	524.2	524.2	524.2	524.2	99	EUR	
06/07/2018 09:22	524.2	524.2	523.8	523.8	134	EUR	
06/07/2018 09:24	523.8	523.8	523.2	523.2	122	EUR	
06/07/2018 09:26	522.6	523	522.6	522.6	76	EUR	
06/07/2018 09:28	522.8	522.8	522.6	522.6	27	EUR	
06/07/2018 09:30	522.8	523.2	522.6	523.2	79	EUR	
06/07/2018 09:32	523.2	523.4	523.2	523.4	81	EUR	
06/07/2018 09:34	523.4	523.4	523.2	523.4	127	EUR	
06/07/2018 09:36	523.8	524	523.8	523.8	73	EUR	
06/07/2018 09:38	523.8	524.2	523.8	524.2	59	EUR	
06/07/2018 09:40	523.8	524	523.8	523.8	63	EUR	
06/07/2018 09:42	523.8	523.8	523.8	523.8	47	EUR	
06/07/2018 09:44	523.6	523.6	523.4	523.6	41	EUR	
06/07/2018 09:46	523.2	523.2	523.2	523.2	29	EUR	
06/07/2018 09:48	523	523.2	523	523.2	30	EUR	
06/07/2018 09:50	523.4	523.6	523.4	523.4	81	EUR	
06/07/2018 09:52	523.4	523.4	523.4	523.4	23	EUR	
06/07/2018 09:54	523.4	523.6	523.4	523.6	148	EUR	
06/07/2018 09:56	523.2	523.2	523.2	523.2	92	EUR	
06/07/2018 09:58	523	523.2	522.8	522.8	73	EUR	
06/07/2018 10:00	523	523	523	523	62	EUR	
06/07/2018 10:02	523.6	524.6	523.6	524.4	288	EUR	
06/07/2018 10:04	524.6	524.6	524.6	524.6	72	EUR	
06/07/2018 10:06	524.4	524.4	524.4	524.4	74	EUR	
06/07/2018 10:08	524.6	524.8	524.6	524.6	68	EUR	
06/07/2018 10:10	525	525	524.8	524.8	248	EUR	
06/07/2018 10:12	525.2	525.2	525.2	525.2	53	EUR	
06/07/2018 10:14	525.2	525.4	525.2	525.2	410	EUR	
06/07/2018 10:16	525.2	525.2	525	525	16	EUR	
06/07/2018 10:18	525.4	525.4	525.4	525.4	133	EUR	
06/07/2018 10:20	525.4	525.4	525.2	525.2	49	EUR	
06/07/2018 10:22	526	526	526	526	76	EUR	
06/07/2018 10:24	526.2	526.2	526	526	223	EUR	
06/07/2018 10:26	525.4	525.4	525.2	525.2	237	EUR	
06/07/2018 10:28	525.4	525.4	525.2	525.2	129	EUR	
06/07/2018 10:30	525.2	525.4	525.2	525.4	25	EUR	
06/07/2018 10:32	525.4	525.4	525.2	525.2	69	EUR	
06/07/2018 10:34	525.2	525.2	525.2	525.2	12	EUR	
06/07/2018 10:36	525.2	525.4	525.2	525.2	55	EUR	
06/07/2018 10:38	525	525.4	525	525.2	65	EUR	
06/07/2018 10:40	525	525	525	525	21	EUR	
06/07/2018 10:42	524.6	524.6	524.6	524.6	33	EUR	
06/07/2018 10:44	524.6	524.6	524.6	524.6	45	EUR	
06/07/2018 10:46	524.6	524.6	524.6	524.6	18	EUR	
06/07/2018 10:48	525	525	525	525	18	EUR	
06/07/2018 10:50	525	525	525	525	19	EUR	
06/07/2018 10:52	525.4	525.4	525.4	525.4	16	EUR	
06/07/2018 10:54	525.4	525.4	525	525	186	EUR	
06/07/2018 10:56	525	525.2	525	525.2	49	EUR	
06/07/2018 10:58	525.4	525.4	525.4	525.4	30	EUR	
06/07/2018 11:00	525.4	525.4	525.4	525.4	73	EUR	
