date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	194.58	194.58	193.59	193.66	2600	USD	
06/07/2018 15:32	193.85	193.91	193.8	193.84	800	USD	
06/07/2018 15:34	193.85	193.85	193.54	193.785	2500	USD	
06/07/2018 15:36	193.73	194.106	193.61	194.106	2724	USD	
06/07/2018 15:38	193.84	194.19	193.84	194.19	2000	USD	
06/07/2018 15:40	193.76	193.94	193.76	193.88	500	USD	
06/07/2018 15:42	193.58	193.729	193.57	193.725	3319	USD	
06/07/2018 15:44	193.63	193.63	193.5	193.5	750	USD	
06/07/2018 15:46	193.6	193.6	193.6	193.6	100	USD	
06/07/2018 15:48	193.32	193.32	193.16	193.16	400	USD	
06/07/2018 15:50	192.97	193.26	192.96	193.25	1500	USD	
06/07/2018 15:52	193.738	193.738	193.61	193.62	1462	USD	
06/07/2018 15:54	193.65	193.67	193.525	193.64	5621	USD	
06/07/2018 15:56	193.73	193.82	193.7	193.76	1106	USD	
06/07/2018 15:58	193.77	193.92	193.77	193.92	2946	USD	
06/07/2018 16:00	194.01	194.14	194.01	194.09	1391	USD	
06/07/2018 16:02	194.13	194.149	194.117	194.117	543	USD	
06/07/2018 16:04	194.25	194.25	194.015	194.015	1214	USD	
06/07/2018 16:06	193.9	193.93	193.84	193.93	1559	USD	
06/07/2018 16:08	193.994	194.16	193.994	194.057	4109	USD	
06/07/2018 16:10	194.07	194.07	193.91	193.93	600	USD	
06/07/2018 16:12	194.061	194.061	193.95	193.95	1499	USD	
06/07/2018 16:14	194.05	194.08	193.91	193.91	1443	USD	
06/07/2018 16:16	194.12	194.15	194.07	194.09	4705	USD	
06/07/2018 16:18	193.96	194.06	193.96	194.015	1922	USD	
06/07/2018 16:20	193.89	193.891	193.75	193.75	2500	USD	
06/07/2018 16:22	193.846	193.885	193.83	193.885	1050	USD	
06/07/2018 16:24	193.905	193.95	193.875	193.95	1050	USD	
06/07/2018 16:26	193.93	193.975	193.91	193.975	600	USD	
06/07/2018 16:28	193.84	193.98	193.84	193.95	3300	USD	
06/07/2018 16:30	194.04	194.13	194.015	194.13	2067	USD	
06/07/2018 16:32	193.92	193.98	193.905	193.98	1236	USD	
06/07/2018 16:34	193.96	193.99	193.95	193.95	3182	USD	
06/07/2018 16:36	194.015	194.12	194.015	194.055	3650	USD	
06/07/2018 16:38	193.96	194.003	193.96	193.975	1550	USD	
06/07/2018 16:40	193.93	193.97	193.92	193.953	1250	USD	
06/07/2018 16:42	194.06	194.06	193.97	193.97	1950	USD	
06/07/2018 16:44	193.99	194.075	193.97	194.06	1700	USD	
06/07/2018 16:46	194.14	194.21	194.14	194.21	1600	USD	
06/07/2018 16:48	194.23	194.33	194.23	194.27	5600	USD	
06/07/2018 16:50	194.16	194.17	194.11	194.11	700	USD	
06/07/2018 16:52	194.16	194.22	194.16	194.19	800	USD	
06/07/2018 16:54	194.37	194.43	194.37	194.42	1125	USD	
06/07/2018 16:56	194.493	194.5	194.36	194.36	1600	USD	
06/07/2018 16:58	194.495	194.495	194.36	194.38	2000	USD	
06/07/2018 17:00	194.36	194.36	194.32	194.35	1100	USD	
06/07/2018 17:02	194.39	194.441	194.39	194.441	2319	USD	
06/07/2018 17:04	194.4	194.41	194.31	194.31	1300	USD	
06/07/2018 17:06	194.35	194.36	194.27	194.27	803	USD	
06/07/2018 17:08	194.375	194.49	194.35	194.49	3245	USD	
06/07/2018 17:10	194.61	194.61	194.53	194.57	1928	USD	
06/07/2018 17:12	194.56	194.63	194.54	194.619	2700	USD	
06/07/2018 17:14	194.69	194.73	194.66	194.73	800	USD	
06/07/2018 17:16	194.64	194.66	194.61	194.65	1900	USD	
06/07/2018 17:18	194.64	194.65	194.59	194.645	579	USD	
06/07/2018 17:20	194.8	194.855	194.78	194.78	1200	USD	
06/07/2018 17:22	194.85	194.866	194.75	194.75	1600	USD	
06/07/2018 17:24	194.74	194.74	194.72	194.72	1000	USD	
06/07/2018 17:26	194.75	194.75	194.65	194.66	2267	USD	
06/07/2018 17:28	194.46	194.47	194.45	194.47	900	USD	
06/07/2018 17:30	194.53	194.58	194.53	194.56	2300	USD	
06/07/2018 17:32	194.51	194.56	194.51	194.51	1628	USD	
06/07/2018 17:34	194.536	194.587	194.536	194.587	1370	USD	
06/07/2018 17:36	194.6	194.61	194.55	194.61	1469	USD	
06/07/2018 17:38	194.59	194.64	194.59	194.61	1965	USD	
06/07/2018 17:40	194.72	194.72	194.63	194.65	4190	USD	
06/07/2018 17:42	194.71	194.78	194.71	194.75	1400	USD	
06/07/2018 17:44	194.72	194.87	194.72	194.87	1200	USD	
06/07/2018 17:46	194.81	194.85	194.81	194.85	500	USD	
06/07/2018 17:48	194.87	194.94	194.87	194.9	975	USD	
06/07/2018 17:50	194.907	194.94	194.87	194.874	4250	USD	
06/07/2018 17:52	194.84	194.84	194.76	194.76	648	USD	
06/07/2018 17:54	194.77	194.791	194.7	194.7	600	USD	
06/07/2018 17:56	194.679	194.74	194.656	194.74	800	USD	
06/07/2018 17:58	194.74	194.74	194.69	194.69	900	USD	
06/07/2018 18:00	194.695	194.74	194.66	194.74	4570	USD	
06/07/2018 18:02	194.93	195.015	194.93	195.013	1315	USD	
06/07/2018 18:04	195.04	195.12	195.04	195.07	1067	USD	
06/07/2018 18:06	195.17	195.17	195.17	195.17	100	USD	
06/07/2018 18:08	195.19	195.29	195.19	195.25	900	USD	
06/07/2018 18:10	195.265	195.285	195.265	195.285	1784	USD	
06/07/2018 18:12	195.3	195.3	195.25	195.28	850	USD	
06/07/2018 18:14	195.331	195.337	195.33	195.337	540	USD	
06/07/2018 18:16	195.122	195.122	194.91	194.94	1481	USD	
06/07/2018 18:18	194.935	194.96	194.91	194.955	1696	USD	
06/07/2018 18:20	194.92	194.97	194.872	194.96	2000	USD	
06/07/2018 18:22	195.04	195.117	195.03	195.07	1672	USD	
06/07/2018 18:24	195.1	195.16	195.1	195.13	1637	USD	
06/07/2018 18:26	195.15	195.2	195.11	195.16	1300	USD	
06/07/2018 18:28	195.11	195.15	195.11	195.12	315	USD	
06/07/2018 18:30	195	195	194.91	194.91	400	USD	
06/07/2018 18:32	194.89	194.89	194.755	194.77	900	USD	
06/07/2018 18:34	194.79	194.805	194.78	194.805	2674	USD	
06/07/2018 18:36	194.82	194.83	194.82	194.83	626	USD	
