date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	141.53	141.53	141.31	141.31	3574	USD	
06/07/2018 15:32	141.33	141.345	141.17	141.23	1500	USD	
06/07/2018 15:34	141.4	141.439	141.34	141.39	900	USD	
06/07/2018 15:36	141.69	141.73	141.63	141.67	2100	USD	
06/07/2018 15:38	141.77	141.83	141.75	141.83	5413	USD	
06/07/2018 15:40	141.88	141.968	141.801	141.945	12101	USD	
06/07/2018 15:42	141.96	142	141.94	141.99	2480	USD	
06/07/2018 15:44	142.06	142.06	141.87	141.87	2300	USD	
06/07/2018 15:46	141.88	141.93	141.85	141.92	1300	USD	
06/07/2018 15:48	141.97	142	141.92	141.96	1300	USD	
06/07/2018 15:50	141.72	141.72	141.6	141.6	1800	USD	
06/07/2018 15:52	141.615	141.89	141.615	141.89	4482	USD	
06/07/2018 15:54	141.91	141.91	141.8	141.85	1700	USD	
06/07/2018 15:56	141.82	141.83	141.78	141.79	909	USD	
06/07/2018 15:58	141.79	141.899	141.79	141.88	1730	USD	
06/07/2018 16:00	141.79	141.84	141.78	141.795	1892	USD	
06/07/2018 16:02	141.86	141.86	141.74	141.805	4885	USD	
06/07/2018 16:04	141.778	141.79	141.7	141.79	2031	USD	
06/07/2018 16:06	141.701	141.701	141.6	141.6	1352	USD	
06/07/2018 16:08	141.75	141.81	141.73	141.81	604	USD	
06/07/2018 16:10	141.78	141.79	141.75	141.75	1900	USD	
06/07/2018 16:12	141.78	141.87	141.75	141.87	1681	USD	
06/07/2018 16:14	141.72	141.72	141.64	141.64	2000	USD	
06/07/2018 16:16	141.7	141.79	141.7	141.79	2130	USD	
06/07/2018 16:18	141.684	141.705	141.684	141.69	550	USD	
06/07/2018 16:20	141.672	141.672	141.63	141.63	600	USD	
06/07/2018 16:22	141.65	141.67	141.65	141.66	1023	USD	
06/07/2018 16:24	141.72	141.72	141.69	141.69	1416	USD	
06/07/2018 16:26	141.701	141.73	141.68	141.71	1580	USD	
06/07/2018 16:28	141.82	141.92	141.82	141.91	2100	USD	
06/07/2018 16:30	141.9	142	141.9	141.986	1325	USD	
06/07/2018 16:32	141.93	141.93	141.86	141.9	700	USD	
06/07/2018 16:34	141.84	141.88	141.81	141.811	1814	USD	
06/07/2018 16:36	141.867	141.9	141.86	141.87	806	USD	
06/07/2018 16:38	141.83	141.9	141.83	141.84	2000	USD	
06/07/2018 16:40	141.838	141.88	141.82	141.877	1888	USD	
06/07/2018 16:42	141.99	142.02	141.99	142.005	1426	USD	
06/07/2018 16:44	141.95	141.963	141.94	141.94	880	USD	
06/07/2018 16:46	142.03	142.08	142.02	142.05	2633	USD	
06/07/2018 16:48	142.02	142.15	142.02	142.098	5103	USD	
06/07/2018 16:50	142.09	142.107	142.075	142.075	3552	USD	
06/07/2018 16:52	142.158	142.188	142.12	142.14	2377	USD	
06/07/2018 16:54	142.135	142.18	142.12	142.14	3112	USD	
06/07/2018 16:56	142.15	142.17	142.11	142.12	2300	USD	
06/07/2018 16:58	142.22	142.23	142.14	142.14	3390	USD	
06/07/2018 17:00	142.15	142.18	142.137	142.17	911	USD	
06/07/2018 17:02	142.2	142.2	142.15	142.15	1115	USD	
06/07/2018 17:04	142.17	142.2	142.17	142.2	800	USD	
06/07/2018 17:06	142.21	142.224	142.177	142.19	4382	USD	
06/07/2018 17:08	142.34	142.44	142.33	142.42	2663	USD	
06/07/2018 17:10	142.47	142.47	142.436	142.46	7519	USD	
06/07/2018 17:12	142.41	142.49	142.39	142.482	1600	USD	
06/07/2018 17:14	142.503	142.503	142.45	142.49	2127	USD	
06/07/2018 17:16	142.47	142.47	142.39	142.39	1965	USD	
06/07/2018 17:18	142.41	142.42	142.38	142.42	1500	USD	
06/07/2018 17:20	142.51	142.55	142.51	142.55	300	USD	
06/07/2018 17:22	142.54	142.542	142.517	142.52	2100	USD	
06/07/2018 17:24	142.5	142.56	142.5	142.52	5138	USD	
06/07/2018 17:26	142.57	142.6	142.55	142.595	1979	USD	
06/07/2018 17:28	142.61	142.62	142.59	142.61	1900	USD	
06/07/2018 17:30	142.594	142.64	142.59	142.64	3300	USD	
06/07/2018 17:32	142.73	142.78	142.73	142.74	4618	USD	
06/07/2018 17:34	142.78	142.818	142.76	142.818	4185	USD	
06/07/2018 17:36	142.8	142.857	142.8	142.857	5250	USD	
06/07/2018 17:38	142.785	142.805	142.768	142.8	4604	USD	
06/07/2018 17:40	142.9	142.91	142.89	142.9	5020	USD	
06/07/2018 17:42	142.92	142.94	142.86	142.88	3340	USD	
06/07/2018 17:44	142.835	142.86	142.819	142.86	2411	USD	
06/07/2018 17:46	142.87	142.87	142.855	142.855	1700	USD	
06/07/2018 17:48	142.88	142.88	142.86	142.86	1250	USD	
06/07/2018 17:50	142.825	142.825	142.74	142.75	1900	USD	
06/07/2018 17:52	142.72	142.73	142.661	142.665	9150	USD	
06/07/2018 17:54	142.72	142.77	142.72	142.72	2200	USD	
06/07/2018 17:56	142.81	142.82	142.8	142.81	3250	USD	
06/07/2018 17:58	142.74	142.77	142.68	142.7	2687	USD	
06/07/2018 18:00	142.725	142.76	142.725	142.76	4600	USD	
06/07/2018 18:02	142.855	142.856	142.83	142.83	1400	USD	
06/07/2018 18:04	142.86	142.86	142.838	142.84	1129	USD	
06/07/2018 18:06	142.852	142.885	142.85	142.87	3837	USD	
06/07/2018 18:08	142.92	142.93	142.88	142.88	4800	USD	
06/07/2018 18:10	142.89	142.89	142.81	142.82	9500	USD	
06/07/2018 18:12	142.83	142.88	142.83	142.83	4110	USD	
06/07/2018 18:14	142.824	142.83	142.82	142.83	400	USD	
06/07/2018 18:16	142.825	142.825	142.78	142.79	1200	USD	
06/07/2018 18:18	142.78	142.78	142.76	142.761	1200	USD	
06/07/2018 18:20	142.72	142.75	142.67	142.67	4372	USD	
06/07/2018 18:22	142.7	142.71	142.68	142.71	1827	USD	
06/07/2018 18:24	142.703	142.72	142.703	142.72	700	USD	
06/07/2018 18:26	142.769	142.81	142.769	142.8	1350	USD	
06/07/2018 18:28	142.731	142.76	142.71	142.76	2402	USD	
06/07/2018 18:30	142.71	142.71	142.695	142.71	700	USD	
