date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	50.77	50.84	50.67	50.75	308771	USD	
06/07/2018 15:32	50.72	50.735	50.64	50.64	36924	USD	
06/07/2018 15:34	50.53	257.27	50.49	50.72	47163	USD	
06/07/2018 15:36	50.78	50.84	50.77	50.77	21707	USD	
06/07/2018 15:38	50.73	50.77	50.73	50.75	14672	USD	
06/07/2018 15:40	50.62	50.64	50.59	50.61	27411	USD	
06/07/2018 15:42	50.65	50.69	50.602	50.64	23491	USD	
06/07/2018 15:44	50.585	50.595	50.58	50.58	36900	USD	
06/07/2018 15:46	50.56	50.58	50.51	50.55	72009	USD	
06/07/2018 15:48	50.54	50.56	50.52	50.56	63057	USD	
06/07/2018 15:50	50.51	50.51	50.43	50.43	21968	USD	
06/07/2018 15:52	50.485	50.53	50.43	50.445	21762	USD	
06/07/2018 15:54	50.46	50.47	50.4	50.45	67974	USD	
06/07/2018 15:56	50.43	50.46	50.415	50.455	16846	USD	
06/07/2018 15:58	50.55	50.57	50.51	50.535	26877	USD	
06/07/2018 16:00	50.54	50.58	50.534	50.57	77869	USD	
06/07/2018 16:02	50.59	50.6	50.56	50.574	23880	USD	
06/07/2018 16:04	50.6	50.63	50.59	50.615	20249	USD	
06/07/2018 16:06	50.62	50.62	50.54	50.56	22108	USD	
06/07/2018 16:08	50.55	50.65	50.55	50.63	18453	USD	
06/07/2018 16:10	50.66	50.66	50.605	50.61	18267	USD	
06/07/2018 16:12	50.648	50.68	50.61	50.652	19479	USD	
06/07/2018 16:14	50.56	50.58	50.55	50.55	25507	USD	
06/07/2018 16:16	50.57	50.59	50.56	50.59	63092	USD	
06/07/2018 16:18	50.555	50.65	50.55	50.62	28411	USD	
06/07/2018 16:20	50.565	50.58	50.535	50.54	7185	USD	
06/07/2018 16:22	50.53	50.55	50.52	50.53	12697	USD	
06/07/2018 16:24	50.53	50.548	50.53	50.54	3734	USD	
06/07/2018 16:26	50.55	50.56	50.55	50.56	3409	USD	
06/07/2018 16:28	50.55	50.6	50.55	50.59	24248	USD	
06/07/2018 16:30	50.57	50.58	50.55	50.565	5562	USD	
06/07/2018 16:32	50.56	50.56	50.51	50.54	36261	USD	
06/07/2018 16:34	50.55	50.57	50.532	50.54	12828	USD	
06/07/2018 16:36	50.56	50.586	50.56	50.583	17300	USD	
06/07/2018 16:38	50.64	50.69	50.64	50.67	70820	USD	
06/07/2018 16:40	50.65	50.72	50.645	50.71	77897	USD	
06/07/2018 16:42	50.79	50.83	50.78	50.81	14136	USD	
06/07/2018 16:44	50.8	50.8	50.77	50.78	13315	USD	
06/07/2018 16:46	50.77	50.79	50.75	50.78	9672	USD	
06/07/2018 16:48	50.755	50.87	50.74	50.84	38461	USD	
06/07/2018 16:50	50.804	50.81	50.76	50.76	9359	USD	
06/07/2018 16:52	50.83	50.85	50.78	50.79	11446	USD	
06/07/2018 16:54	50.8	50.84	50.8	50.83	10551	USD	
06/07/2018 16:56	50.93	50.95	50.9	50.9	88987	USD	
