date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	125.06	125.29	125	125.28	12578	USD	
06/07/2018 15:32	125.25	125.25	124.92	124.92	6427	USD	
06/07/2018 15:34	124.95	124.98	124.82	124.83	7772	USD	
06/07/2018 15:36	124.88	125.09	124.88	125.05	5245	USD	
06/07/2018 15:38	125.02	125.07	124.99	125.05	2600	USD	
06/07/2018 15:40	124.98	124.99	124.891	124.97	7396	USD	
06/07/2018 15:42	125.03	125.04	124.94	124.947	3448	USD	
06/07/2018 15:44	124.915	125.01	124.88	124.88	15232	USD	
06/07/2018 15:46	124.95	125.02	124.92	125.01	4839	USD	
06/07/2018 15:48	124.84	124.92	124.82	124.86	4699	USD	
06/07/2018 15:50	124.771	124.78	124.7	124.78	3448	USD	
06/07/2018 15:52	124.695	124.72	124.67	124.68	5470	USD	
06/07/2018 15:54	124.63	124.66	124.61	124.66	2425	USD	
06/07/2018 15:56	124.8	124.85	124.76	124.85	1963	USD	
06/07/2018 15:58	124.85	124.92	124.84	124.85	5708	USD	
06/07/2018 16:00	124.84	124.93	124.82	124.87	5561	USD	
06/07/2018 16:02	124.91	125.01	124.88	125.01	5734	USD	
06/07/2018 16:04	124.95	124.95	124.89	124.92	1768	USD	
06/07/2018 16:06	124.895	124.915	124.88	124.91	7630	USD	
06/07/2018 16:08	124.905	125.004	124.88	124.92	7025	USD	
06/07/2018 16:10	124.93	125.07	124.924	125.07	12313	USD	
06/07/2018 16:12	125.21	125.26	125.19	125.21	7933	USD	
06/07/2018 16:14	125.16	125.17	125.09	125.1	3040	USD	
06/07/2018 16:16	125.01	125.01	124.94	124.99	5643	USD	
06/07/2018 16:18	125.02	125.02	125	125.01	3200	USD	
06/07/2018 16:20	125.05	125.13	125.04	125.05	5859	USD	
06/07/2018 16:22	124.96	125.01	124.96	124.99	3331	USD	
06/07/2018 16:24	124.98	124.99	124.85	124.86	6188	USD	
06/07/2018 16:26	124.945	125	124.88	124.91	9453	USD	
06/07/2018 16:28	124.927	125.15	124.927	125.14	14984	USD	
06/07/2018 16:30	125.03	125.03	124.99	124.995	2993	USD	
06/07/2018 16:32	124.91	124.95	124.9	124.95	4964	USD	
06/07/2018 16:34	124.91	124.94	124.89	124.91	4537	USD	
06/07/2018 16:36	124.94	124.95	124.92	124.92	6781	USD	
06/07/2018 16:38	124.87	124.93	124.85	124.85	4175	USD	
06/07/2018 16:40	124.86	124.92	124.86	124.91	4600	USD	
06/07/2018 16:42	124.971	124.98	124.94	124.94	1835	USD	
06/07/2018 16:44	124.86	124.88	124.84	124.87	2350	USD	
06/07/2018 16:46	124.87	124.909	124.83	124.83	9745	USD	
06/07/2018 16:48	124.87	124.94	124.87	124.875	4253	USD	
06/07/2018 16:50	124.85	124.85	124.825	124.838	4057	USD	
06/07/2018 16:52	124.88	124.93	124.86	124.93	1949	USD	
06/07/2018 16:54	124.89	124.966	124.89	124.945	13675	USD	
06/07/2018 16:56	124.95	125.03	124.9	124.9	19525	USD	
06/07/2018 16:58	124.991	125.02	124.991	125	2701	USD	
06/07/2018 17:00	125.03	125.11	125.03	125.1	1097	USD	
06/07/2018 17:02	125.142	125.15	125.09	125.09	2706	USD	
06/07/2018 17:04	125.12	125.12	125.05	125.07	6951	USD	
06/07/2018 17:06	125.06	125.07	125.01	125.03	1952	USD	
06/07/2018 17:08	125.09	125.2	125.085	125.17	4250	USD	
06/07/2018 17:10	125.23	125.26	125.225	125.26	5331	USD	
06/07/2018 17:12	125.221	125.31	125.221	125.285	3738	USD	
06/07/2018 17:14	125.265	125.32	125.265	125.32	5448	USD	
06/07/2018 17:16	125.28	125.28	125.25	125.26	3267	USD	
06/07/2018 17:18	125.305	125.32	125.29	125.32	2256	USD	
06/07/2018 17:20	125.42	125.45	125.39	125.39	3250	USD	
06/07/2018 17:22	125.47	125.5	125.45	125.485	3011	USD	
06/07/2018 17:24	125.45	125.45	125.413	125.43	2325	USD	
06/07/2018 17:26	125.43	125.45	125.42	125.437	3421	USD	
06/07/2018 17:28	125.44	125.45	125.42	125.45	1900	USD	
06/07/2018 17:30	125.46	125.52	125.46	125.51	19232	USD	
06/07/2018 17:32	125.53	125.53	125.49	125.49	9892	USD	
06/07/2018 17:34	125.52	125.53	125.495	125.495	1424	USD	
06/07/2018 17:36	125.49	125.503	125.47	125.503	6268	USD	
06/07/2018 17:38	125.5	125.52	125.5	125.5	3180	USD	
06/07/2018 17:40	125.607	125.61	125.55	125.583	7174	USD	
06/07/2018 17:42	125.62	125.68	125.57	125.62	7210	USD	
06/07/2018 17:44	125.72	125.78	125.69	125.76	5000	USD	
06/07/2018 17:46	125.68	125.69	125.65	125.67	2146	USD	
06/07/2018 17:48	125.69	125.74	125.69	125.74	2245	USD	
06/07/2018 17:50	125.69	125.69	125.67	125.67	8047	USD	
06/07/2018 17:52	125.58	125.6	125.51	125.51	2700	USD	
06/07/2018 17:54	125.57	125.58	125.54	125.54	4412	USD	
06/07/2018 17:56	125.49	125.57	125.49	125.57	4052	USD	
06/07/2018 17:58	125.546	125.57	125.495	125.504	2452	USD	
06/07/2018 18:00	125.53	125.57	125.53	125.57	7060	USD	
06/07/2018 18:02	125.63	125.65	125.62	125.62	1611	USD	
06/07/2018 18:04	125.593	125.632	125.574	125.59	2614	USD	
06/07/2018 18:06	125.595	125.61	125.59	125.59	2800	USD	
06/07/2018 18:08	125.62	125.635	125.6	125.625	2144	USD	
06/07/2018 18:10	125.605	125.626	125.605	125.61	1900	USD	
06/07/2018 18:12	125.557	125.56	125.521	125.54	3978	USD	
06/07/2018 18:14	125.535	125.54	125.47	125.495	12902	USD	
06/07/2018 18:16	125.51	125.52	125.48	125.48	11515	USD	
06/07/2018 18:18	125.48	125.496	125.475	125.495	2750	USD	
06/07/2018 18:20	125.415	125.42	125.34	125.37	12436	USD	
06/07/2018 18:22	125.285	125.325	125.285	125.325	2824	USD	
06/07/2018 18:24	125.36	125.395	125.34	125.39	8392	USD	
06/07/2018 18:26	125.397	125.48	125.395	125.4	4500	USD	
06/07/2018 18:28	125.37	125.39	125.325	125.387	1500	USD	
06/07/2018 18:30	125.36	125.36	125.3	125.3	10296	USD	
06/07/2018 18:32	125.27	125.283	125.25	125.255	3622	USD	
06/07/2018 18:34	125.236	125.26	125.19	125.195	4279	USD	
06/07/2018 18:36	125.204	125.26	125.204	125.24	3391	USD	
06/07/2018 18:38	125.265	125.275	125.24	125.24	8621	USD	
06/07/2018 18:40	125.26	125.28	125.245	125.26	2129	USD	
06/07/2018 18:42	125.295	125.34	125.29	125.325	7031	USD	
06/07/2018 18:44	125.33	125.335	125.305	125.315	5929	USD	
06/07/2018 18:46	125.275	125.28	125.21	125.217	3062	USD	
06/07/2018 18:48	125.22	125.26	125.175	125.175	15698	USD	
06/07/2018 18:50	125.16	125.175	125.15	125.16	4200	USD	
06/07/2018 18:52	125.15	125.155	125.125	125.13	4693	USD	
06/07/2018 18:54	125.085	125.085	125.07	125.085	3340	USD	
06/07/2018 18:56	125.145	125.165	125.115	125.115	1272	USD	
