date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	103.13	103.41	102.2	102.28	97874	USD	
06/07/2018 15:32	102.58	102.83	102.57	102.74	33245	USD	
06/07/2018 15:34	103.016	103.35	102.971	103.34	28889	USD	
06/07/2018 15:36	103.365	103.52	103.365	103.435	31480	USD	
06/07/2018 15:38	103.42	103.53	103.291	103.45	43625	USD	
06/07/2018 15:40	103.695	103.71	103.59	103.6	54330	USD	
06/07/2018 15:42	103.61	103.69	103.51	103.65	33966	USD	
06/07/2018 15:44	103.8	103.83	103.66	103.68	15894	USD	
06/07/2018 15:46	103.76	103.845	103.73	103.83	25044	USD	
06/07/2018 15:48	103.78	103.78	103.675	103.71	12166	USD	
06/07/2018 15:50	103.83	103.855	103.65	103.65	20349	USD	
06/07/2018 15:52	103.88	103.935	103.85	103.89	40521	USD	
06/07/2018 15:54	104.04	104.05	103.93	103.99	26663	USD	
06/07/2018 15:56	103.95	103.99	103.9	103.95	26636	USD	
06/07/2018 15:58	103.84	103.97	103.84	103.935	12453	USD	
06/07/2018 16:00	103.95	104.015	103.91	104.01	22522	USD	
06/07/2018 16:02	104.1	104.1	103.945	104	27291	USD	
06/07/2018 16:04	103.98	103.98	103.84	103.85	8601	USD	
06/07/2018 16:06	103.8	103.8	103.65	103.67	23300	USD	
06/07/2018 16:08	103.795	103.85	103.75	103.8	12950	USD	
06/07/2018 16:10	103.86	103.87	103.72	103.721	5606	USD	
06/07/2018 16:12	103.685	103.78	103.685	103.74	10171	USD	
06/07/2018 16:14	103.69	103.725	103.665	103.7	6590	USD	
06/07/2018 16:16	103.85	103.91	103.84	103.868	13810	USD	
06/07/2018 16:18	103.815	103.86	103.815	103.83	8185	USD	
06/07/2018 16:20	103.775	103.79	103.74	103.74	11132	USD	
06/07/2018 16:22	103.74	103.76	103.725	103.725	4100	USD	
06/07/2018 16:24	103.74	103.82	103.74	103.815	7506	USD	
06/07/2018 16:26	103.795	103.91	103.795	103.91	8327	USD	
06/07/2018 16:28	103.93	104.05	103.92	104.035	15386	USD	
06/07/2018 16:30	103.96	104.04	103.91	104.01	17633	USD	
06/07/2018 16:32	103.88	103.92	103.84	103.92	9850	USD	
06/07/2018 16:34	103.95	103.955	103.87	103.888	13095	USD	
06/07/2018 16:36	103.925	103.95	103.88	103.935	7155	USD	
06/07/2018 16:38	103.97	104.04	103.97	104.02	6743	USD	
06/07/2018 16:40	103.955	104.07	103.95	104.04	11880	USD	
06/07/2018 16:42	103.97	104.08	103.97	104.07	13201	USD	
06/07/2018 16:44	104.05	104.1	104.05	104.09	10367	USD	
06/07/2018 16:46	104.05	104.06	104.02	104.035	4268	USD	
06/07/2018 16:48	103.976	104.09	103.976	104.08	11711	USD	
06/07/2018 16:50	104.112	104.13	104.075	104.075	3679	USD	
06/07/2018 16:52	104.1	104.131	104.08	104.088	8952	USD	
06/07/2018 16:54	104.045	104.12	104.045	104.09	8750	USD	
06/07/2018 16:56	104.06	104.11	104.04	104.08	8066	USD	
06/07/2018 16:58	104.09	104.09	104.01	104.01	12029	USD	
06/07/2018 17:00	104.07	104.1	104.07	104.095	10997	USD	
06/07/2018 17:02	104.035	104.05	104.02	104.04	4978	USD	
06/07/2018 17:04	104.01	104.03	103.997	104.03	5123	USD	
06/07/2018 17:06	104.04	104.09	104.04	104.085	14515	USD	
06/07/2018 17:08	104.135	104.25	104.135	104.23	27900	USD	
06/07/2018 17:10	104.25	104.25	104.125	104.15	13792	USD	
06/07/2018 17:12	104.09	104.18	104.09	104.18	10935	USD	
06/07/2018 17:14	104.16	104.18	104.12	104.15	11211	USD	
