date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	285.15	285.75	285.15	285.75	2098	EUR	
06/07/2018 09:02	286.4	286.75	286.4	286.75	410	EUR	
06/07/2018 09:04	286.5	286.65	285.85	286.6	1587	EUR	
06/07/2018 09:06	285.85	285.85	285.4	285.65	1112	EUR	
06/07/2018 09:08	285.25	285.65	285.05	285.65	489	EUR	
06/07/2018 09:10	285.65	285.65	285.45	285.55	264	EUR	
06/07/2018 09:12	285.55	285.85	285.55	285.8	1099	EUR	
06/07/2018 09:14	285.35	285.4	285	285	389	EUR	
06/07/2018 09:16	285.2	285.3	285.1	285.3	896	EUR	
06/07/2018 09:18	285.3	285.5	285.2	285.4	519	EUR	
06/07/2018 09:20	285.75	285.75	285.55	285.65	800	EUR	
06/07/2018 09:22	285.55	285.55	285.05	285.15	131	EUR	
06/07/2018 09:24	285.35	285.35	284.95	284.95	778	EUR	
06/07/2018 09:26	284.8	285.15	284.8	285.15	226	EUR	
06/07/2018 09:28	285.05	285.05	284.75	284.75	418	EUR	
06/07/2018 09:30	284.75	285	284.75	285	583	EUR	
06/07/2018 09:32	285	285.1	285	285.05	138	EUR	
06/07/2018 09:34	284.95	285.15	284.8	285.15	392	EUR	
06/07/2018 09:36	285.15	285.15	285.05	285.05	261	EUR	
06/07/2018 09:38	285.25	285.6	285.25	285.6	818	EUR	
06/07/2018 09:40	285.8	285.8	285.6	285.6	250	EUR	
06/07/2018 09:42	285.5	285.5	285.35	285.35	83	EUR	
06/07/2018 09:44	285.05	285.2	285.05	285.15	330	EUR	
06/07/2018 09:46	285	285.2	285	285.05	340	EUR	
06/07/2018 09:48	285.15	285.2	285.05	285.1	226	EUR	
06/07/2018 09:50	285.4	285.7	285.4	285.6	1318	EUR	
06/07/2018 09:52	285.5	285.5	285.3	285.4	98	EUR	
06/07/2018 09:54	285.35	285.4	285.35	285.4	184	EUR	
06/07/2018 09:56	285.2	285.25	285.2	285.25	484	EUR	
06/07/2018 09:58	285	285.2	285	285.1	564	EUR	
06/07/2018 10:00	285.25	285.25	285.1	285.15	138	EUR	
06/07/2018 10:02	285.2	285.3	285.2	285.25	503	EUR	
06/07/2018 10:04	285.35	285.45	285.3	285.4	515	EUR	
06/07/2018 10:06	285.4	285.45	285.3	285.3	281	EUR	
06/07/2018 10:08	285.35	285.4	285.35	285.4	192	EUR	
06/07/2018 10:10	285.55	285.55	285.55	285.55	35	EUR	
06/07/2018 10:12	285.75	285.75	285.65	285.65	187	EUR	
06/07/2018 10:14	285.65	285.65	285.55	285.55	133	EUR	
06/07/2018 10:16	285.45	285.6	285.45	285.55	329	EUR	
06/07/2018 10:18	285.7	285.75	285.65	285.7	333	EUR	
06/07/2018 10:20	285.65	285.65	285.55	285.55	192	EUR	
06/07/2018 10:22	285.85	285.85	285.75	285.85	420	EUR	
