date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	157.51	157.83	157.51	157.55	2100	USD	
06/07/2018 15:32	157.63	157.63	157.54	157.59	593	USD	
06/07/2018 15:34	157.81	157.97	157.77	157.97	1150	USD	
06/07/2018 15:36	158.26	158.48	158.25	158.44	1834	USD	
06/07/2018 15:38	158.36	158.51	158.36	158.51	400	USD	
06/07/2018 15:40	158.41	158.67	158.41	158.67	2400	USD	
06/07/2018 15:42	159.16	159.175	159	159.04	5726	USD	
06/07/2018 15:44	159.663	159.74	159.49	159.53	12070	USD	
06/07/2018 15:46	159.68	159.74	159.63	159.723	5550	USD	
06/07/2018 15:48	159.77	159.84	159.69	159.81	8908	USD	
06/07/2018 15:50	159.825	159.825	159.68	159.68	4955	USD	
06/07/2018 15:52	159.76	159.78	159.68	159.78	4928	USD	
06/07/2018 15:54	159.885	159.96	159.86	159.96	7900	USD	
06/07/2018 15:56	160.025	160.16	160	160.125	6415	USD	
06/07/2018 15:58	160.16	160.16	160.04	160.04	3403	USD	
06/07/2018 16:00	160.22	160.4	160.09	160.34	8107	USD	
06/07/2018 16:02	160.355	160.39	160.26	160.275	5195	USD	
06/07/2018 16:04	160.3	160.38	160.29	160.378	3027	USD	
06/07/2018 16:06	160.24	160.25	160.16	160.235	4144	USD	
06/07/2018 16:08	160.23	160.38	160.22	160.34	3588	USD	
06/07/2018 16:10	160.48	160.48	160.06	160.07	6000	USD	
06/07/2018 16:12	159.95	159.99	159.92	159.945	4212	USD	
06/07/2018 16:14	159.99	160.21	159.95	160.21	4589	USD	
06/07/2018 16:16	160.24	160.27	160.185	160.26	2600	USD	
06/07/2018 16:18	160.22	160.265	160.16	160.21	3400	USD	
06/07/2018 16:20	160.11	160.15	160	160.01	3100	USD	
06/07/2018 16:22	159.85	159.92	159.785	159.92	2674	USD	
06/07/2018 16:24	159.87	159.922	159.865	159.922	1797	USD	
06/07/2018 16:26	160	160.19	160	160.19	2400	USD	
06/07/2018 16:28	160.16	160.24	160.13	160.24	2890	USD	
06/07/2018 16:30	160.35	160.35	160.145	160.145	1750	USD	
