date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	61.85	61.9	61.79	61.9	22060	USD	
06/07/2018 15:32	61.975	62.1	61.93	61.93	44712	USD	
06/07/2018 15:34	62	62.01	61.9	61.95	11734	USD	
06/07/2018 15:36	61.97	62.11	61.97	62.04	11554	USD	
06/07/2018 15:38	62.03	62.04	61.995	62.015	6220	USD	
06/07/2018 15:40	62.06	62.08	62.03	62.05	43278	USD	
06/07/2018 15:42	62.14	62.17	62.11	62.12	16781	USD	
06/07/2018 15:44	62.09	62.1	62.05	62.05	38711	USD	
06/07/2018 15:46	62.055	62.07	62.01	62.04	7237	USD	
06/07/2018 15:48	61.995	62	61.98	61.992	4572	USD	
06/07/2018 15:50	61.97	62	61.915	62	10218	USD	
06/07/2018 15:52	61.98	62.02	61.95	62.02	5843	USD	
06/07/2018 15:54	62.01	62.02	62	62.01	3134	USD	
06/07/2018 15:56	62.02	62.045	62.01	62.04	9350	USD	
06/07/2018 15:58	62.025	62.04	62.02	62.028	3313	USD	
06/07/2018 16:00	62.04	62.07	62.03	62.04	6222	USD	
06/07/2018 16:02	62.03	62.05	62.02	62.023	122055	USD	
06/07/2018 16:04	62.08	62.1	62.05	62.06	8851	USD	
06/07/2018 16:06	62.03	62.04	62.01	62.04	10946	USD	
06/07/2018 16:08	62.05	62.06	62.005	62.035	10267	USD	
06/07/2018 16:10	62.01	62.03	62	62.015	16439	USD	
06/07/2018 16:12	62.08	62.09	62.05	62.055	5450	USD	
06/07/2018 16:14	62.025	62.05	62.02	62.03	102253	USD	
06/07/2018 16:16	62.06	62.06	62.02	62.05	5700	USD	
06/07/2018 16:18	62.07	62.08	62.04	62.04	3686	USD	
06/07/2018 16:20	62.05	62.05	62.025	62.03	9609	USD	
06/07/2018 16:22	62.018	62.02	62	62.01	9024	USD	
06/07/2018 16:24	62.025	62.055	62.025	62.045	15305	USD	
06/07/2018 16:26	62.06	62.06	62.01	62.03	9700	USD	
06/07/2018 16:28	62.05	62.08	62.045	62.075	6509	USD	
06/07/2018 16:30	62.07	62.103	62.07	62.09	15039	USD	
06/07/2018 16:32	62.03	62.05	62.02	62.05	18635	USD	
06/07/2018 16:34	62.025	62.05	62.02	62.04	19435	USD	
06/07/2018 16:36	62.06	62.065	62.04	62.06	4300	USD	
06/07/2018 16:38	62.045	62.06	62.045	62.055	7664	USD	
06/07/2018 16:40	62.04	62.07	62.03	62.07	3000	USD	
06/07/2018 16:42	62.08	62.08	62.074	62.08	1710	USD	
06/07/2018 16:44	62.043	62.055	62.043	62.05	19797	USD	
06/07/2018 16:46	62.07	62.07	62.04	62.04	4100	USD	
06/07/2018 16:48	62.035	62.09	62.035	62.09	9513	USD	
06/07/2018 16:50	62.06	62.06	62.05	62.06	1557	USD	
06/07/2018 16:52	62.07	62.09	62.065	62.085	4209	USD	
06/07/2018 16:54	62.085	62.1	62.08	62.09	4124	USD	
06/07/2018 16:56	62.11	62.12	62.1	62.115	7583	USD	
06/07/2018 16:58	62.17	62.18	62.165	62.176	13685	USD	
06/07/2018 17:00	62.18	62.2	62.18	62.2	6006	USD	
06/07/2018 17:02	62.225	62.225	62.2	62.2	1400	USD	
06/07/2018 17:04	62.195	62.205	62.18	62.205	2668	USD	
06/07/2018 17:06	62.2	62.23	62.196	62.225	11678	USD	
06/07/2018 17:08	62.245	62.295	62.243	62.295	4746	USD	
06/07/2018 17:10	62.305	62.325	62.3	62.325	21057	USD	
