date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	106.25	106.35	106.25	106.35	900	EUR	
06/07/2018 09:02	106.25	106.3	106.25	106.3	1380	EUR	
06/07/2018 09:04	106.15	106.2	106.15	106.15	196	EUR	
06/07/2018 09:06	105.8	105.8	105.55	105.6	1061	EUR	
06/07/2018 09:08	105.7	105.95	105.7	105.95	1382	EUR	
06/07/2018 09:10	105.95	105.95	105.45	105.55	3258	EUR	
06/07/2018 09:12	105.8	105.85	105.75	105.75	1102	EUR	
06/07/2018 09:14	105.75	105.9	105.75	105.9	437	EUR	
06/07/2018 09:16	105.9	105.9	105.75	105.75	195	EUR	
06/07/2018 09:18	105.75	105.85	105.7	105.85	684	EUR	
06/07/2018 09:20	105.65	105.65	105.55	105.6	571	EUR	
06/07/2018 09:22	105.5	105.5	105.4	105.4	584	EUR	
06/07/2018 09:24	105.35	105.35	105.2	105.2	484	EUR	
06/07/2018 09:26	105.15	105.25	105.05	105.1	949	EUR	
06/07/2018 09:28	104.95	105	104.85	104.85	1288	EUR	
06/07/2018 09:30	104.85	105	104.85	105	520	EUR	
06/07/2018 09:32	105.05	105.05	104.9	104.95	534	EUR	
06/07/2018 09:34	104.95	104.95	104.75	104.8	426	EUR	
06/07/2018 09:36	104.8	104.8	104.75	104.75	123	EUR	
06/07/2018 09:38	105	105	105	105	236	EUR	
06/07/2018 09:40	104.95	104.95	104.95	104.95	25	EUR	
06/07/2018 09:42	104.9	104.9	104.8	104.8	311	EUR	
06/07/2018 09:44	104.9	104.95	104.9	104.95	550	EUR	
06/07/2018 09:46	105.05	105.1	105.05	105.1	266	EUR	
06/07/2018 09:48	105.15	105.15	105.1	105.15	564	EUR	
06/07/2018 09:50	105.2	105.4	105.2	105.3	901	EUR	
06/07/2018 09:52	105.1	105.15	105.1	105.15	512	EUR	
06/07/2018 09:54	105.1	105.1	105.05	105.1	310	EUR	
06/07/2018 09:56	105.05	105.05	105	105	95	EUR	
06/07/2018 09:58	105.1	105.15	105.05	105.05	770	EUR	
06/07/2018 10:00	105.1	105.1	105.1	105.1	220	EUR	
06/07/2018 10:02	105.25	105.25	105.15	105.15	304	EUR	
06/07/2018 10:04	105.2	105.25	105.2	105.2	288	EUR	
06/07/2018 10:06	105.15	105.15	105.1	105.1	747	EUR	
06/07/2018 10:08	105.15	105.15	105.1	105.1	175	EUR	
06/07/2018 10:10	105.2	105.2	105.1	105.1	392	EUR	
06/07/2018 10:12	105.1	105.1	105.05	105.05	156	EUR	
06/07/2018 10:14	104.95	104.95	104.9	104.9	422	EUR	
06/07/2018 10:16	104.9	104.9	104.85	104.9	868	EUR	
06/07/2018 10:18	104.9	104.9	104.9	104.9	87	EUR	
06/07/2018 10:20	104.9	104.95	104.9	104.95	516	EUR	
06/07/2018 10:22	104.95	105	104.95	105	365	EUR	
06/07/2018 10:24	105.05	105.1	105.05	105.1	402	EUR	
06/07/2018 10:26	105.05	105.05	105.05	105.05	406	EUR	
06/07/2018 10:28	105	105	105	105	431	EUR	
