date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	99.885	99.98	99.84	99.9	334568	USD	
06/07/2018 15:32	99.92	99.93	99.77	99.84	11239	USD	
06/07/2018 15:34	99.74	99.81	99.705	99.81	11077	USD	
06/07/2018 15:36	99.99	100.01	99.925	99.95	19270	USD	
06/07/2018 15:38	100.06	100.14	99.98	100.14	21497	USD	
06/07/2018 15:40	100.22	100.305	100.21	100.26	99988	USD	
06/07/2018 15:42	100.34	100.356	100.27	100.31	29187	USD	
06/07/2018 15:44	100.25	100.274	100.14	100.145	24248	USD	
06/07/2018 15:46	100.16	100.24	100.14	100.24	22718	USD	
06/07/2018 15:48	100.23	100.34	100.23	100.31	33411	USD	
06/07/2018 15:50	100.28	100.3	100.211	100.22	25882	USD	
06/07/2018 15:52	100.34	100.39	100.31	100.38	27045	USD	
06/07/2018 15:54	100.305	100.32	100.24	100.295	25221	USD	
06/07/2018 15:56	100.24	100.26	100.21	100.245	19902	USD	
06/07/2018 15:58	100.25	100.34	100.24	100.31	39063	USD	
06/07/2018 16:00	100.25	100.31	100.24	100.3	42735	USD	
06/07/2018 16:02	100.24	100.26	100.2	100.2	17741	USD	
06/07/2018 16:04	100.25	100.37	100.25	100.32	35145	USD	
06/07/2018 16:06	100.28	100.28	100.25	100.27	17441	USD	
06/07/2018 16:08	100.29	100.34	100.28	100.3	23600	USD	
06/07/2018 16:10	100.37	100.45	100.33	100.35	32531	USD	
06/07/2018 16:12	100.365	100.43	100.34	100.42	30169	USD	
06/07/2018 16:14	100.33	100.34	100.275	100.29	21369	USD	
06/07/2018 16:16	100.31	100.36	100.31	100.34	14872	USD	
06/07/2018 16:18	100.32	100.38	100.32	100.32	14971	USD	
06/07/2018 16:20	100.233	100.233	100.17	100.17	16953	USD	
06/07/2018 16:22	100.11	100.15	100.105	100.13	22110	USD	
06/07/2018 16:24	100.14	100.155	100.11	100.146	18161	USD	
06/07/2018 16:26	100.15	100.16	100.12	100.12	14782	USD	
06/07/2018 16:28	100.15	100.24	100.15	100.23	27560	USD	
06/07/2018 16:30	100.22	100.24	100.18	100.195	17938	USD	
06/07/2018 16:32	100.1	100.1	100.05	100.09	37598	USD	
06/07/2018 16:34	100.06	100.08	100.045	100.06	11512	USD	
06/07/2018 16:36	100.06	100.1	100.06	100.08	14303	USD	
06/07/2018 16:38	100.1	100.18	100.1	100.15	14475	USD	
06/07/2018 16:40	100.12	100.21	100.12	100.19	14597	USD	
06/07/2018 16:42	100.28	100.35	100.27	100.33	16649	USD	
06/07/2018 16:44	100.325	100.34	100.3	100.32	22181	USD	
06/07/2018 16:46	100.29	100.3	100.268	100.273	29313	USD	
06/07/2018 16:48	100.275	100.38	100.275	100.34	38293	USD	
06/07/2018 16:50	100.305	100.316	100.26	100.264	7397	USD	
06/07/2018 16:52	100.29	100.31	100.27	100.28	13578	USD	
06/07/2018 16:54	100.26	100.33	100.26	100.275	21252	USD	
06/07/2018 16:56	100.25	100.255	100.21	100.21	17704	USD	
06/07/2018 16:58	100.305	100.325	100.29	100.295	12066	USD	
06/07/2018 17:00	100.33	100.37	100.32	100.37	20309	USD	
06/07/2018 17:02	100.4	100.42	100.37	100.372	11034	USD	
06/07/2018 17:04	100.38	100.42	100.37	100.42	12085	USD	
06/07/2018 17:06	100.395	100.42	100.36	100.38	8788	USD	
06/07/2018 17:08	100.45	100.48	100.42	100.475	33685	USD	
06/07/2018 17:10	100.475	100.49	100.44	100.485	25324	USD	
06/07/2018 17:12	100.485	100.54	100.48	100.535	29350	USD	
06/07/2018 17:14	100.52	100.545	100.51	100.545	20254	USD	
