date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	36.97	37	36.96	37	3006	USD	
06/07/2018 15:32	37.034	37.034	36.875	36.88	18221	USD	
06/07/2018 15:34	36.955	36.96	36.925	36.95	15768	USD	
06/07/2018 15:36	37.015	37.1	37.015	37.05	51759	USD	
06/07/2018 15:38	37.087	37.11	37.087	37.1	22956	USD	
06/07/2018 15:40	37.14	37.16	37.13	37.16	190864	USD	
06/07/2018 15:42	37.21	37.22	37.21	37.21	24756	USD	
06/07/2018 15:44	37.21	37.21	37.185	37.185	18485	USD	
06/07/2018 15:46	37.19	37.2	37.16	37.16	13565	USD	
06/07/2018 15:48	37.115	37.119	37.08	37.1	6582	USD	
06/07/2018 15:50	37.06	37.1	37.05	37.095	12352	USD	
06/07/2018 15:52	37.07	37.095	37.07	37.09	10705	USD	
06/07/2018 15:54	37.1	37.1	37.09	37.095	9511	USD	
06/07/2018 15:56	37.085	37.099	37.08	37.095	10996	USD	
06/07/2018 15:58	37.095	37.11	37.09	37.095	46899	USD	
06/07/2018 16:00	37.13	37.15	37.11	37.15	22033	USD	
06/07/2018 16:02	37.145	37.151	37.13	37.135	19338	USD	
06/07/2018 16:04	37.128	37.146	37.12	37.145	29612	USD	
06/07/2018 16:06	37.135	37.135	37.115	37.12	24698	USD	
06/07/2018 16:08	37.12	37.125	37.055	37.06	152897	USD	
06/07/2018 16:10	37.025	37.05	37.02	37.05	21354	USD	
06/07/2018 16:12	37.08	37.095	37.07	37.09	9672	USD	
06/07/2018 16:14	37.065	37.065	37.05	37.055	10884	USD	
06/07/2018 16:16	37.05	37.055	37.045	37.055	14670	USD	
06/07/2018 16:18	37.056	37.06	37.05	37.05	5959	USD	
06/07/2018 16:20	37.04	37.04	37.005	37.01	12325	USD	
06/07/2018 16:22	36.98	36.987	36.97	36.984	17805	USD	
06/07/2018 16:24	36.99	36.99	36.98	36.989	9497	USD	
06/07/2018 16:26	36.98	36.985	36.97	36.97	40625	USD	
06/07/2018 16:28	36.975	37.017	36.975	37.017	40716	USD	
06/07/2018 16:30	37	37.01	36.98	36.985	16610	USD	
06/07/2018 16:32	36.94	36.966	36.93	36.96	35820	USD	
06/07/2018 16:34	36.92	36.955	36.92	36.945	33974	USD	
06/07/2018 16:36	36.955	36.955	36.94	36.94	7189	USD	
06/07/2018 16:38	36.945	36.96	36.945	36.955	17406	USD	
06/07/2018 16:40	36.951	36.97	36.95	36.965	19403	USD	
06/07/2018 16:42	36.995	37.01	36.99	37	15252	USD	
06/07/2018 16:44	36.975	36.98	36.97	36.975	13058	USD	
06/07/2018 16:46	36.985	36.985	36.96	36.96	23916	USD	
06/07/2018 16:48	36.96	36.98	36.95	36.975	11904	USD	
06/07/2018 16:50	36.965	36.98	36.96	36.96	10840	USD	
06/07/2018 16:52	36.97	36.98	36.96	36.96	16408	USD	
06/07/2018 16:54	36.95	36.97	36.948	36.955	26733	USD	
06/07/2018 16:56	36.965	36.98	36.965	36.975	26525	USD	
06/07/2018 16:58	37.017	37.03	37.01	37.025	37181	USD	
06/07/2018 17:00	37.03	37.05	37.025	37.05	16499	USD	
06/07/2018 17:02	37.069	37.069	37.045	37.05	34713	USD	
06/07/2018 17:04	37.075	37.095	37.07	37.095	18762	USD	
06/07/2018 17:06	37.09	37.095	37.07	37.085	10865	USD	
06/07/2018 17:08	37.11	37.11	37.09	37.105	15655	USD	
06/07/2018 17:10	37.115	37.12	37.1	37.11	14899	USD	
06/07/2018 17:12	37.1	37.115	37.09	37.11	97929	USD	
06/07/2018 17:14	37.115	37.12	37.11	37.115	34053	USD	
06/07/2018 17:16	37.115	37.115	37.09	37.09	17388	USD	
06/07/2018 17:18	37.11	37.12	37.11	37.11	5382	USD	
06/07/2018 17:20	37.14	37.145	37.135	37.135	3644	USD	
06/07/2018 17:22	37.145	37.15	37.14	37.14	13760	USD	
06/07/2018 17:24	37.145	37.15	37.13	37.145	4400	USD	
06/07/2018 17:26	37.135	37.135	37.12	37.125	12277	USD	
06/07/2018 17:28	37.13	37.14	37.125	37.14	13496	USD	
06/07/2018 17:30	37.145	37.15	37.14	37.15	33115	USD	
06/07/2018 17:32	37.165	37.18	37.16	37.175	14751	USD	
06/07/2018 17:34	37.185	37.189	37.18	37.18	4422	USD	
06/07/2018 17:36	37.185	37.19	37.16	37.175	27043	USD	
06/07/2018 17:38	37.175	37.205	37.175	37.205	32670	USD	
06/07/2018 17:40	37.214	37.225	37.185	37.185	11543	USD	
06/07/2018 17:42	37.195	37.21	37.195	37.21	14661	USD	
06/07/2018 17:44	37.195	37.2	37.19	37.2	16942	USD	
06/07/2018 17:46	37.2	37.204	37.18	37.19	8498	USD	
06/07/2018 17:48	37.19	37.21	37.19	37.205	8188	USD	
06/07/2018 17:50	37.2	37.21	37.19	37.19	9808	USD	
06/07/2018 17:52	37.17	37.171	37.16	37.16	14083	USD	
06/07/2018 17:54	37.165	37.17	37.15	37.155	9093	USD	
