date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	79.38	79.39	79.23	79.25	1400	USD	
06/07/2018 15:32	79.24	79.26	79.06	79.1	8135	USD	
06/07/2018 15:34	79.13	79.17	79.11	79.12	5601	USD	
06/07/2018 15:36	79.15	79.22	79.145	79.185	5659	USD	
06/07/2018 15:38	79.17	79.26	79.17	79.24	8478	USD	
06/07/2018 15:40	79.15	79.16	79.07	79.11	3749	USD	
06/07/2018 15:42	79	79.054	78.93	78.95	3652	USD	
06/07/2018 15:44	79	79.005	78.98	79	2310	USD	
06/07/2018 15:46	79.14	79.22	79.14	79.195	6963	USD	
06/07/2018 15:48	79.13	79.13	79.08	79.1	7032	USD	
06/07/2018 15:50	78.95	78.97	78.91	78.95	6791	USD	
06/07/2018 15:52	78.93	79	78.915	79	5979	USD	
06/07/2018 15:54	78.98	79.035	78.97	79.005	15405	USD	
06/07/2018 15:56	79.12	79.17	79.105	79.165	4909	USD	
06/07/2018 15:58	79.235	79.235	79.18	79.215	7247	USD	
06/07/2018 16:00	79.23	79.257	79.21	79.23	9629	USD	
06/07/2018 16:02	79.21	79.225	79.19	79.194	8636	USD	
06/07/2018 16:04	79.21	79.225	79.18	79.225	3887	USD	
06/07/2018 16:06	79.17	79.205	79.15	79.205	5679	USD	
06/07/2018 16:08	79.2	79.28	79.2	79.25	6748	USD	
06/07/2018 16:10	79.25	79.3	79.25	79.29	8228	USD	
06/07/2018 16:12	79.295	79.3	79.26	79.28	13169	USD	
06/07/2018 16:14	79.26	79.3	79.26	79.3	2330	USD	
06/07/2018 16:16	79.345	79.345	79.27	79.28	8166	USD	
06/07/2018 16:18	79.26	79.27	79.24	79.24	3127	USD	
06/07/2018 16:20	79.22	79.22	79.165	79.165	4495	USD	
06/07/2018 16:22	79.155	79.19	79.155	79.165	2610	USD	
06/07/2018 16:24	79.115	79.14	79.11	79.11	4645	USD	
06/07/2018 16:26	79.15	79.16	79.13	79.13	5172	USD	
06/07/2018 16:28	79.075	79.13	79.066	79.13	3411	USD	
06/07/2018 16:30	79.21	79.24	79.19	79.215	5256	USD	
06/07/2018 16:32	79.19	79.19	79.17	79.185	5878	USD	
06/07/2018 16:34	79.18	79.203	79.156	79.203	3425	USD	
06/07/2018 16:36	79.25	79.28	79.25	79.27	13444	USD	
06/07/2018 16:38	79.23	79.27	79.23	79.265	2335	USD	
06/07/2018 16:40	79.24	79.31	79.24	79.3	7346	USD	
06/07/2018 16:42	79.27	79.29	79.215	79.215	6150	USD	
06/07/2018 16:44	79.24	79.27	79.24	79.25	3225	USD	
06/07/2018 16:46	79.28	79.3	79.275	79.28	2300	USD	
06/07/2018 16:48	79.29	79.32	79.28	79.294	5045	USD	
06/07/2018 16:50	79.25	79.3	79.25	79.295	5470	USD	
06/07/2018 16:52	79.32	79.35	79.31	79.345	2426	USD	
06/07/2018 16:54	79.275	79.3	79.26	79.26	5698	USD	
06/07/2018 16:56	79.27	79.27	79.24	79.25	5813	USD	
06/07/2018 16:58	79.29	79.295	79.28	79.285	2325	USD	
06/07/2018 17:00	79.26	79.27	79.26	79.27	1899	USD	
06/07/2018 17:02	79.31	79.31	79.28	79.285	4605	USD	
06/07/2018 17:04	79.285	79.3	79.26	79.26	6349	USD	
06/07/2018 17:06	79.28	79.33	79.28	79.33	5445	USD	
06/07/2018 17:08	79.365	79.45	79.365	79.44	5736	USD	
06/07/2018 17:10	79.485	79.49	79.46	79.49	2331	USD	
06/07/2018 17:12	79.495	79.52	79.454	79.47	14640	USD	
06/07/2018 17:14	79.51	79.51	79.48	79.5	4103	USD	
06/07/2018 17:16	79.47	79.47	79.43	79.43	2698	USD	
06/07/2018 17:18	79.475	79.48	79.46	79.48	1875	USD	
06/07/2018 17:20	79.54	79.54	79.51	79.51	3027	USD	
06/07/2018 17:22	79.55	79.55	79.5	79.51	5758	USD	
06/07/2018 17:24	79.45	79.48	79.44	79.46	3800	USD	
06/07/2018 17:26	79.47	79.51	79.45	79.505	5695	USD	
06/07/2018 17:28	79.47	79.47	79.4	79.43	6890	USD	
06/07/2018 17:30	79.4	79.43	79.395	79.42	4192	USD	
06/07/2018 17:32	79.395	79.43	79.395	79.42	4465	USD	
06/07/2018 17:34	79.48	79.48	79.4	79.4	9372	USD	
06/07/2018 17:36	79.4	79.408	79.385	79.39	7160	USD	
06/07/2018 17:38	79.41	79.41	79.28	79.28	17954	USD	
06/07/2018 17:40	79.37	79.37	79.31	79.35	5217	USD	
06/07/2018 17:42	79.37	79.37	79.34	79.35	6964	USD	
06/07/2018 17:44	79.33	79.33	79.3	79.31	4090	USD	
06/07/2018 17:46	79.36	79.4	79.35	79.39	5315	USD	
06/07/2018 17:48	79.406	79.406	79.36	79.4	12888	USD	
06/07/2018 17:50	79.425	79.43	79.39	79.4	7023	USD	
06/07/2018 17:52	79.4	79.4	50.94	79.35	8524	USD	
06/07/2018 17:54	79.38	79.415	79.38	79.39	8500	USD	
06/07/2018 17:56	79.395	79.405	79.39	79.405	3560	USD	
06/07/2018 17:58	79.33	79.335	79.3	79.315	5500	USD	
06/07/2018 18:00	79.345	79.39	79.345	79.38	5361	USD	
06/07/2018 18:02	79.37	79.37	79.34	79.35	3733	USD	
06/07/2018 18:04	79.31	79.38	79.31	79.36	2972	USD	
06/07/2018 18:06	79.39	79.4	79.38	79.39	2140	USD	
06/07/2018 18:08	79.41	79.445	79.4	79.4	3980	USD	
06/07/2018 18:10	79.4	79.425	79.4	79.41	2277	USD	
06/07/2018 18:12	79.37	79.385	79.36	79.373	2653	USD	
06/07/2018 18:14	79.405	79.425	79.38	79.42	4735	USD	
06/07/2018 18:16	79.405	79.405	79.35	79.37	1700	USD	
06/07/2018 18:18	79.34	79.355	79.32	79.355	8102	USD	
06/07/2018 18:20	79.35	79.37	79.335	79.34	4616	USD	
06/07/2018 18:22	79.361	79.37	79.354	79.365	3265	USD	
06/07/2018 18:24	79.36	79.41	79.355	79.41	1674	USD	
06/07/2018 18:26	79.42	79.43	79.41	79.42	4591	USD	
