date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	76.03	76.17	76.03	76.14	1531	EUR	
06/07/2018 09:02	76.09	76.11	76.06	76.1	2942	EUR	
06/07/2018 09:04	76.16	76.19	76.12	76.15	2282	EUR	
06/07/2018 09:06	76.09	76.09	75.98	75.98	1675	EUR	
06/07/2018 09:08	75.92	76.18	75.9	76.18	2446	EUR	
06/07/2018 09:10	76.14	76.14	76	76.01	10934	EUR	
06/07/2018 09:12	76.23	76.3	76.22	76.22	5722	EUR	
06/07/2018 09:14	76.12	76.15	76.05	76.08	2035	EUR	
06/07/2018 09:16	76.03	76.03	75.93	76	2871	EUR	
06/07/2018 09:18	75.91	75.98	75.86	75.98	1567	EUR	
06/07/2018 09:20	75.81	75.81	75.68	75.74	1526	EUR	
06/07/2018 09:22	75.68	75.68	75.61	75.61	564	EUR	
06/07/2018 09:24	75.53	75.54	75.43	75.43	1605	EUR	
06/07/2018 09:26	75.39	75.51	75.35	75.35	1464	EUR	
06/07/2018 09:28	75.36	75.43	75.3	75.36	7846	EUR	
06/07/2018 09:30	75.37	75.41	75.37	75.4	803	EUR	
06/07/2018 09:32	75.52	75.52	75.27	75.29	4174	EUR	
06/07/2018 09:34	75.32	75.32	75.15	75.18	2042	EUR	
06/07/2018 09:36	75.12	75.15	75.08	75.1	1496	EUR	
06/07/2018 09:38	75.3	75.32	75.25	75.31	979	EUR	
06/07/2018 09:40	75.18	75.19	75.11	75.18	928	EUR	
06/07/2018 09:42	75.07	75.09	75.05	75.07	1068	EUR	
06/07/2018 09:44	75.19	75.22	75.19	75.2	253	EUR	
06/07/2018 09:46	75.29	75.43	75.29	75.39	3027	EUR	
06/07/2018 09:48	75.35	75.37	75.33	75.36	692	EUR	
06/07/2018 09:50	75.4	75.53	75.4	75.44	1160	EUR	
06/07/2018 09:52	75.37	75.37	75.3	75.3	86	EUR	
06/07/2018 09:54	75.25	75.29	75.25	75.28	784	EUR	
06/07/2018 09:56	75.2	75.2	75.2	75.2	100	EUR	
06/07/2018 09:58	75.3	75.3	75.18	75.18	912	EUR	
06/07/2018 10:00	75.26	75.27	75.23	75.27	634	EUR	
06/07/2018 10:02	75.25	75.27	75.17	75.18	1263	EUR	
06/07/2018 10:04	75.16	75.22	75.14	75.14	965	EUR	
06/07/2018 10:06	75.14	75.15	75.09	75.13	2605	EUR	
06/07/2018 10:08	75.11	75.12	75.11	75.11	214	EUR	
06/07/2018 10:10	75.18	75.19	75.12	75.12	951	EUR	
06/07/2018 10:12	75.17	75.17	75.13	75.13	638	EUR	
06/07/2018 10:14	75.15	75.15	75.1	75.1	804	EUR	
06/07/2018 10:16	75.11	75.21	75.11	75.21	1482	EUR	
06/07/2018 10:18	75.14	75.16	75.13	75.16	285	EUR	
06/07/2018 10:20	75.12	75.13	75.12	75.13	229	EUR	
06/07/2018 10:22	75.16	75.16	75.15	75.15	374	EUR	
06/07/2018 10:24	75.19	75.21	75.19	75.21	568	EUR	
06/07/2018 10:26	75.24	75.25	75.21	75.22	306	EUR	
