date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	38.325	38.405	38.325	38.405	2781	EUR	
06/07/2018 09:02	38.395	38.43	38.395	38.43	1349	EUR	
06/07/2018 09:04	38.34	38.37	38.335	38.365	3771	EUR	
06/07/2018 09:06	38.355	38.365	38.335	38.355	4161	EUR	
06/07/2018 09:08	38.28	38.295	38.27	38.28	1437	EUR	
06/07/2018 09:10	38.275	38.275	38.245	38.245	2464	EUR	
06/07/2018 09:12	38.295	38.365	38.295	38.36	2898	EUR	
06/07/2018 09:14	38.35	38.38	38.345	38.38	3251	EUR	
06/07/2018 09:16	38.41	38.41	38.385	38.385	920	EUR	
06/07/2018 09:18	38.385	38.42	38.385	38.42	1168	EUR	
06/07/2018 09:20	38.39	38.39	38.375	38.38	696	EUR	
06/07/2018 09:22	38.34	38.37	38.335	38.37	3122	EUR	
06/07/2018 09:24	38.36	38.38	38.315	38.325	5569	EUR	
06/07/2018 09:26	38.33	38.38	38.33	38.36	4190	EUR	
06/07/2018 09:28	38.37	38.37	38.33	38.345	1524	EUR	
06/07/2018 09:30	38.335	38.36	38.335	38.36	1684	EUR	
06/07/2018 09:32	38.35	38.35	38.335	38.34	1174	EUR	
06/07/2018 09:34	38.31	38.31	38.27	38.27	8488	EUR	
06/07/2018 09:36	38.28	38.285	38.27	38.275	2202	EUR	
06/07/2018 09:38	38.28	38.295	38.27	38.275	2601	EUR	
06/07/2018 09:40	38.28	38.29	38.25	38.25	1056	EUR	
06/07/2018 09:42	38.2	38.215	38.195	38.205	3774	EUR	
06/07/2018 09:44	38.21	38.225	38.2	38.22	2530	EUR	
06/07/2018 09:46	38.205	38.205	38.185	38.2	5140	EUR	
06/07/2018 09:48	38.18	38.205	38.18	38.195	1034	EUR	
06/07/2018 09:50	38.205	38.28	38.205	38.255	3905	EUR	
06/07/2018 09:52	38.22	38.23	38.22	38.22	784	EUR	
06/07/2018 09:54	38.18	38.195	38.18	38.195	815	EUR	
06/07/2018 09:56	38.14	38.15	38.14	38.15	1106	EUR	
06/07/2018 09:58	38.16	38.165	38.12	38.12	3054	EUR	
06/07/2018 10:00	38.13	38.14	38.12	38.13	689	EUR	
06/07/2018 10:02	38.16	38.16	38.15	38.15	171	EUR	
06/07/2018 10:04	38.165	38.195	38.165	38.175	1333	EUR	
06/07/2018 10:06	38.175	38.175	38.165	38.165	517	EUR	
