date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	53.76	53.85	53.67	53.67	28704	EUR	
06/07/2018 09:02	53.71	53.79	53.71	53.77	4269	EUR	
06/07/2018 09:04	53.78	53.81	53.75	53.76	9735	EUR	
06/07/2018 09:06	53.75	53.83	53.75	53.79	5200	EUR	
06/07/2018 09:08	53.73	53.76	53.73	53.76	6981	EUR	
06/07/2018 09:10	53.74	53.76	53.72	53.72	21784	EUR	
06/07/2018 09:12	53.71	53.73	53.71	53.72	5688	EUR	
06/07/2018 09:14	53.72	53.76	53.72	53.74	4107	EUR	
06/07/2018 09:16	53.74	53.74	53.74	53.74	1575	EUR	
06/07/2018 09:18	53.76	53.76	53.74	53.76	9058	EUR	
06/07/2018 09:20	53.71	53.72	53.68	53.68	3271	EUR	
06/07/2018 09:22	53.68	53.7	53.68	53.69	1489	EUR	
06/07/2018 09:24	53.69	53.69	53.65	53.65	5181	EUR	
06/07/2018 09:26	53.64	53.67	53.64	53.66	2644	EUR	
06/07/2018 09:28	53.72	53.72	53.71	53.72	1284	EUR	
06/07/2018 09:30	53.74	53.74	53.72	53.72	1456	EUR	
06/07/2018 09:32	53.7	53.71	53.7	53.7	2279	EUR	
06/07/2018 09:34	53.65	53.66	53.64	53.66	1453	EUR	
06/07/2018 09:36	53.66	53.67	53.66	53.67	1011	EUR	
06/07/2018 09:38	53.69	53.74	53.69	53.73	6141	EUR	
06/07/2018 09:40	53.71	53.71	53.67	53.67	1493	EUR	
06/07/2018 09:42	53.66	53.66	53.62	53.64	3934	EUR	
06/07/2018 09:44	53.63	53.66	53.63	53.66	5895	EUR	
06/07/2018 09:46	53.68	53.68	53.67	53.68	3955	EUR	
06/07/2018 09:48	53.67	53.68	53.66	53.68	2908	EUR	
06/07/2018 09:50	53.69	53.73	53.69	53.71	9009	EUR	
06/07/2018 09:52	53.7	53.71	53.7	53.7	1383	EUR	
06/07/2018 09:54	53.66	53.66	53.64	53.64	190	EUR	
06/07/2018 09:56	53.63	53.63	53.61	53.62	4055	EUR	
06/07/2018 09:58	53.59	53.61	53.59	53.61	2753	EUR	
06/07/2018 10:00	53.59	53.59	53.58	53.59	2450	EUR	
06/07/2018 10:02	53.56	53.56	53.54	53.54	895	EUR	
06/07/2018 10:04	53.56	53.57	53.56	53.56	290	EUR	
06/07/2018 10:06	53.53	53.53	53.48	53.49	2089	EUR	
06/07/2018 10:08	53.44	53.45	53.44	53.45	2692	EUR	
06/07/2018 10:10	53.5	53.53	53.5	53.53	907	EUR	
06/07/2018 10:12	53.5	53.52	53.5	53.52	3046	EUR	
06/07/2018 10:14	53.51	53.51	53.45	53.45	1616	EUR	
06/07/2018 10:16	53.46	53.48	53.45	53.46	1991	EUR	
06/07/2018 10:18	53.48	53.5	53.45	53.48	3594	EUR	
06/07/2018 10:20	53.48	53.49	53.47	53.47	1351	EUR	
06/07/2018 10:22	53.48	53.49	53.48	53.48	3452	EUR	
06/07/2018 10:24	53.51	53.53	53.51	53.53	2933	EUR	
06/07/2018 10:26	53.54	53.54	53.53	53.53	2605	EUR	
06/07/2018 10:28	53.54	53.55	53.54	53.55	317	EUR	
06/07/2018 10:30	53.55	53.55	53.54	53.54	343	EUR	
06/07/2018 10:32	53.53	53.53	53.51	53.51	1124	EUR	
06/07/2018 10:34	53.52	53.53	53.52	53.53	1234	EUR	
06/07/2018 10:36	53.52	53.52	53.52	53.52	455	EUR	
06/07/2018 10:38	53.51	53.51	53.49	53.5	1421	EUR	
06/07/2018 10:40	53.51	53.53	53.51	53.53	2418	EUR	
06/07/2018 10:42	53.53	53.53	53.51	53.52	2360	EUR	
06/07/2018 10:44	53.52	53.52	53.51	53.52	3417	EUR	
06/07/2018 10:46	53.53	53.53	53.52	53.52	4542	EUR	
