date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	122.6	122.6	122.49	122.49	700	USD	
06/07/2018 15:32	122.11	122.11	121.97	121.97	200	USD	
06/07/2018 15:34	122.04	122.122	122.04	122.122	412	USD	
06/07/2018 15:36	122.42	122.42	122.42	122.42	200	USD	
06/07/2018 15:38	122.47	122.47	122.462	122.462	310	USD	
06/07/2018 15:40	122.47	122.47	122.462	122.462	310	USD	
06/07/2018 15:42	122.62	122.62	122.62	122.62	200	USD	
06/07/2018 15:44	122.54	122.54	122.49	122.49	200	USD	
06/07/2018 15:46	122.35	122.405	122.35	122.39	1800	USD	
06/07/2018 15:48	122.17	122.18	122.02	122.1	1550	USD	
06/07/2018 15:50	121.99	122.02	121.94	121.94	800	USD	
06/07/2018 15:52	121.9	121.92	121.9	121.92	200	USD	
06/07/2018 15:54	122.1	122.17	122.1	122.17	400	USD	
06/07/2018 15:56	122.13	122.17	122.095	122.13	1100	USD	
06/07/2018 15:58	122.08	122.15	122.08	122.15	954	USD	
06/07/2018 16:00	122.32	122.38	122.32	122.38	950	USD	
06/07/2018 16:02	122.31	122.37	122.31	122.35	300	USD	
06/07/2018 16:04	122.287	122.287	122.287	122.287	657	USD	
06/07/2018 16:06	122.295	122.31	122.295	122.31	200	USD	
06/07/2018 16:08	122.43	122.58	122.43	122.58	900	USD	
06/07/2018 16:10	122.59	122.59	122.51	122.51	300	USD	
06/07/2018 16:12	122.56	122.56	122.55	122.55	400	USD	
06/07/2018 16:14	122.5	122.53	122.48	122.48	500	USD	
06/07/2018 16:16	122.634	122.68	122.61	122.68	661	USD	
06/07/2018 16:18	122.835	122.835	122.79	122.79	600	USD	
06/07/2018 16:20	122.69	122.69	122.55	122.55	931	USD	
06/07/2018 16:22	122.69	122.69	122.62	122.62	800	USD	
06/07/2018 16:24	122.63	122.69	122.59	122.69	700	USD	
06/07/2018 16:26	122.68	122.84	122.68	122.84	500	USD	
06/07/2018 16:28	122.77	122.85	122.77	122.85	700	USD	
06/07/2018 16:30	122.8	122.88	122.8	122.88	200	USD	
06/07/2018 16:32	122.87	122.87	122.82	122.86	968	USD	
06/07/2018 16:34	122.92	122.94	122.91	122.94	921	USD	
06/07/2018 16:36	122.94	122.94	122.94	122.94	100	USD	
06/07/2018 16:38	122.88	122.93	122.88	122.93	200	USD	
06/07/2018 16:40	122.95	122.95	122.95	122.95	100	USD	
06/07/2018 16:42	123.07	123.07	123.06	123.06	300	USD	
06/07/2018 16:44	123.11	123.14	123.06	123.06	1000	USD	
06/07/2018 16:46	123.06	123.08	123.01	123.03	900	USD	
06/07/2018 16:48	123.02	123.04	123.02	123.03	300	USD	
06/07/2018 16:50	123.09	123.09	123.06	123.06	393	USD	
06/07/2018 16:52	123.08	123.13	123.08	123.13	500	USD	
06/07/2018 16:54	123.16	123.16	123.16	123.16	217	USD	
06/07/2018 16:56	123.16	123.16	123.11	123.13	1100	USD	
06/07/2018 16:58	123.13	123.15	123.12	123.12	700	USD	
06/07/2018 17:00	123.01	123.02	123.01	123.02	300	USD	
06/07/2018 17:02	123.07	123.07	123.06	123.06	400	USD	
06/07/2018 17:04	123.06	123.08	123.02	123.04	919	USD	
06/07/2018 17:06	123.12	123.176	123.12	123.176	350	USD	
06/07/2018 17:08	123.29	123.35	123.29	123.32	800	USD	
06/07/2018 17:10	123.39	123.39	123.34	123.34	300	USD	
06/07/2018 17:12	123.32	123.33	123.32	123.33	200	USD	
06/07/2018 17:14	123.37	123.37	123.37	123.37	105	USD	
06/07/2018 17:16	123.34	123.34	123.34	123.34	300	USD	
06/07/2018 17:18	123.33	123.35	123.33	123.35	200	USD	
06/07/2018 17:20	123.41	123.44	123.41	123.44	200	USD	
06/07/2018 17:22	123.4	123.4	123.39	123.4	402	USD	
06/07/2018 17:24	123.465	123.54	123.465	123.54	1331	USD	
06/07/2018 17:26	123.56	123.575	123.54	123.545	794	USD	
06/07/2018 17:28	123.56	123.56	123.537	123.54	300	USD	
06/07/2018 17:30	123.54	123.58	123.54	123.58	200	USD	
06/07/2018 17:32	123.565	123.575	123.565	123.575	700	USD	
06/07/2018 17:34	123.61	123.61	123.61	123.61	400	USD	
06/07/2018 17:36	123.61	123.62	123.58	123.6	1200	USD	
06/07/2018 17:38	123.61	123.61	123.58	123.6	600	USD	
06/07/2018 17:40	123.71	123.75	123.7	123.7	900	USD	
06/07/2018 17:42	123.75	123.77	123.71	123.71	1952	USD	
06/07/2018 17:44	123.64	123.64	123.64	123.64	300	USD	
06/07/2018 17:46	123.64	123.66	123.64	123.65	516	USD	
06/07/2018 17:48	123.7	123.71	123.62	123.63	1404	USD	
06/07/2018 17:50	123.48	123.54	123.48	123.51	700	USD	
06/07/2018 17:52	123.51	123.57	123.51	123.57	1004	USD	
06/07/2018 17:54	123.65	123.66	123.6	123.6	500	USD	
06/07/2018 17:56	123.69	123.695	123.67	123.67	600	USD	
06/07/2018 17:58	123.68	123.7	123.68	123.7	300	USD	
06/07/2018 18:00	123.695	123.76	123.695	123.76	762	USD	
06/07/2018 18:02	123.785	123.8	123.77	123.77	632	USD	
06/07/2018 18:04	123.72	123.76	123.72	123.76	700	USD	
06/07/2018 18:06	123.66	123.66	123.66	123.66	100	USD	
06/07/2018 18:08	123.72	123.725	123.67	123.67	2146	USD	
06/07/2018 18:10	123.66	123.72	123.66	123.72	400	USD	
06/07/2018 18:12	123.7	123.71	123.7	123.7	300	USD	
06/07/2018 18:14	123.66	123.702	123.66	123.67	1000	USD	
06/07/2018 18:16	123.6	123.6	123.55	123.57	328	USD	
06/07/2018 18:18	123.53	123.57	123.53	123.57	200	USD	
06/07/2018 18:20	123.58	123.6	123.53	123.57	1400	USD	
06/07/2018 18:22	123.59	123.63	123.59	123.63	200	USD	
06/07/2018 18:24	123.66	123.66	123.66	123.66	300	USD	
06/07/2018 18:26	123.66	123.69	123.66	123.69	200	USD	
06/07/2018 18:28	123.67	123.69	123.67	123.69	500	USD	
06/07/2018 18:30	123.63	123.63	123.55	123.56	1000	USD	
06/07/2018 18:32	123.65	123.65	123.57	123.57	500	USD	
06/07/2018 18:34	123.565	123.57	123.53	123.54	500	USD	
06/07/2018 18:36	123.49	123.51	123.49	123.51	310	USD	
06/07/2018 18:38	123.55	123.571	123.55	123.571	3484	USD	
06/07/2018 18:40	123.55	123.56	123.51	123.53	500	USD	
06/07/2018 18:42	123.48	123.51	123.48	123.49	961	USD	
06/07/2018 18:44	123.46	123.46	123.46	123.46	200	USD	
06/07/2018 18:46	123.46	123.47	123.46	123.47	300	USD	
06/07/2018 18:48	123.4	123.4	123.39	123.39	400	USD	
06/07/2018 18:50	123.41	123.42	123.41	123.42	300	USD	
06/07/2018 18:52	123.42	123.42	123.39	123.39	400	USD	
06/07/2018 18:54	123.36	123.36	123.36	123.36	200	USD	
06/07/2018 18:56	123.42	123.42	123.42	123.42	100	USD	
06/07/2018 18:58	123.46	123.47	123.46	123.46	600	USD	
06/07/2018 19:00	123.489	123.489	123.489	123.489	100	USD	
06/07/2018 19:02	123.51	123.52	123.51	123.52	300	USD	
06/07/2018 19:04	123.59	123.59	123.59	123.59	391	USD	
06/07/2018 19:06	123.6	123.635	123.6	123.61	1198	USD	
06/07/2018 19:08	123.59	123.59	123.55	123.58	400	USD	
06/07/2018 19:10	123.6	123.6	123.58	123.58	500	USD	
06/07/2018 19:12	123.61	123.61	123.56	123.56	400	USD	
06/07/2018 19:14	123.57	123.61	123.57	123.57	700	USD	
06/07/2018 19:16	123.64	123.64	123.64	123.64	100	USD	
06/07/2018 19:18	123.61	123.61	123.61	123.61	100	USD	
06/07/2018 19:20	123.67	123.69	123.64	123.69	731	USD	
06/07/2018 19:22	123.62	123.62	123.57	123.6	700	USD	
06/07/2018 19:24	123.57	123.57	123.56	123.56	400	USD	
06/07/2018 19:26	123.56	123.58	123.56	123.56	800	USD	
06/07/2018 19:28	123.53	123.53	123.53	123.53	300	USD	
06/07/2018 19:30	123.56	123.56	123.56	123.56	100	USD	
06/07/2018 19:32	123.58	123.58	123.58	123.58	300	USD	
06/07/2018 19:34	123.56	123.57	123.53	123.53	700	USD	
06/07/2018 19:36	123.55	123.55	123.55	123.55	200	USD	
06/07/2018 19:38	123.56	123.56	123.56	123.56	100	USD	
06/07/2018 19:40	123.57	123.57	123.52	123.54	400	USD	
06/07/2018 19:42	123.405	123.405	123.405	123.405	100	USD	
06/07/2018 19:44	123.42	123.42	123.41	123.41	200	USD	
06/07/2018 19:46	123.43	123.45	123.43	123.43	500	USD	
06/07/2018 19:48	123.42	123.42	123.42	123.42	100	USD	
06/07/2018 19:50	123.36	123.36	123.35	123.36	400	USD	
06/07/2018 19:52	123.39	123.43	123.39	123.43	300	USD	
06/07/2018 19:54	123.43	123.43	123.41	123.41	1066	USD	
06/07/2018 19:56	123.36	123.38	123.36	123.38	300	USD	
06/07/2018 19:58	123.33	123.33	123.33	123.33	100	USD	
06/07/2018 20:00	123.32	123.32	123.294	123.32	400	USD	
06/07/2018 20:02	123.39	123.39	123.34	123.34	702	USD	
06/07/2018 20:04	123.35	123.35	123.348	123.348	399	USD	
06/07/2018 20:06	123.33	123.34	123.33	123.34	400	USD	
06/07/2018 20:08	123.33	123.35	123.32	123.32	400	USD	
06/07/2018 20:10	123.28	123.35	123.28	123.31	400	USD	
06/07/2018 20:12	123.22	123.22	123.22	123.22	200	USD	
06/07/2018 20:14	123.2	123.2	123.165	123.2	1123	USD	
06/07/2018 20:16	123.173	123.173	123.15	123.15	537	USD	
06/07/2018 20:18	123.15	123.21	123.15	123.18	1389	USD	
06/07/2018 20:20	123.23	123.26	123.23	123.26	207	USD	
06/07/2018 20:22	123.26	123.27	123.25	123.25	500	USD	
