date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	251.13	251.55	250.77	250.785	2266	USD	
06/07/2018 15:32	251.4	251.4	250.684	250.684	2316	USD	
06/07/2018 15:34	250.71	250.96	250.62	250.62	3300	USD	
06/07/2018 15:36	250.57	251.1	250.31	250.83	7416	USD	
06/07/2018 15:38	251.06	251.06	251.02	251.02	300	USD	
06/07/2018 15:40	251.06	251.115	250.85	251.115	1635	USD	
06/07/2018 15:42	250.77	250.9	250.77	250.88	1340	USD	
06/07/2018 15:44	250.958	251	250.63	250.63	2500	USD	
06/07/2018 15:46	250.28	250.36	250.21	250.36	1471	USD	
06/07/2018 15:48	250.14	250.15	249.99	250.15	400	USD	
06/07/2018 15:50	250.03	250.03	249.96	249.96	200	USD	
06/07/2018 15:52	250.22	250.24	250.22	250.23	300	USD	
06/07/2018 15:54	250.225	250.225	250.225	250.225	2900	USD	
06/07/2018 15:56	250.18	250.26	250.18	250.26	300	USD	
06/07/2018 15:58	250.22	250.253	250.21	250.253	518	USD	
06/07/2018 16:00	250.2	250.23	250.198	250.198	1500	USD	
06/07/2018 16:02	250.2	250.28	250.2	250.28	200	USD	
06/07/2018 16:04	250.3	250.3	250.25	250.25	332	USD	
06/07/2018 16:06	250.09	250.09	249.92	249.97	400	USD	
06/07/2018 16:08	250.025	250.24	250.02	250.167	1600	USD	
06/07/2018 16:10	250.14	250.238	250.14	250.238	1524	USD	
06/07/2018 16:12	250.29	250.29	250.23	250.23	300	USD	
06/07/2018 16:14	250.05	250.12	250.031	250.031	509	USD	
06/07/2018 16:16	250.02	250.08	250.01	250.08	1303	USD	
06/07/2018 16:18	249.96	249.96	249.9	249.9	200	USD	
06/07/2018 16:20	249.87	249.88	249.784	249.784	754	USD	
06/07/2018 16:22	249.53	249.66	249.48	249.63	1600	USD	
06/07/2018 16:24	249.68	249.68	249.68	249.68	120	USD	
06/07/2018 16:26	249.87	249.98	249.84	249.84	1000	USD	
06/07/2018 16:28	249.852	250.03	249.852	250.03	6298	USD	
06/07/2018 16:30	249.87	249.9	249.87	249.9	700	USD	
06/07/2018 16:32	249.716	249.77	249.716	249.77	300	USD	
06/07/2018 16:34	249.75	249.885	249.729	249.87	1330	USD	
06/07/2018 16:36	249.87	249.915	249.87	249.885	700	USD	
06/07/2018 16:38	250.37	250.37	250.33	250.33	200	USD	
06/07/2018 16:40	250.42	250.69	250.37	250.69	1528	USD	
06/07/2018 16:42	250.63	250.69	250.6	250.66	1000	USD	
06/07/2018 16:44	250.46	250.495	250.46	250.47	300	USD	
06/07/2018 16:46	250.49	250.495	250.49	250.495	200	USD	
06/07/2018 16:48	250.59	250.68	250.55	250.68	1734	USD	
06/07/2018 16:50	250.65	250.66	250.575	250.63	1100	USD	
06/07/2018 16:52	250.73	250.73	250.73	250.73	200	USD	
06/07/2018 16:54	250.76	250.87	250.72	250.81	2400	USD	
06/07/2018 16:56	250.7	250.75	250.68	250.75	1000	USD	
06/07/2018 16:58	250.64	250.64	250.62	250.62	200	USD	
06/07/2018 17:00	250.48	250.575	250.48	250.53	1600	USD	
06/07/2018 17:02	250.46	250.48	250.4	250.48	1200	USD	
06/07/2018 17:04	250.43	250.59	250.43	250.52	1000	USD	
06/07/2018 17:06	250.55	250.6	250.55	250.6	200	USD	
06/07/2018 17:08	250.75	250.83	250.75	250.83	1407	USD	
06/07/2018 17:10	250.91	250.93	250.87	250.93	2561	USD	
06/07/2018 17:12	250.9	251.09	250.9	251.07	1450	USD	
06/07/2018 17:14	251.07	251.08	251.025	251.08	1000	USD	
06/07/2018 17:16	250.975	250.975	250.85	250.85	700	USD	
06/07/2018 17:18	250.84	250.93	250.83	250.93	1000	USD	
06/07/2018 17:20	251.07	251.085	250.99	250.99	400	USD	
06/07/2018 17:22	251.09	251.2	251.09	251.2	400	USD	
06/07/2018 17:24	251.195	251.23	251.181	251.205	733	USD	
06/07/2018 17:26	251.22	251.36	251.22	251.36	600	USD	
06/07/2018 17:28	251.36	251.36	251.28	251.28	1000	USD	
06/07/2018 17:30	251.3	251.35	251.28	251.283	1400	USD	
06/07/2018 17:32	251.22	251.26	251.21	251.245	800	USD	
06/07/2018 17:34	251.34	251.42	251.34	251.42	300	USD	
06/07/2018 17:36	251.32	251.32	251.175	251.27	1409	USD	
06/07/2018 17:38	251.15	251.22	251.15	251.15	2158	USD	
06/07/2018 17:40	251.36	251.39	251.315	251.315	900	USD	
06/07/2018 17:42	251.31	251.425	251.31	251.37	1880	USD	
06/07/2018 17:44	251.385	251.48	251.38	251.48	500	USD	
06/07/2018 17:46	251.45	251.5	251.38	251.38	13132	USD	
06/07/2018 17:48	251.42	251.49	251.39	251.39	1200	USD	
06/07/2018 17:50	251.34	251.38	251.26	251.35	915	USD	
06/07/2018 17:52	251.22	251.22	251.2	251.2	200	USD	
06/07/2018 17:54	251.42	251.45	251.32	251.32	1300	USD	
06/07/2018 17:56	251.415	251.438	251.39	251.43	800	USD	
06/07/2018 17:58	251.36	251.41	251.36	251.41	600	USD	
06/07/2018 18:00	251.32	251.32	251.206	251.275	1431	USD	
06/07/2018 18:02	251.315	251.4	251.315	251.34	1800	USD	
06/07/2018 18:04	251.25	251.28	251.16	251.16	2600	USD	
06/07/2018 18:06	251.25	251.349	251.25	251.349	550	USD	
06/07/2018 18:08	251.34	251.34	251.29	251.319	2060	USD	
06/07/2018 18:10	251.38	251.48	251.38	251.48	3652	USD	
06/07/2018 18:12	251.365	251.365	251.36	251.36	200	USD	
06/07/2018 18:14	251.255	251.36	251.255	251.31	1799	USD	
06/07/2018 18:16	251.215	251.24	251.11	251.21	1000	USD	
06/07/2018 18:18	251.355	251.424	251.35	251.424	451	USD	
06/07/2018 18:20	251.375	251.41	251.3	251.31	2000	USD	
06/07/2018 18:22	251.365	251.39	251.36	251.39	3600	USD	
06/07/2018 18:24	251.5	251.57	251.5	251.57	553	USD	
06/07/2018 18:26	251.675	251.71	251.64	251.64	899	USD	
06/07/2018 18:28	251.59	251.73	251.59	251.71	400	USD	
06/07/2018 18:30	251.61	251.62	251.48	251.48	1475	USD	
06/07/2018 18:32	251.41	251.5	251.36	251.36	1000	USD	
06/07/2018 18:34	251.325	251.34	251.274	251.274	506	USD	
06/07/2018 18:36	251.36	251.36	251.36	251.36	100	USD	
06/07/2018 18:38	251.39	251.39	251.35	251.35	410	USD	
06/07/2018 18:40	251.4	251.4	251.36	251.36	300	USD	
06/07/2018 18:42	251.34	251.36	251.32	251.36	330	USD	
06/07/2018 18:44	251.25	251.25	251.25	251.25	100	USD	
06/07/2018 18:46	251.07	251.07	251.07	251.07	100	USD	
06/07/2018 18:48	251.019	251.06	250.94	250.95	1789	USD	
06/07/2018 18:50	250.97	250.97	250.97	250.97	100	USD	
06/07/2018 18:52	250.96	250.978	250.96	250.978	500	USD	
06/07/2018 18:54	250.91	250.98	250.9	250.98	900	USD	
06/07/2018 18:56	251.05	251.05	251.04	251.04	200	USD	
06/07/2018 18:58	251.03	251.09	251.03	251.09	400	USD	
06/07/2018 19:00	251.09	251.16	251.09	251.16	200	USD	
06/07/2018 19:02	251.22	251.245	251.22	251.23	650	USD	
06/07/2018 19:04	251.25	251.33	251.25	251.33	280	USD	
06/07/2018 19:06	251.28	251.33	251.28	251.33	800	USD	
06/07/2018 19:08	251.3	251.3	251.26	251.276	350	USD	
06/07/2018 19:10	251.26	251.36	251.26	251.33	901	USD	
06/07/2018 19:12	251.35	251.35	251.27	251.27	840	USD	
06/07/2018 19:14	251.35	251.35	251.28	251.28	300	USD	
06/07/2018 19:16	251.35	251.39	251.35	251.39	400	USD	
06/07/2018 19:18	251.33	251.33	251.28	251.28	300	USD	
06/07/2018 19:20	251.41	251.41	251.35	251.35	307	USD	
06/07/2018 19:22	251.412	251.45	251.31	251.31	1429	USD	
06/07/2018 19:24	251.31	251.31	251.26	251.26	200	USD	
06/07/2018 19:26	251.428	251.428	251.4	251.4	1600	USD	
06/07/2018 19:28	251.42	251.433	251.42	251.433	200	USD	
06/07/2018 19:30	251.39	251.41	251.39	251.41	300	USD	
06/07/2018 19:32	251.455	251.51	251.455	251.51	200	USD	
06/07/2018 19:34	251.433	251.493	251.433	251.493	1950	USD	
06/07/2018 19:36	251.48	251.566	251.47	251.53	780	USD	
06/07/2018 19:38	251.47	251.47	251.47	251.47	100	USD	
06/07/2018 19:40	251.53	251.573	251.53	251.573	468	USD	
06/07/2018 19:42	251.37	251.37	251.37	251.37	100	USD	
06/07/2018 19:44	251.332	251.332	251.332	251.332	100	USD	
06/07/2018 19:46	251.41	251.41	251.41	251.41	100	USD	
06/07/2018 19:48	251.44	251.465	251.44	251.465	710	USD	
06/07/2018 19:50	251.4	251.4	251.398	251.398	200	USD	
06/07/2018 19:52	251.46	251.51	251.46	251.51	300	USD	
06/07/2018 19:54	251.55	251.56	251.54	251.55	1305	USD	
06/07/2018 19:56	251.49	251.49	251.49	251.49	100	USD	
06/07/2018 19:58	251.65	251.65	251.63	251.63	200	USD	
06/07/2018 20:00	251.48	251.5	251.48	251.48	600	USD	
06/07/2018 20:02	251.38	251.38	251.38	251.38	100	USD	
