date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	124.85	124.9	124.85	124.9	200	USD	
06/07/2018 15:32	124.46	124.537	124.26	124.26	1644	USD	
06/07/2018 15:34	124.47	124.62	124.47	124.49	3200	USD	
06/07/2018 15:36	124.64	124.68	124.6	124.615	745	USD	
06/07/2018 15:38	124.62	124.7	124.55	124.69	3488	USD	
06/07/2018 15:40	124.53	124.571	124.46	124.56	101990	USD	
06/07/2018 15:42	124.608	124.64	124.56	124.602	7708	USD	
06/07/2018 15:44	124.65	124.67	124.61	124.61	4300	USD	
06/07/2018 15:46	124.55	124.61	124.48	124.53	1750	USD	
06/07/2018 15:48	124.443	124.443	124.3	124.3	320	USD	
06/07/2018 15:50	124.16	124.21	124.13	124.16	700	USD	
06/07/2018 15:52	124.251	124.35	124.23	124.27	4230	USD	
06/07/2018 15:54	124.19	124.32	124.19	124.32	1405	USD	
06/07/2018 15:56	124.46	124.51	124.41	124.51	4773	USD	
06/07/2018 15:58	124.48	124.52	124.42	124.42	1900	USD	
06/07/2018 16:00	124.47	124.52	124.47	124.51	4800	USD	
06/07/2018 16:02	124.61	124.61	124.477	124.477	3963	USD	
06/07/2018 16:04	124.49	124.5	124.438	124.5	2309	USD	
06/07/2018 16:06	124.49	124.51	124.49	124.51	1268	USD	
06/07/2018 16:08	124.53	124.55	124.51	124.51	1125	USD	
06/07/2018 16:10	124.5	124.5	124.34	124.36	800	USD	
06/07/2018 16:12	124.4	124.4	124.31	124.33	1600	USD	
06/07/2018 16:14	124.27	124.29	124.22	124.23	700	USD	
06/07/2018 16:16	124.36	124.4	124.36	124.4	934	USD	
06/07/2018 16:18	124.285	124.336	124.285	124.336	1395	USD	
06/07/2018 16:20	124.34	124.35	124.23	124.23	600	USD	
06/07/2018 16:22	124.27	124.27	124.2	124.2	600	USD	
06/07/2018 16:24	124.23	124.25	124.23	124.25	1400	USD	
06/07/2018 16:26	124.27	124.34	124.27	124.33	1400	USD	
06/07/2018 16:28	124.38	124.58	124.38	124.53	2577	USD	
06/07/2018 16:30	124.55	124.56	124.5	124.56	300	USD	
06/07/2018 16:32	124.44	124.44	124.415	124.43	800	USD	
06/07/2018 16:34	124.48	124.5	124.43	124.45	6055	USD	
06/07/2018 16:36	124.51	124.59	124.51	124.59	600	USD	
06/07/2018 16:38	124.6	124.66	124.6	124.63	2800	USD	
06/07/2018 16:40	124.54	124.61	124.525	124.61	2635	USD	
06/07/2018 16:42	124.811	124.89	124.805	124.83	1500	USD	
06/07/2018 16:44	124.87	124.87	124.86	124.87	500	USD	
06/07/2018 16:46	124.9	124.92	124.875	124.88	700	USD	
06/07/2018 16:48	124.85	124.95	124.85	124.95	3443	USD	
06/07/2018 16:50	124.89	124.9	124.845	124.845	575	USD	
06/07/2018 16:52	124.82	124.82	124.74	124.78	1000	USD	
06/07/2018 16:54	124.82	124.84	124.82	124.83	1958	USD	
06/07/2018 16:56	124.75	124.81	124.72	124.75	1872	USD	
06/07/2018 16:58	124.918	124.918	124.84	124.84	700	USD	
06/07/2018 17:00	124.79	124.82	124.79	124.82	1800	USD	
06/07/2018 17:02	124.89	124.91	124.89	124.91	1085	USD	
06/07/2018 17:04	124.82	124.91	124.82	124.91	600	USD	
06/07/2018 17:06	124.94	124.94	124.89	124.905	500	USD	
06/07/2018 17:08	125.04	125.14	125.03	125.14	2447	USD	
06/07/2018 17:10	125.21	125.24	125.21	125.23	300	USD	
06/07/2018 17:12	125.21	125.234	125.21	125.234	1033	USD	
06/07/2018 17:14	125.22	125.235	125.2	125.21	900	USD	
06/07/2018 17:16	125.21	125.22	125.15	125.15	1600	USD	
06/07/2018 17:18	125.14	125.16	125.14	125.14	1200	USD	
06/07/2018 17:20	125.219	125.25	125.219	125.25	1600	USD	
06/07/2018 17:22	125.24	125.26	125.21	125.21	1200	USD	
06/07/2018 17:24	125.19	125.21	125.16	125.16	2801	USD	
06/07/2018 17:26	125.13	125.19	125.13	125.19	1950	USD	
06/07/2018 17:28	125.25	125.29	125.22	125.29	800	USD	
06/07/2018 17:30	125.26	125.3	125.26	125.287	400	USD	
06/07/2018 17:32	125.27	125.3	125.26	125.26	500	USD	
06/07/2018 17:34	125.29	125.31	125.29	125.29	500	USD	
06/07/2018 17:36	125.34	125.38	125.33	125.38	1045	USD	
06/07/2018 17:38	125.39	125.42	125.362	125.41	1425	USD	
06/07/2018 17:40	125.57	125.61	125.54	125.54	1729	USD	
06/07/2018 17:42	125.58	125.58	125.56	125.58	1761	USD	
06/07/2018 17:44	125.51	125.6	125.49	125.6	1363	USD	
06/07/2018 17:46	125.57	125.61	125.57	125.58	1400	USD	
06/07/2018 17:48	125.58	125.61	125.55	125.55	2084	USD	
06/07/2018 17:50	125.51	125.51	125.42	125.42	1400	USD	
06/07/2018 17:52	125.38	125.4	125.36	125.37	1404	USD	
06/07/2018 17:54	125.41	125.41	125.38	125.39	1766	USD	
06/07/2018 17:56	125.438	125.44	125.417	125.44	1020	USD	
06/07/2018 17:58	125.43	125.452	125.41	125.43	1500	USD	
06/07/2018 18:00	125.45	125.505	125.45	125.505	4506	USD	
06/07/2018 18:02	125.5	125.53	125.45	125.53	4380	USD	
06/07/2018 18:04	125.48	125.52	125.47	125.52	403	USD	
06/07/2018 18:06	125.46	125.54	125.46	125.525	1480	USD	
06/07/2018 18:08	125.54	125.56	125.54	125.55	400	USD	
