date	ouv	haut	bas	clot	vol	devise	
06/07/2018 09:00	18.845	18.9	18.845	18.88	6067	EUR	
06/07/2018 09:02	18.905	18.97	18.89	18.97	16958	EUR	
06/07/2018 09:04	19.02	19.065	19.02	19.055	3445	EUR	
06/07/2018 09:06	19.01	19.035	19.005	19.015	8175	EUR	
06/07/2018 09:08	18.975	18.98	18.97	18.975	1401	EUR	
06/07/2018 09:10	19.02	19.025	19.005	19.02	3614	EUR	
06/07/2018 09:12	19	19	19	19	369	EUR	
06/07/2018 09:14	19.03	19.04	19.025	19.04	291	EUR	
06/07/2018 09:16	19.045	19.05	19.04	19.05	690	EUR	
06/07/2018 09:18	19.035	19.055	19.035	19.05	897	EUR	
06/07/2018 09:20	19.045	19.05	19.03	19.03	2812	EUR	
06/07/2018 09:22	19.045	19.06	19.045	19.055	2410	EUR	
06/07/2018 09:24	19.055	19.065	19.055	19.065	882	EUR	
06/07/2018 09:26	19.065	19.065	19.065	19.065	562	EUR	
06/07/2018 09:28	19.075	19.075	19.07	19.075	2840	EUR	
06/07/2018 09:30	19.085	19.09	19.085	19.09	435	EUR	
06/07/2018 09:32	19.1	19.1	19.095	19.095	1768	EUR	
06/07/2018 09:34	19.095	19.095	19.09	19.09	592	EUR	
06/07/2018 09:36	19.095	19.105	19.095	19.105	1160	EUR	
06/07/2018 09:38	19.115	19.135	19.11	19.13	4704	EUR	
06/07/2018 09:40	19.12	19.135	19.12	19.135	2840	EUR	
06/07/2018 09:42	19.145	19.145	19.145	19.145	560	EUR	
06/07/2018 09:44	19.155	19.16	19.135	19.135	3038	EUR	
06/07/2018 09:46	19.15	19.15	19.14	19.145	1693	EUR	
06/07/2018 09:48	19.14	19.145	19.14	19.145	2667	EUR	
06/07/2018 09:50	19.15	19.16	19.15	19.16	1361	EUR	
06/07/2018 09:52	19.17	19.195	19.17	19.195	2253	EUR	
06/07/2018 09:54	19.19	19.19	19.185	19.185	1708	EUR	
06/07/2018 09:56	19.165	19.165	19.15	19.15	2033	EUR	
06/07/2018 09:58	19.18	19.185	19.18	19.18	4900	EUR	
06/07/2018 10:00	19.195	19.195	19.195	19.195	2637	EUR	
06/07/2018 10:02	19.205	19.205	19.19	19.195	6508	EUR	
06/07/2018 10:04	19.195	19.195	19.195	19.195	1060	EUR	
06/07/2018 10:06	19.19	19.19	19.185	19.185	963	EUR	
06/07/2018 10:08	19.18	19.185	19.175	19.175	2423	EUR	
06/07/2018 10:10	19.17	19.17	19.165	19.17	2679	EUR	
06/07/2018 10:12	19.185	19.185	19.17	19.17	2163	EUR	
06/07/2018 10:14	19.165	19.195	19.155	19.195	8955	EUR	
06/07/2018 10:16	19.205	19.225	19.205	19.215	9714	EUR	
06/07/2018 10:18	19.205	19.225	19.205	19.215	2314	EUR	
06/07/2018 10:20	19.22	19.22	19.215	19.22	2218	EUR	
06/07/2018 10:22	19.215	19.215	19.21	19.21	2463	EUR	
06/07/2018 10:24	19.215	19.22	19.215	19.215	2314	EUR	
06/07/2018 10:26	19.22	19.22	19.215	19.215	1315	EUR	
06/07/2018 10:28	19.22	19.22	19.215	19.22	2522	EUR	
06/07/2018 10:30	19.22	19.22	19.21	19.21	3477	EUR	
06/07/2018 10:32	19.22	19.22	19.21	19.21	3477	EUR	
06/07/2018 10:34	19.2	19.205	19.2	19.205	1620	EUR	
06/07/2018 10:36	19.185	19.2	19.18	19.2	3649	EUR	
06/07/2018 10:38	19.2	19.2	19.19	19.19	2071	EUR	
06/07/2018 10:40	19.205	19.215	19.205	19.215	740	EUR	
06/07/2018 10:42	19.205	19.205	19.205	19.205	1004	EUR	
06/07/2018 10:44	19.2	19.2	19.185	19.185	1861	EUR	
06/07/2018 10:46	19.185	19.185	19.185	19.185	959	EUR	
06/07/2018 10:48	19.19	19.19	19.175	19.175	994	EUR	
06/07/2018 10:50	19.19	19.19	19.175	19.175	994	EUR	
06/07/2018 10:52	19.18	19.18	19.18	19.18	847	EUR	
06/07/2018 10:54	19.175	19.175	19.165	19.165	1610	EUR	
06/07/2018 10:56	19.17	19.17	19.17	19.17	101	EUR	
06/07/2018 10:58	19.165	19.175	19.165	19.175	794	EUR	
06/07/2018 11:00	19.19	19.19	19.19	19.19	226	EUR	
06/07/2018 11:02	19.2	19.205	19.2	19.205	1143	EUR	
06/07/2018 11:04	19.2	19.2	19.195	19.195	424	EUR	
06/07/2018 11:06	19.2	19.2	19.2	19.2	3161	EUR	
06/07/2018 11:08	19.195	19.195	19.185	19.185	1098	EUR	
06/07/2018 11:10	19.18	19.18	19.18	19.18	600	EUR	
