date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	51.41	51.65	51.41	51.61	65969	USD	
06/07/2018 15:32	51.49	51.53	51.38	51.46	15745	USD	
06/07/2018 15:34	51.591	51.591	51.3	51.3	22394	USD	
06/07/2018 15:36	51.29	51.33	51.24	51.265	5891	USD	
06/07/2018 15:38	51.39	51.39	51.3	51.3	4149	USD	
06/07/2018 15:40	51.36	51.38	51.33	51.35	11832	USD	
06/07/2018 15:42	51.29	51.33	51.285	51.32	4732	USD	
06/07/2018 15:44	51.31	51.325	51.3	51.32	14862	USD	
06/07/2018 15:46	51.425	51.44	51.385	51.407	30855	USD	
06/07/2018 15:48	51.435	51.449	51.4	51.42	22407	USD	
06/07/2018 15:50	51.28	51.295	51.25	51.26	25038	USD	
06/07/2018 15:52	51.265	51.27	51.255	51.267	18991	USD	
06/07/2018 15:54	51.33	51.39	51.33	51.36	12906	USD	
06/07/2018 15:56	51.38	51.39	51.36	51.379	4577	USD	
06/07/2018 15:58	51.365	51.375	51.35	51.35	15147	USD	
06/07/2018 16:00	51.36	51.37	51.35	51.36	9861	USD	
06/07/2018 16:02	51.425	51.425	51.37	51.413	24053	USD	
06/07/2018 16:04	51.41	51.434	51.41	51.43	13549	USD	
06/07/2018 16:06	51.395	51.41	51.385	51.4	17417	USD	
06/07/2018 16:08	51.39	51.43	51.39	51.429	10072	USD	
06/07/2018 16:10	51.435	51.45	51.43	51.45	9035	USD	
06/07/2018 16:12	51.448	51.448	51.41	51.415	8514	USD	
06/07/2018 16:14	51.4	51.41	51.395	51.4	3285	USD	
06/07/2018 16:16	51.425	51.466	51.425	51.46	6882	USD	
06/07/2018 16:18	51.49	51.5	51.45	51.45	7717	USD	
06/07/2018 16:20	51.42	51.437	51.4	51.41	42831	USD	
06/07/2018 16:22	51.395	51.43	51.395	51.41	9906	USD	
06/07/2018 16:24	51.395	51.4	51.355	51.355	13101	USD	
06/07/2018 16:26	51.355	51.37	51.34	51.36	38408	USD	
06/07/2018 16:28	51.385	51.407	51.37	51.385	15084	USD	
06/07/2018 16:30	51.41	51.44	51.41	51.44	2999	USD	
06/07/2018 16:32	51.405	51.417	51.4	51.41	4327	USD	
06/07/2018 16:34	51.41	51.42	51.4	51.405	5187	USD	
06/07/2018 16:36	51.4	51.41	51.39	51.395	9544	USD	
06/07/2018 16:38	51.41	51.455	51.41	51.455	12869	USD	
06/07/2018 16:40	51.44	51.46	51.43	51.435	6570	USD	
06/07/2018 16:42	51.466	51.47	51.435	51.44	2900	USD	
06/07/2018 16:44	51.444	51.45	51.43	51.435	3177	USD	
06/07/2018 16:46	51.41	51.41	51.39	51.39	9921	USD	
06/07/2018 16:48	51.375	51.42	51.375	51.415	9318	USD	
06/07/2018 16:50	51.39	51.41	51.39	51.405	4628	USD	
06/07/2018 16:52	51.43	51.464	51.43	51.453	5578	USD	
06/07/2018 16:54	51.455	51.465	51.45	51.45	6576	USD	
06/07/2018 16:56	51.456	51.46	51.44	51.443	10850	USD	
06/07/2018 16:58	51.465	51.488	51.46	51.47	12960	USD	
06/07/2018 17:00	51.5	51.52	51.5	51.51	9502	USD	
06/07/2018 17:02	51.53	51.54	51.52	51.53	9048	USD	
06/07/2018 17:04	51.525	51.533	51.523	51.53	3389	USD	
06/07/2018 17:06	51.53	51.53	51.51	51.52	9447	USD	
06/07/2018 17:08	51.541	51.59	51.541	51.575	7208	USD	
06/07/2018 17:10	51.585	51.585	51.554	51.565	8377	USD	
06/07/2018 17:12	51.544	51.544	51.53	51.535	2030	USD	
06/07/2018 17:14	51.53	51.56	51.53	51.555	4268	USD	
06/07/2018 17:16	51.575	51.575	51.56	51.566	2641	USD	
