date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	133.58	133.58	93.915	93.915	11003	USD	
06/07/2018 15:32	133.1	133.1	132.95	132.95	9545	USD	
06/07/2018 15:34	132.71	132.75	132.68	132.75	3820	USD	
06/07/2018 15:36	133.11	133.18	133.07	133.17	11212	USD	
06/07/2018 15:38	133.19	133.23	133.14	133.15	1905	USD	
06/07/2018 15:40	133.24	133.26	133.176	133.176	2915	USD	
06/07/2018 15:42	133.25	133.3	133.25	133.3	3230	USD	
06/07/2018 15:44	133.3	133.37	133.3	133.345	7379	USD	
06/07/2018 15:46	133.28	133.29	133.16	133.16	6400	USD	
06/07/2018 15:48	133.3	133.32	133.24	133.29	5768	USD	
06/07/2018 15:50	133.16	133.22	133.15	133.18	6100	USD	
06/07/2018 15:52	133.25	133.35	133.25	133.35	3100	USD	
06/07/2018 15:54	133.22	133.267	133.17	133.18	11249	USD	
06/07/2018 15:56	133.04	133.07	132.96	133.02	2200	USD	
06/07/2018 15:58	132.92	133.03	132.92	132.99	7134	USD	
06/07/2018 16:00	132.93	133.1	132.93	133.05	3872	USD	
06/07/2018 16:02	133.02	133.02	132.93	132.93	2475	USD	
06/07/2018 16:04	132.97	132.998	132.94	132.99	3469	USD	
06/07/2018 16:06	132.92	132.92	132.81	132.85	3281	USD	
06/07/2018 16:08	132.91	132.95	132.855	132.87	3103	USD	
06/07/2018 16:10	132.96	133.07	132.92	132.92	2378	USD	
06/07/2018 16:12	132.93	132.96	132.86	132.94	6138	USD	
06/07/2018 16:14	132.88	132.88	132.76	132.77	2900	USD	
06/07/2018 16:16	132.76	132.82	132.74	132.79	3712	USD	
06/07/2018 16:18	132.742	132.78	132.73	132.75	3087	USD	
06/07/2018 16:20	132.611	132.62	132.53	132.55	3613	USD	
06/07/2018 16:22	132.595	132.6	132.54	132.558	5698	USD	
06/07/2018 16:24	132.59	132.6	132.58	132.6	1811	USD	
06/07/2018 16:26	132.6	132.605	132.58	132.6	9875	USD	
06/07/2018 16:28	132.66	132.78	132.66	132.78	3273	USD	
06/07/2018 16:30	132.73	132.73	132.68	132.68	3800	USD	
06/07/2018 16:32	132.62	132.62	132.57	132.62	3820	USD	
06/07/2018 16:34	132.6	132.6	132.535	132.555	4586	USD	
06/07/2018 16:36	132.63	132.69	132.63	132.685	3000	USD	
06/07/2018 16:38	132.8	132.825	132.74	132.75	2200	USD	
06/07/2018 16:40	132.83	132.9	132.83	132.895	900	USD	
06/07/2018 16:42	132.95	132.98	132.945	132.955	1625	USD	
06/07/2018 16:44	132.86	132.87	132.815	132.87	4230	USD	
06/07/2018 16:46	132.83	132.86	132.81	132.81	2329	USD	
06/07/2018 16:48	132.87	132.96	132.86	132.935	4175	USD	
06/07/2018 16:50	132.925	132.925	132.87	132.87	5060	USD	
06/07/2018 16:52	132.91	132.93	132.91	132.92	500	USD	
06/07/2018 16:54	132.86	132.913	132.86	132.87	1652	USD	
06/07/2018 16:56	132.93	132.995	132.92	132.93	2507	USD	
06/07/2018 16:58	133.02	133.04	133.01	133.02	2026	USD	
06/07/2018 17:00	133.08	133.12	133.05	133.101	11514	USD	
06/07/2018 17:02	133.2	133.21	133.15	133.16	2120	USD	
06/07/2018 17:04	133.2	133.24	133.2	133.23	1502	USD	
06/07/2018 17:06	133.32	133.32	133.23	133.28	2151	USD	
06/07/2018 17:08	133.36	133.42	133.355	133.417	4726	USD	
06/07/2018 17:10	133.45	133.47	133.4	133.435	1972	USD	
06/07/2018 17:12	133.4	133.48	133.4	133.45	5400	USD	
06/07/2018 17:14	133.482	133.482	133.43	133.43	1832	USD	
06/07/2018 17:16	133.49	133.49	133.44	133.45	1445	USD	
06/07/2018 17:18	133.53	133.57	133.53	133.55	1500	USD	
06/07/2018 17:20	133.65	133.72	133.65	133.67	3448	USD	
06/07/2018 17:22	133.7	133.73	133.68	133.701	3160	USD	
06/07/2018 17:24	133.69	133.7	133.63	133.63	6447	USD	
06/07/2018 17:26	133.63	133.69	133.63	133.685	7271	USD	
06/07/2018 17:28	133.77	133.78	133.76	133.78	1549	USD	
06/07/2018 17:30	133.78	133.84	133.78	133.83	3188	USD	
06/07/2018 17:32	133.93	133.971	133.93	133.961	4560	USD	
06/07/2018 17:34	133.97	133.98	133.951	133.972	2238	USD	
06/07/2018 17:36	134	134.01	133.99	134.01	4016	USD	
06/07/2018 17:38	133.955	134.02	133.94	134.02	4810	USD	
06/07/2018 17:40	134.06	134.06	134	134.02	2376	USD	
06/07/2018 17:42	134.02	134.09	134.02	134.07	4206	USD	
06/07/2018 17:44	134.06	134.07	134.03	134.07	1161	USD	
06/07/2018 17:46	134.11	134.11	134.09	134.11	1160	USD	
06/07/2018 17:48	134.05	134.06	134.01	134.03	4490	USD	
06/07/2018 17:50	133.99	133.99	133.88	133.88	2997	USD	
06/07/2018 17:52	133.865	133.865	133.78	133.8	2620	USD	
06/07/2018 17:54	133.83	133.92	133.83	133.86	5985	USD	
06/07/2018 17:56	133.874	133.874	133.82	133.87	1100	USD	
06/07/2018 17:58	133.805	133.86	133.8	133.81	1300	USD	
06/07/2018 18:00	133.862	133.9	133.85	133.85	2550	USD	
06/07/2018 18:02	133.935	133.95	133.9	133.91	2011	USD	
06/07/2018 18:04	133.91	133.95	133.88	133.93	3617	USD	
06/07/2018 18:06	133.961	133.975	133.93	133.96	6519	USD	
06/07/2018 18:08	133.97	134.01	133.94	133.98	5512	USD	
06/07/2018 18:10	133.96	133.99	133.96	133.98	1800	USD	
06/07/2018 18:12	133.988	134.01	133.96	133.99	3352	USD	
06/07/2018 18:14	133.94	133.94	133.91	133.92	1800	USD	
06/07/2018 18:16	133.9	133.91	133.86	133.879	3434	USD	
06/07/2018 18:18	133.92	133.924	133.89	133.89	1000	USD	
06/07/2018 18:20	133.87	133.9	133.84	133.89	5667	USD	
06/07/2018 18:22	133.9	133.91	133.89	133.89	400	USD	
06/07/2018 18:24	133.95	133.97	133.92	133.959	3790	USD	
06/07/2018 18:26	134	134.031	134	134.031	552	USD	
06/07/2018 18:28	134.01	134.039	133.999	134.039	1271	USD	
06/07/2018 18:30	134.04	134.04	134	134.03	2100	USD	
06/07/2018 18:32	134.09	134.12	134.06	134.08	5269	USD	
06/07/2018 18:34	134.055	134.1	134.05	134.1	2800	USD	
06/07/2018 18:36	134.105	134.113	134.09	134.09	1200	USD	
06/07/2018 18:38	134.11	134.145	134.09	134.13	5220	USD	
06/07/2018 18:40	134.126	134.14	134.09	134.11	3350	USD	
06/07/2018 18:42	134.1	134.15	134.09	134.1	8296	USD	
06/07/2018 18:44	134.02	134.04	133.99	133.99	3600	USD	
06/07/2018 18:46	133.96	133.99	133.96	133.96	600	USD	
06/07/2018 18:48	133.95	134	133.93	134	2008	USD	
06/07/2018 18:50	134.01	134.055	133.99	134.01	3004	USD	
06/07/2018 18:52	134.015	134.015	134	134	1120	USD	
06/07/2018 18:54	133.979	134	133.97	133.98	11517	USD	
06/07/2018 18:56	134.04	134.08	134.038	134.06	1391	USD	
06/07/2018 18:58	134.1	134.11	134.1	134.1	968	USD	
06/07/2018 19:00	134.05	134.075	134.05	134.07	2098	USD	
06/07/2018 19:02	134.11	134.11	134.075	134.075	18585	USD	
06/07/2018 19:04	134.094	134.14	134.094	134.13	1100	USD	
06/07/2018 19:06	134.09	134.11	134.08	134.1	1221	USD	
06/07/2018 19:08	134.11	134.11	134.06	134.06	1875	USD	
06/07/2018 19:10	134.05	134.07	134.015	134.07	4254	USD	
06/07/2018 19:12	134.07	134.07	134.04	134.05	700	USD	
06/07/2018 19:14	134.03	134.03	134	134	1600	USD	
06/07/2018 19:16	134.03	134.04	134.01	134.04	1574	USD	
06/07/2018 19:18	134.02	134.02	133.99	133.99	1450	USD	
06/07/2018 19:20	134.055	134.06	134.025	134.025	2235	USD	
06/07/2018 19:22	134.02	134.02	133.96	133.96	2642	USD	
06/07/2018 19:24	133.97	133.99	133.96	133.975	1000	USD	
06/07/2018 19:26	134.012	134.03	133.996	134	4314	USD	
06/07/2018 19:28	134	134	133.98	133.99	987	USD	
06/07/2018 19:30	134.02	134.02	134.01	134.01	880	USD	
06/07/2018 19:32	134.01	134.019	133.98	134	1358	USD	
06/07/2018 19:34	134	134.005	133.99	133.99	1500	USD	
06/07/2018 19:36	134	134.02	133.995	134.012	1225	USD	
06/07/2018 19:38	134.055	134.065	134.03	134.03	1775	USD	
06/07/2018 19:40	134.08	134.13	134.07	134.13	2700	USD	
06/07/2018 19:42	134.04	134.04	134	134	1273	USD	
06/07/2018 19:44	134.01	134.02	134.01	134.02	600	USD	
06/07/2018 19:46	134.03	134.05	134.015	134.04	1865	USD	
06/07/2018 19:48	134.05	134.07	134.03	134.03	1576	USD	
06/07/2018 19:50	134.046	134.046	134.04	134.04	300	USD	
06/07/2018 19:52	134.03	134.05	134.03	134.05	1700	USD	
06/07/2018 19:54	134.06	134.07	134.04	134.04	1000	USD	
06/07/2018 19:56	134.02	134.02	134.01	134.015	600	USD	
06/07/2018 19:58	134.031	134.07	134.031	134.07	1050	USD	
06/07/2018 20:00	134.05	134.05	134	134.02	1950	USD	
06/07/2018 20:02	134.002	134.002	133.95	133.95	1600	USD	
06/07/2018 20:04	133.97	134.026	133.97	134.02	4140	USD	
06/07/2018 20:06	134.04	134.08	134.04	134.07	1600	USD	
06/07/2018 20:08	134.07	134.07	134.05	134.05	1200	USD	
06/07/2018 20:10	134.04	134.065	134.04	134.065	1600	USD	
06/07/2018 20:12	134.09	134.09	134.09	134.09	400	USD	
06/07/2018 20:14	134.055	134.055	134.04	134.05	600	USD	
06/07/2018 20:16	134.035	134.055	134.035	134.055	1011	USD	
06/07/2018 20:18	134.04	134.05	134.03	134.04	2113	USD	
06/07/2018 20:20	133.995	134.02	133.995	134.019	604	USD	
06/07/2018 20:22	134.026	134.026	134.002	134.005	782	USD	
06/07/2018 20:24	134.02	134.02	134.015	134.02	313	USD	
06/07/2018 20:26	134.05	134.05	134.02	134.04	2000	USD	
06/07/2018 20:28	134.035	134.04	134.02	134.03	2495	USD	
06/07/2018 20:30	134.04	134.04	134.01	134.03	2020	USD	
06/07/2018 20:32	134.04	134.04	134.015	134.015	2100	USD	
06/07/2018 20:34	134.02	134.03	134.01	134.02	1373	USD	
06/07/2018 20:36	134.015	134.015	133.98	133.99	3655	USD	
06/07/2018 20:38	133.94	133.94	133.931	133.94	746	USD	
06/07/2018 20:40	133.9	133.919	133.894	133.91	1050	USD	
06/07/2018 20:42	133.89	133.97	133.89	133.95	1588	USD	
06/07/2018 20:44	133.99	134	133.97	133.97	2050	USD	
06/07/2018 20:46	133.98	133.98	133.97	133.98	749	USD	
06/07/2018 20:48	133.975	134	133.97	133.999	2290	USD	
06/07/2018 20:50	134	134.01	133.98	134.005	1799	USD	
06/07/2018 20:52	133.98	134.003	133.97	134	2525	USD	
06/07/2018 20:54	133.99	134	133.99	134	1200	USD	
06/07/2018 20:56	134.07	134.1	134.07	134.1	2063	USD	
06/07/2018 20:58	134.08	134.085	134.06	134.06	1869	USD	
06/07/2018 21:00	134.03	134.04	134.03	134.04	600	USD	
06/07/2018 21:02	134.075	134.08	134.06	134.06	1100	USD	
06/07/2018 21:04	134.077	134.09	134.07	134.07	1821	USD	
06/07/2018 21:06	134.092	134.092	134.07	134.07	1185	USD	
06/07/2018 21:08	134.14	134.15	134.14	134.149	2947	USD	
06/07/2018 21:10	134.17	134.18	134.16	134.17	3650	USD	
06/07/2018 21:12	134.14	134.16	134.13	134.14	1838	USD	
06/07/2018 21:14	134.16	134.16	134.09	134.1	2100	USD	
06/07/2018 21:16	134.095	134.095	134.075	134.09	1400	USD	
06/07/2018 21:18	134.06	134.095	134.06	134.09	1150	USD	
06/07/2018 21:20	134.105	134.12	134.105	134.115	2145	USD	
06/07/2018 21:22	134.15	134.157	134.11	134.125	1300	USD	
06/07/2018 21:24	134.12	134.13	134.11	134.12	2200	USD	
06/07/2018 21:26	134.185	134.265	134.18	134.25	4811	USD	
