date	ouv	haut	bas	clot	vol	devise	
06/07/2018 15:30	62.36	304.955	62.3	62.733	112239	USD	
06/07/2018 15:32	63.06	63.12	62.85	62.85	21530	USD	
06/07/2018 15:34	63.16	63.23	63.08	63.09	19616	USD	
06/07/2018 15:36	63.2	63.31	63.18	63.25	26295	USD	
06/07/2018 15:38	63.33	63.35	63.25	63.32	19280	USD	
06/07/2018 15:40	245.95	245.95	63.04	63.13	26597	USD	
06/07/2018 15:42	63.13	63.2	63.06	63.06	16142	USD	
06/07/2018 15:44	63.02	63.025	62.9	63.025	8136	USD	
06/07/2018 15:46	63.14	63.178	63.049	63.1	27595	USD	
06/07/2018 15:48	63.105	63.13	63.06	63.09	14398	USD	
06/07/2018 15:50	63.02	63.02	62.99	63.01	17758	USD	
06/07/2018 15:52	62.905	62.92	62.88	62.92	20059	USD	
06/07/2018 15:54	62.91	62.92	62.895	62.915	20172	USD	
06/07/2018 15:56	63.05	63.285	63.05	63.25	16121	USD	
06/07/2018 15:58	63.125	63.21	63.08	63.1	13617	USD	
06/07/2018 16:00	63.16	63.17	63.12	63.145	15427	USD	
06/07/2018 16:02	63.21	63.26	63.08	63.125	11352	USD	
06/07/2018 16:04	63.14	63.15	63.11	63.13	12081	USD	
06/07/2018 16:06	63.057	63.08	63.04	63.06	24361	USD	
06/07/2018 16:08	63.024	63.12	63.02	63.12	21570	USD	
06/07/2018 16:10	63.06	63.13	63.05	63.13	20789	USD	
06/07/2018 16:12	63.15	63.159	63.08	63.08	12417	USD	
06/07/2018 16:14	63.06	63.07	63.03	63.06	13818	USD	
06/07/2018 16:16	63.18	63.21	63.14	63.166	24911	USD	
06/07/2018 16:18	63.14	63.14	62.97	62.98	9990	USD	
06/07/2018 16:20	62.999	63.02	62.92	62.95	21426	USD	
06/07/2018 16:22	63	63.03	62.9	62.91	24344	USD	
06/07/2018 16:24	62.83	62.9	62.83	62.88	9172	USD	
06/07/2018 16:26	62.875	62.9	62.86	62.9	10747	USD	
06/07/2018 16:28	62.88	62.919	62.87	62.91	14122	USD	
06/07/2018 16:30	62.93	62.93	62.85	62.865	9739	USD	
06/07/2018 16:32	62.81	62.83	62.76	62.775	15003	USD	
06/07/2018 16:34	62.805	62.85	62.782	62.835	11183	USD	
06/07/2018 16:36	62.9	62.95	62.88	62.9	11535	USD	
06/07/2018 16:38	62.86	62.9	62.855	62.88	5796	USD	
06/07/2018 16:40	62.91	62.93	62.88	62.88	17466	USD	
06/07/2018 16:42	62.91	62.959	62.91	62.935	7585	USD	
06/07/2018 16:44	62.92	62.996	62.915	62.983	7898	USD	
06/07/2018 16:46	63.07	63.15	63.07	63.138	37746	USD	
06/07/2018 16:48	63.01	63.12	63.005	63.035	12043	USD	
06/07/2018 16:50	62.99	63.05	62.98	63.037	6589	USD	
06/07/2018 16:52	63.06	63.2	63.06	63.132	28451	USD	
06/07/2018 16:54	63.15	63.2	63.149	63.18	13383	USD	
06/07/2018 16:56	63.16	63.17	63.11	63.11	9751	USD	
06/07/2018 16:58	63.15	63.15	63.1	63.11	10422	USD	
06/07/2018 17:00	63.1	63.14	63.1	63.12	11728	USD	
06/07/2018 17:02	63.23	63.25	63.222	63.24	7138	USD	
06/07/2018 17:04	63.185	63.2	63.161	63.19	15647	USD	
06/07/2018 17:06	63.16	63.17	63.115	63.115	10050	USD	
06/07/2018 17:08	63.09	63.13	63.08	63.12	17142	USD	
06/07/2018 17:10	63.125	63.16	63.125	63.16	12031	USD	
06/07/2018 17:12	63.12	63.17	63.12	63.17	8286	USD	
06/07/2018 17:14	63.21	63.22	63.18	63.22	9181	USD	
06/07/2018 17:16	63.21	63.22	63.14	63.15	15565	USD	
